LineNo,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
66117,76153225,0.06499939,3.455579e-05,0.03236425,0.2585996,-0.7181994,-0.7181994,0.11,NaN,0,-0.1221656,-8,-8
66564,76258470,0.112499,6.628782e-05,0.07622036,0.2585996,-0.7047935,-0.7047935,0.22,NaN,0,-0.1087595,-7,-7
67015,76361937,0.1624988,0.0001010448,0.1228997,0.2585996,-0.692585,-0.692585,0.11,NaN,0,-0.09655107,-6,-6
67431,76467854,0.2099988,0.0001289994,0.1711565,0.2585996,-0.6772875,-0.6772875,0.22,NaN,0,-0.0812536,-8,-8
67882,76576493,0.2599987,0.00015378,0.2197018,0.2585996,-0.6617887,-0.6617887,0.74,NaN,0,-0.06575478,-6,-6
68332,76682794,0.3099987,0.000253737,0.2693214,0.2585996,-0.6453411,-0.6453411,0.9,NaN,0,-0.04930717,-3,-3
68785,76788068,0.3229275,0.0002031028,0.3133563,0.2585996,-0.629838,-0.6195025,0.52,NaN,0,-0.02330841,8,10
69235,76896498,0.2854408,8.714199e-05,0.3005753,0.2585996,-0.6128185,-0.5727047,0.63,NaN,0,0.02332925,22,36
69687,77001811,0.3061771,4.526973e-05,0.2994933,0.2585996,-0.5755552,-0.5025591,0.43,NaN,0,0.09380291,41,58
70134,77108346,0.2794212,8.761883e-06,0.2909825,0.2585996,-0.5178895999999999,-0.4076535,0.54,NaN,0,0.1888763,57,77
70590,77213806,0.2724087,3.215671e-05,0.2805232,0.2585996,-0.4402699,-0.2964247,0.64,NaN,0,0.3004409,71,92
71006,77317489,0.2678022,0.000100255,0.269465,0.2585996,-0.3499016,-0.1776375,0.84,NaN,0,0.4205326,81,104
71458,77423022,0.2813443,0.000233382,0.2747208,0.2585996,-0.244763,-0.03948266,0.87,NaN,0,0.5615333,90,109
71904,77527531,0.2719554,0.0003795028,0.2737295,0.2585996,-0.1323604,0.1275457,1.07,NaN,0,0.7313082,93,114
72324,77632911,0.2647102,0.000556618,0.2701121,0.2585996,-0.008641688999999999,0.2985796,1.06,NaN,0,0.9051039,96,117
72775,77739528,0.2590085,0.0006918907,0.2660389,0.2585996,0.1186431,0.4861272,0.98,NaN,0,1.09362,96,118
73192,77846110,0.2571639,0.0006798208,0.2603026,0.2585996,0.2513127,0.6638419,1.21,NaN,0,1.273281,97,118
73645,77950886,0.2582465,0.0006920695,0.2592258,0.2585996,0.3920273,0.8352447,0.96,NaN,0,1.445103,98,116
74095,78058008,0.2621717,0.0006119013,0.2598785,0.2585996,0.5365445,0.9974172,1.27,NaN,0,1.607436,100,115
74546,78163699,0.2674465,0.000582546,0.2638936,0.2585996,0.6841806,1.151783,1.41,NaN,0,1.762686,102,112
74998,78270699,0.2706884,0.0006062984,0.2666462,0.2585996,0.8343005,1.297593,1.6,NaN,0,1.909481,104,111
75450,78376373,0.2669289,0.000587821,0.267535,0.2585996,0.9864896,1.44617,1.46,NaN,0,2.060484,107,111
75864,78482290,0.2797584,0.0005722344000000001,0.2715296,0.2585996,1.140661,1.587538,1.69,NaN,0,2.203721,111,112
76316,78589908,0.2765619,0.0005555749,0.2787033,0.2585996,1.298773,1.731007,1.68,NaN,0,2.348159,117,115
76768,78696701,0.2646354,0.0005326569,0.2730662,0.2585996,1.457218,1.876932,1.64,NaN,0,2.493275,122,121
77219,78801260,0.2732105,0.0004743636,0.2684971,0.2585996,1.623309,2.016455,1.95,NaN,0,2.631348,128,127
77667,78906581,0.2735022,0.0005099773,0.2732077,0.2585996,1.783841,2.16027,2.13,NaN,0,2.773074,132,130
78118,79012014,0.2763377,0.000636518,0.2761735,0.2585996,1.950977,2.305294,2.29,NaN,0,2.917281,137,133
78560,79122895,0.271575,0.0007123053,0.2743737,0.2585996,2.115636,2.463485,2.32,NaN,0,3.074663,139,137
78976,79231151,0.2745707,0.0006508827,0.271708,0.2585996,2.281759,2.620776,2.56,NaN,0,3.230345,141,140
79420,79337693,0.2791367,0.0006264448,0.2743542,0.2585996,2.449031,2.782313,2.72,NaN,0,3.389288,143,141
79833,79446268,0.2773564,0.0005858541000000001,0.2771509,0.2585996,2.621805,2.946357,2.8,NaN,0,3.552195,145,143
80277,79551475,0.2832796,0.0004791021,0.2800191,0.2585996,2.790857,3.107675,3.11,NaN,0,3.712933,146,144
80721,79660052,0.2763056,0.0004604459,0.2801228,0.2585996,2.956061,3.271063,3.38,NaN,0,3.875825,147,145
81166,79765859,0.2698556,0.0003738999,0.2739004,0.2585996,3.126216,3.432947,3.45,NaN,0,4.037854,148,148
81579,79873066,0.269487,0.0003432333,0.2705023,0.2585996,3.296736,3.597299,3.7,NaN,0,4.203153,149,150
82027,79980135,0.2727225,0.000298351,0.2701053,0.2585996,3.467555,3.761335,4,NaN,0,4.366532,150,151
82469,80088145,0.269934,0.0001979768,0.2713308,0.2585996,3.638575,3.928906,3.84,NaN,0,4.533524,151,152
82916,80194878,0.2681389,8.177757e-05,0.2686203,0.2585996,3.809777,4.094714,3.86,NaN,0,4.696737,151,152
83359,80303880,0.2768242,7.387996e-05,0.2733403,0.2585996,3.981219,4.260611,4.57,NaN,0,4.86004,152,151
83809,80410846,0.276366,0.0002018809,0.272902,0.2585996,4.152823,4.425063,4.63,NaN,0,5.023684,153,152
84219,80518915,0.2763081,0.0002931952,0.2755937,0.2585996,4.324645,4.598234,4.81,NaN,0,5.192651,153,152
84668,80625112,0.2716884,0.0002909899,0.2770087,0.2585996,4.496572,4.768083,4.94,NaN,0,5.359089,153,153
85112,80734797,0.2559566,0.0001783967,0.2685947,0.2585996,4.664047,4.942153,5.31,NaN,0,5.529764,153,155
85556,80841494,0.2580547,0.0001575053,0.2615411,0.2585996,4.831656,5.117848,5.51,NaN,0,5.702217,152,156
85999,80948905,0.2571921,0.0001468956,0.2581683,0.2585996,5.003835,5.29698,5.48,NaN,0,5.876504,151,156
86413,81058233,0.2402365,9.819865e-05,0.250836,0.2585996,5.179804,5.480323,5.62,NaN,0,6.058398,149,156
86861,81166269,0.2306805,5.614758e-05,0.2373154,0.2585996,5.348973,5.657652,5.78,NaN,0,6.232492,145,154
87271,81274320,0.230253,0.0001000762,0.2327578,0.2585996,5.514444,5.834704,6.04,NaN,0,6.406142,139,149
87719,81381023,0.2208201,0.0001608878,0.2287156,0.2585996,5.674919,6.003924,6.28,NaN,0,6.572942,132,143
88161,81488917,0.2332825,0.0002850741,0.2295216,0.2585996,5.825249,6.167174,6.2,NaN,0,6.735376,124,133
88577,81594895,0.2418739,0.000295803,0.238313,0.2585996,5.972482,6.313955,6.45,NaN,0,6.880372,116,121
89022,81703129,0.2265629,0.0001731813,0.2373519,0.2585996,6.107985,6.451643,6.22,NaN,0,7.017251,107,111
89436,81811246,0.2231423,6.79642e-05,0.2267541,0.2585996,6.238249,6.579197,6.68,NaN,0,7.144638,98,102
89876,81919913,0.2268613,4.380941e-05,0.225872,0.2585996,6.355878,6.700881,6.5,NaN,0,7.266885,87,91
90324,82026870,0.2293694,6.188452e-05,0.2276853,0.2585996,6.466903,6.80343,6.92,NaN,0,7.371052,77,80
90768,82134107,0.2352778,8.605421e-05,0.2313477,0.2585996,6.565464,6.893723,6.92,NaN,0,7.461911,68,69
91175,82240106,0.2303771,4.921854e-05,0.2307254,0.2585996,6.657103,6.969241,6.95,NaN,0,7.539687,60,59
91622,82346268,0.2331981,1.54227e-05,0.2297852,0.2585996,6.73947,7.032036,7.14,NaN,0,7.604655,52,50
92068,82459795,0.2254252,1.224875e-05,0.2265043,0.2585996,6.816787,7.088334,7.17,NaN,0,7.663387,45,43
92513,82565482,0.227841,1.588464e-05,0.2267465,0.2585996,6.881968,7.13273,7.16,NaN,0,7.709225,39,36
92956,82671806,0.2277732,6.201863e-05,0.2296818,0.2585996,6.939764,7.169546,7.26,NaN,0,7.749925,34,30
93401,82777112,0.2398081,0.0001015067,0.2337024,0.2585996,6.990851,7.198057,7.11,NaN,0,7.780861,29,24
93813,82885335,0.2348534,9.045005000000001e-05,0.2364985,0.2585996,7.035912,7.220405,7.2,NaN,0,7.806277,26,20
94260,82991874,0.2459799,0.0001122802,0.2381519,0.2585996,7.07563,7.237007,7.48,NaN,0,7.825138,23,15
94670,83098927,0.2378387,0.000159651,0.2419551,0.2585996,7.110651,7.251673,7.36,NaN,0,7.84142,20,13
95117,83207697,0.2390531,0.0002419651,0.2426134,0.2585996,7.141546,7.264978,7.23,NaN,0,7.85732,18,10
95526,83315248,0.2463234,0.000261277,0.2432546,0.2585996,7.16814,7.273939,7.39,NaN,0,7.868706,16,9
95973,83421913,0.2488298,0.0001987964,0.2463187,0.2585996,7.192338,7.280784,7.24,NaN,0,7.877337,15,8
