LineNo,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
2557,6.0345e+07,2,1.6384e-05,-0.00063344,0.00092863,-0.22893,-0.10899,-9.8214,0,0,36.751,1,1,7746,3872
2560,6.0347e+07,2,-8.563e-05,-0.0015775,0.0019277,-0.23273,-0.10876,-9.8208,0,0,36.751,1,1,7746,3872
2563,6.0349e+07,2,-0.00029015,-0.0024027,0.0021473,-0.23554,-0.10858,-9.8201,0,0,36.75,1,1,7746,3872
2594,6.0353e+07,2,-0.00079173,-0.003335,0.0028146,-0.23947,-0.10691,-9.8194,0,0,36.75,1,1,7746,3872
2597,6.0356e+07,2,-0.00076484,-0.0031081,0.0030516,-0.24162,-0.10501,-9.8223,0,0,36.75,1,1,7746,3872
2600,6.0357e+07,2,-0.00081944,-0.0024393,0.0026605,-0.24225,-0.10419,-9.8238,0,0,36.75,1,1,7746,3872
2603,6.036e+07,2,-0.00072416,-0.0010819,0.0023587,-0.24144,-0.10328,-9.8266,0,0,36.75,1,1,7746,3872
2634,6.0362e+07,2,-0.00095996,-0.00062431,0.00172,-0.24008,-0.10335,-9.8282,0,0,36.75,1,1,7746,3872
2637,6.0365e+07,2,-0.001343,-0.00023223,0.0014229,-0.23786,-0.10384,-9.8287,0,0,36.75,1,1,7746,3872
2640,6.0368e+07,2,-0.0016849,0.00018744,0.0017473,-0.23735,-0.10433,-9.8287,0,0,36.75,1,1,7746,3872
2644,6.037e+07,2,-0.0014984,0.00078453,0.0016062,-0.23595,-0.1057,-9.8276,0,0,36.751,1,1,7746,3872
2675,6.0372e+07,2,-0.0011534,0.00085849,0.0012298,-0.23462,-0.10628,-9.826,0,0,36.751,1,1,7746,3872
2678,6.0374e+07,2,-0.00044363,0.00091079,0.00043385,-0.23179,-0.10701,-9.8244,0,0,36.751,1,1,7746,3872
2681,6.0377e+07,2,-0.000129,0.0009617,1.4782e-05,-0.23006,-0.10647,-9.8226,0,0,36.751,1,1,7746,3872
2685,6.038e+07,2,0.00056321,0.00073193,-0.00038162,-0.22762,-0.10399,-9.8206,0,0,36.751,1,1,7746,3872
2716,6.0383e+07,2,0.00067581,0.00053594,-0.00026914,-0.2267,-0.10462,-9.8213,0,0,36.751,1,1,7746,3872
2719,6.0385e+07,2,-8.7342e-05,0.00036421,0.00031479,-0.22778,-0.10486,-9.8209,0,0,36.751,1,1,7746,3872
2722,6.0388e+07,2,-0.0010799,0.00023036,0.00061395,-0.2292,-0.10328,-9.8161,0,0,36.751,1,1,7746,3872
2726,6.039e+07,2,-0.0011323,0.00020606,0.00078595,-0.23071,-0.1018,-9.8108,0,0,36.751,1,1,7746,3872
2757,6.0393e+07,2,-0.0012529,0.00064162,0.00010813,-0.2347,-0.10178,-9.8046,0,0,36.751,1,1,7746,3872
2760,6.0396e+07,2,-0.00064124,-6.7414e-05,-0.00021081,-0.23802,-0.10271,-9.803,0,0,36.751,1,1,7746,3872
2763,6.0398e+07,2,7.0581e-05,-0.00027539,-0.00076584,-0.23925,-0.10393,-9.8015,0,0,36.751,1,1,7746,3872
2767,6.0401e+07,2,0.0010474,0.00043469,-0.0016783,-0.2398,-0.10493,-9.7998,0,0,36.751,1,1,7746,3872
2798,6.0403e+07,2,0.0012695,0.00058133,-0.0017522,-0.23995,-0.10581,-9.7992,0,0,36.751,1,1,7746,3872
2801,6.0406e+07,2,0.001049,0.0002037,-0.0017648,-0.23961,-0.10555,-9.8016,0,0,36.751,1,1,7746,3872
2804,6.0408e+07,2,0.00037488,0.00064653,-0.00087864,-0.23972,-0.10505,-9.8027,0,0,36.751,1,1,7746,3872
2811,6.0411e+07,2,-0.00023795,0.0011977,0.00027402,-0.24005,-0.10472,-9.8071,0,0,36.751,1,1,7746,3872
2842,6.0413e+07,2,0.0014012,0.0022556,-0.00041259,-0.23971,-0.10519,-9.8147,0,0,36.751,1,1,7746,3872
2845,6.0416e+07,2,0.0015562,0.0023754,-0.00064483,-0.23936,-0.10632,-9.8194,0,0,36.751,1,1,7746,3872
2848,6.0418e+07,2,0.00034212,0.0023,-0.00038173,-0.23864,-0.10777,-9.8241,0,0,36.751,1,1,7746,3872
2853,6.0421e+07,2,-3.4957e-05,0.0017768,0.00051019,-0.2381,-0.10872,-9.8265,0,0,36.751,1,1,7746,3872
2884,6.0424e+07,2,-0.0009596,0.00088527,0.0010338,-0.23794,-0.11044,-9.8274,0,0,36.751,1,1,7746,3872
2888,6.0426e+07,2,-0.0012943,0.0010204,0.001464,-0.23944,-0.11156,-9.8259,0,0,36.751,1,1,7746,3872
2891,6.0429e+07,2,-0.00032803,0.0015213,0.0016869,-0.24014,-0.11225,-9.8255,0,0,36.751,1,1,7746,3872
2894,6.0431e+07,2,2.1892e-05,0.0013742,0.001118,-0.24022,-0.11204,-9.8252,0,0,36.751,1,1,7746,3872
2925,6.0434e+07,2,7.7877e-05,0.0010611,0.00013349,-0.24074,-0.11072,-9.8256,0,0,36.751,1,1,7746,3872
2928,6.0436e+07,2,0.00037571,0.0010279,-0.0006716,-0.24112,-0.10996,-9.8252,0,0,36.751,1,1,7746,3872
2931,6.0439e+07,2,0.00033595,0.0005823,-0.00025989,-0.23906,-0.10931,-9.8208,0,0,36.751,1,1,7746,3872
2935,6.0442e+07,2,0.00045194,0.00028865,0.00087447,-0.23793,-0.10911,-9.8151,0,0,36.751,1,1,7746,3872
2968,6.0445e+07,2,0.00129,-0.00015361,0.0019613,-0.23523,-0.11045,-9.8062,0,0,36.751,1,1,7746,3872
2971,6.0447e+07,2,0.0011914,-0.00014621,0.0026067,-0.2347,-0.11219,-9.8035,0,0,36.751,1,1,7746,3872
2974,6.045e+07,2,0.0010488,0.00021151,0.0025335,-0.23501,-0.11406,-9.8026,0,0,36.751,1,1,7746,3872
2977,6.0455e+07,2,0.0012109,0.0004687,0.0004109,-0.23527,-0.11518,-9.806,0,0,36.751,1,1,7746,3872
3008,6.0458e+07,2,0.0006453,0.0011642,-0.00031797,-0.23377,-0.11616,-9.8082,0,0,36.751,1,1,7746,3872
3011,6.046e+07,2,0.00024222,0.0016029,-0.00044901,-0.23382,-0.11625,-9.8085,0,0,36.751,1,1,7746,3872
3015,6.0462e+07,2,0.00023204,0.0018225,-0.00013823,-0.23451,-0.11553,-9.8068,0,0,36.751,1,1,7746,3872
