LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
3316,60535244,0,1.66,-1.14,16.39,-0.0008710818,0.000396802,-0.5792362,-0.6170244,1.614123,0.04836764,-0.03886059,-0.01,0,-0.12,90.33
3357,60545176,0,1.66,-1.15,16.4,-0.0008135368,0.0003991195,-0.5794975,-0.6145393,1.614123,0.04836764,-0.04509452,-0.01,0,-0.12,90.33
3400,60555175,0,1.66,-1.15,16.4,-0.0008565662,0.0003375642,-0.5798315000000001,-0.6125446,1.614123,0.04836764,-0.05129953,-0.01,0,-0.12,90.33
3438,60565724,0,1.66,-1.15,16.4,-0.0007204225,0.0003832194,-0.5796103,-0.6084855,1.614123,0.04836764,-0.05667741,-0.01,0,-0.12,90.33
3479,60575617,0,1.66,-1.15,16.4,-0.0005893042,0.0003873665,-0.5794123,-0.6026972,1.614123,0.04836764,-0.06206526,-0.01,0,-0.12,90.33
3520,60585583,0,1.66,-1.15,16.4,-0.0007520559,0.0005315353,-0.5792969,-0.5958182,1.614123,0.04836764,-0.06746094,-0.01,0,-0.12,90.33
3560,60596408,0,1.66,-1.15,16.4,-0.0007605277,0.0006923439,-0.5790983,-0.5871936,1.614123,0.04836764,-0.07343985,-0.01,0,-0.12,90.33
3601,60606603,0,1.67,-1.15,16.4,-0.0007862869,0.0007301053,-0.5791468,-0.5792003999999999,1.614123,0.04836764,-0.07922464999999999,-0.01,0,-0.12,90.33
3645,60616999,0,1.67,-1.15,16.4,-0.0009157091,0.0008027638,-0.5789042,-0.5707174,1.614123,0.04836764,-0.08520954,-0.01,0,-0.12,90.33
3687,60627873,0,1.67,-1.15,16.4,-0.001030078,0.0009846754000000001,-0.5789447,-0.5635985999999999,1.614123,0.04836764,-0.09062201,-0.01,0,-0.12,90.33
3728,60637894,0,1.67,-1.15,16.4,-0.001028885,0.0009624239,-0.5789751,-0.5571226,1.614123,0.04836764,-0.09604391,-0.01,0,-0.12,90.33
3770,60647906,0,1.67,-1.15,16.39,-0.001067177,0.0008221479000000001,-0.5788974,-0.5514405,1.614123,0.04836764,-0.1014747,-0.01,0,-0.12,90.33
3807,60658895,0,1.67,-1.15,16.4,-0.001102679,0.0006762206,-0.5787407,-0.5450848,1.580728,0.05642892,-0.1080496,-0.01,0,-0.12,90.33
3848,60669150,0,1.66,-1.15,16.39,-0.001110773,0.0005740552,-0.5784962,-0.5407707,1.580728,0.05642892,-0.1134736,-0.01,0,-0.12,90.33
3888,60679966,0,1.66,-1.15,16.39,-0.001197552,0.0006054046,-0.5783305,-0.5367744,1.580728,0.05642892,-0.1192504,-0.01,0,-0.12,90.33
3928,60690004,0,1.66,-1.15,16.39,-0.001151009,0.0005542972,-0.5779957999999999,-0.53348,1.580728,0.05642892,-0.124678,-0.01,0,-0.12,90.33
3970,60700376,0,1.66,-1.15,16.39,-0.001052929,0.0005393329,-0.5777054,-0.5307259,1.580728,0.05642892,-0.1306874,-0.01,0,-0.12,90.33
4011,60710312,0,1.66,-1.15,16.39,-0.0008253652,0.0007546677,-0.577935,-0.5292758,1.580728,0.05642892,-0.1361271,-0.01,0,-0.12,90.33
4057,60720297,0,1.66,-1.15,16.39,-0.0006883421,0.0009392241,-0.5778801,-0.5282012,1.580728,0.05642892,-0.1415756,-0.01,0,-0.12,90.33
4099,60730593,0,1.66,-1.15,16.39,-0.0007985492,0.001018387,-0.5776764,-0.5270061,1.580728,0.05642892,-0.1473469,-0.01,0,-0.12,90.33
4141,60741017,0,1.66,-1.14,16.39,-0.0009687987,0.001113406,-0.5779012,-0.5268008,1.580728,0.05642892,-0.1533797,-0.01,0,-0.12,90.33
4182,60751084,0,1.66,-1.14,16.39,-0.0008135696,0.001126201,-0.5777566,-0.5267022,1.580728,0.05642892,-0.1588421,-0.01,0,-0.12,90.33
4222,60764258,0,1.66,-1.14,16.38,-0.000798856,0.001103443,-0.5775573000000001,-0.5263114,1.580728,0.05642892,-0.1658247,-0.01,0,-0.12,90.33
4263,60774020,0,1.66,-1.14,16.38,-0.000875759,0.001058593,-0.5774708,-0.5259208,1.580728,0.05642892,-0.1710905,-0.01,0,-0.12,90.33
4304,60785020,0,1.66,-1.14,16.38,-0.0007256415,0.001065388,-0.5773992999999999,-0.5251796,1.580728,0.05642892,-0.1763697,-0.01,0,-0.12,90.33
4347,60795052,0,1.66,-1.14,16.38,-0.0006355802,0.001042176,-0.5770758,-0.5242527,1.580728,0.05642892,-0.1816607,-0.01,0,-0.12,90.33
4388,60805256,0,1.66,-1.15,16.38,-0.0006042403999999999,0.0009997331999999999,-0.5771294,-0.5233673,1.580728,0.05642892,-0.1875402,-0.01,0,-0.12,90.33
4428,60815633,0,1.66,-1.15,16.38,-0.0006347887,0.000902526,-0.5771192000000001,-0.5224119,1.580728,0.05642892,-0.1938812,-0.01,0,-0.12,90.33
4473,60826003,0,1.66,-1.15,16.38,-0.0007149134,0.0007154151,-0.5771937,-0.5221063,1.580728,0.05642892,-0.1991979,-0.01,0,-0.12,90.33
4517,60836645,0,1.66,-1.14,16.38,-0.000743313,0.00056092,-0.5773224,-0.5219479,1.558464,0.05642892,-0.2051034,-0.01,0,-0.12,90.33
4558,60847296,0,1.66,-1.14,16.38,-0.0009097827,0.0006186138,-0.5774373,-0.5219255,1.558464,0.05642892,-0.2104451,-0.01,0,-0.12,90.33
4599,60857617,0,1.66,-1.14,16.38,-0.0008813819,0.0005175874,-0.5773951,-0.5201882,1.558464,0.05642892,-0.2148779,-0.01,0,-0.12,90.33
4639,60870588,0,1.66,-1.14,16.38,-0.0009439962,0.0004811372,-0.5773739,-0.5151824,1.558464,0.05642892,-0.2210914,-0.01,0,-0.12,90.33
4680,60880900,0,1.66,-1.14,16.38,-0.0009878863,0.0006190707,-0.5769497,-0.510342,1.558464,0.05642892,-0.2256219,-0.01,0,-0.12,90.33
4721,60891042,0,1.66,-1.14,16.38,-0.001229458,0.0006697204,-0.5766225,-0.5047527000000001,1.558464,0.05642892,-0.2307738,-0.01,0,-0.12,90.33
4762,60901079,0,1.66,-1.14,16.38,-0.001331118,0.0007135743,-0.5765591,-0.4986926,1.558464,0.05642892,-0.2365331,-0.01,0,-0.12,90.33
4803,60911148,0,1.66,-1.14,16.38,-0.001366013,0.0007692328,-0.5763224,-0.4930179,1.558464,0.05642892,-0.2411475,-0.01,0,-0.12,90.33
4843,60921038,0,1.66,-1.14,16.38,-0.001485083,0.0008923755,-0.5760458000000001,-0.4883426,1.558464,0.05642892,-0.2458026,-0.01,0,-0.12,90.33
4888,60931033,0,1.66,-1.14,16.38,-0.001466416,0.0007145552,-0.5757534,-0.48425,1.558464,0.05642892,-0.2504979,-0.01,0,-0.12,90.33
