LineNo,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
2131,1.1921e+08,0,-0.0015289,-0.00072311,0.0013638,0.038359,0.075616,-9.759,0,0,44.838,1,1,8008,4004
2134,1.1921e+08,0,-0.0017507,-0.00055148,0.0011847,0.037157,0.073958,-9.7578,0,0,44.838,1,1,8008,4004
2137,1.1921e+08,0,-0.0024575,0.00028122,0.00093474,0.036402,0.072971,-9.7587,0,0,44.838,1,1,8008,4004
2141,1.1922e+08,0,-0.0027157,5.0119e-05,0.00062473,0.035938,0.072493,-9.7597,0,0,44.838,1,1,8008,4004
2176,1.1922e+08,0,-0.0034831,-0.0012505,0.0010796,0.032683,0.072925,-9.7614,0,0,44.838,1,1,8008,4004
2179,1.1922e+08,0,-0.004617,-0.001805,0.00080223,0.029363,0.075915,-9.7599,0,0,44.838,1,1,8008,4004
2184,1.1922e+08,0,-0.0056763,-0.00050575,8.5607e-05,0.026428,0.083286,-9.7552,0,0,44.838,1,1,8008,4004
2187,1.1923e+08,0,-0.0051998,-0.0011724,-0.00099449,0.026891,0.09458,-9.7501,0,0,44.838,1,1,8008,4004
2222,1.1924e+08,0,-0.0047499,-0.0010724,-0.0003513,0.022722,0.10307,-9.7397,0,0,44.838,1,1,8008,4004
2226,1.1924e+08,0,-0.0051006,-0.00075177,-0.00017295,0.020684,0.10265,-9.7367,0,0,44.838,1,1,8008,4004
2230,1.1924e+08,0,-0.0053996,-0.00085461,-3.3588e-05,0.020195,0.10157,-9.7383,0,0,44.838,1,1,8008,4004
2265,1.1924e+08,0,-0.005434,-0.00095662,0.00043391,0.021427,0.10202,-9.7423,0,0,44.838,1,1,8008,4004
2268,1.1925e+08,0,-0.0054287,-0.0015414,7.2528e-05,0.025943,0.10319,-9.7427,0,0,44.839,1,1,8008,4004
2271,1.1925e+08,0,-0.0044958,-0.0013811,-0.00031051,0.030134,0.103,-9.7424,0,0,44.839,1,1,8008,4004
2274,1.1925e+08,0,-0.0037715,-0.00041334,7.4073e-05,0.036672,0.099595,-9.7401,0,0,44.839,1,1,8008,4004
2312,1.1925e+08,0,-0.0044516,-0.00059972,-0.0010485,0.040103,0.096437,-9.7387,0,0,44.839,1,1,8008,4004
2315,1.1926e+08,0,-0.0048974,-0.0012194,-0.0030751,0.043206,0.092185,-9.7377,0,0,44.839,1,1,8008,4004
