LineNo,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
592069,201429592,-4.142523e-06,-1.057797e-07,0,0.2585996,-0.1956346,-0.1956346,0.52,NaN,0,0.8874922,-26,-26
592514,201533913,-2.95043e-06,-4.844674e-08,0,0.2585996,-0.2188511,-0.2188511,0.44,NaN,0,0.8659007,-29,-29
592923,201638706,-2.95043e-06,-3.310583e-08,0,0.2585996,-0.2414742,-0.2414742,0.47,NaN,0,0.8446205,-27,-27
593368,201743556,-2.95043e-06,-2.332558e-08,0,0.2585996,-0.2517619,-0.2517619,0.06,NaN,0,0.8352636,-12,-12
593810,201849885,-2.95043e-06,-5.009065e-08,0,0.2585996,-0.2466897,-0.2466897,0.37,NaN,0,0.8404654,2,2
594259,201952354,-2.95043e-06,-7.47184e-08,0,0.2585996,-0.2289756,-0.2289756,0.02,NaN,0,0.8581948,8,8
594699,202058054,-2.95043e-06,-8.447296000000001e-08,0,0.2585996,-0.2088574,-0.2088574,0.34,NaN,0,0.8777484,6,6
595145,202161364,-2.95043e-06,-7.161156999999999e-08,0,0.2585996,-0.1910603,-0.1910603,0.46,NaN,0,0.895187,4,4
595586,202265944,-2.95043e-06,-5.487664e-08,0,0.2585996,-0.1767369,-0.1767369,0.24,NaN,0,0.9087855,-1,-1
596035,202369565,-2.95043e-06,-3.574723e-08,0,0.2585996,-0.1654385,-0.1654385,0.57,NaN,0,0.9195804,-5,-5
596447,202473412,-2.95043e-06,-2.032607e-08,0,0.2585996,-0.1539517,-0.1539517,0.49,NaN,0,0.9301897,0,0
596894,202577809,-2.95043e-06,-8.772304e-09,0,0.2585996,-0.1310944,-0.1310944,0.4,NaN,0,0.9519104,13,13
597335,202683579,-2.95043e-06,-5.565198e-09,0,0.2585996,-0.09766411999999999,-0.09766411999999999,0.51,NaN,0,0.9769864,16,16
597781,202785592,-2.95043e-06,-1.339095e-08,0,0.2585996,-0.06738696,-0.06738696,0.71,NaN,0,0.9964146,10,10
598225,202891015,-2.95043e-06,-1.833359e-08,0,0.2585996,-0.04236081,-0.04236081,0.34,NaN,0,1.008234,-1,-1
598667,202997298,-2.95043e-06,-2.006414e-08,0,0.2585996,-0.03116336,-0.03116336,0.13,NaN,0,1.005394,-11,-11
