LineNo,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
8869,51282615,0,1.63,0,-1.56,16.36,16.34,0,0,3
8911,51292506,0,1.63,0,-1.56,16.36,16.34,0,0,3
8952,51302495,0,1.63,0,-1.56,16.36,16.34,0,0,3
8997,51312818,0,1.63,0,-1.56,16.36,16.34,0,0,3
9037,51322781,0,1.63,0,-1.56,16.36,16.34,0,0,3
9078,51333020,0,1.63,0,-1.56,16.36,16.34,0,0,3
9118,51343432,0,1.63,0,-1.56,16.36,16.34,0,0,3
9159,51353271,0,1.63,0,-1.56,16.35,16.34,0,0,3
9196,51363319,0,1.63,0,-1.56,16.35,16.33,0,0,3
9237,51373302,0,1.63,0,-1.56,16.35,16.33,0,0,3
9280,51383750,0,1.63,0,-1.56,16.35,16.33,0,0,3
9320,51393816,0,1.63,0,-1.56,16.35,16.33,0,0,3
9361,51404037,0,1.63,0,-1.56,16.35,16.33,0,0,3
9405,51414214,0,1.63,0,-1.56,16.35,16.33,0,0,3
9446,51424309,0,1.63,0,-1.56,16.35,16.33,0,0,3
9487,51433879,0,1.63,0,-1.56,16.35,16.33,0,0,3
9513,51456450,0,1.63,0,-1.56,16.35,16.33,0,0,3
9553,51467153,0,1.63,0,-1.56,16.35,16.33,0,0,3
9595,51477414,0,1.63,0,-1.56,16.35,16.33,0,0,3
9635,51487390,0,1.63,0,-1.56,16.35,16.33,0,0,3
9676,51496940,0,1.63,0,-1.56,16.35,16.33,0,0,3
9716,51507215,0,1.63,0,-1.56,16.35,16.33,0,0,3
9761,51517691,0,1.63,0,-1.56,16.35,16.33,0,0,3
9803,51527636,0,1.63,0,-1.56,16.35,16.33,0,0,3
9843,51538040,0,1.63,0,-1.56,16.35,16.33,0,0,3
9885,51548190,0,1.64,0,-1.56,16.35,16.33,0,0,3
9922,51558196,0,1.63,0,-1.56,16.35,16.33,0,0,3
9963,51568474,0,1.63,0,-1.56,16.35,16.33,0,0,3
10005,51578309,0,1.63,0,-1.56,16.35,16.33,0,0,3
10047,51588349,0,1.64,0,-1.56,16.35,16.33,0,0,3
10088,51598525,0,1.63,0,-1.56,16.35,16.33,0,0,3
10128,51608466,0,1.63,0,-1.56,16.35,16.33,0,0,3
10173,51618754,0,1.63,0,-1.56,16.35,16.33,0,0,3
10213,51628916,0,1.63,0,-1.56,16.35,16.33,0,0,3
10254,51639045,0,1.63,0,-1.56,16.35,16.33,0,0,3
10297,51648875,0,1.63,0,-1.56,16.35,16.33,0,0,3
10334,51659252,0,1.63,0,-1.56,16.35,16.33,0,0,3
10375,51669590,0,1.63,0,-1.56,16.35,16.33,0,0,3
10415,51679071,0,1.63,0,-1.56,16.35,16.33,0,0,3
10457,51689264,0,1.64,0,-1.56,16.35,16.33,0,0,3
10497,51699078,0,1.64,0,-1.56,16.35,16.33,0,0,3
10538,51709177,0,1.64,0,-1.56,16.35,16.33,0,0,3
10584,51719763,0,1.64,0,-1.56,16.35,16.33,0,0,3
10624,51729746,0,1.64,0,-1.56,16.35,16.33,0,0,3
10665,51739882,0,1.64,0,-1.56,16.35,16.33,0,0,3
10705,51750165,0,1.64,0,-1.55,16.34,16.32,0,0,3
10745,51760165,0,1.64,0,-1.55,16.34,16.32,0,0,3
10783,51770926,0,1.64,0,-1.55,16.34,16.32,0,0,3
10823,51781448,0,1.63,0,-1.55,16.34,16.32,0,0,3
10868,51792193,0,1.63,0,-1.55,16.34,16.32,0,0,3
10908,51802821,0,1.63,0,-1.55,16.34,16.32,0,0,3
10949,51813020,0,1.63,0,-1.55,16.34,16.32,0,0,3
10995,51822822,0,1.63,0,-1.55,16.34,16.32,0,0,3
11035,51832823,0,1.63,0,-1.56,16.34,16.32,0,0,3
11076,51843195,0,1.63,0,-1.55,16.34,16.32,0,0,3
11116,51853316,0,1.63,0,-1.55,16.34,16.32,0,0,3
11158,51863235,0,1.64,0,-1.55,16.34,16.32,0,0,3
11192,51873288,0,1.64,0,-1.55,16.34,16.32,0,0,3
11235,51883318,0,1.64,0,-1.55,16.34,16.32,0,0,3
11276,51893752,0,1.64,0,-1.55,16.34,16.32,0,0,3
11318,51903854,0,1.64,0,-1.55,16.34,16.32,0,0,3
11360,51914079,0,1.64,0,-1.55,16.34,16.32,0,0,3
11404,51924192,0,1.63,0,-1.55,16.34,16.32,0,0,3
11445,51934081,0,1.63,0,-1.55,16.33,16.31,0,0,3
11485,51944309,0,1.63,0,-1.55,16.33,16.31,0,0,3
11528,51954114,0,1.63,0,-1.55,16.34,16.32,0,0,3
11569,51964045,0,1.63,0,-1.55,16.34,16.32,0,0,3
11611,51977243,0,1.63,0,-1.55,16.34,16.32,0,0,3
11651,51987815,0,1.63,0,-1.55,16.34,16.32,0,0,3
11693,51997917,0,1.63,0,-1.55,16.34,16.32,0,0,3
11734,52007938,0,1.63,0,-1.55,16.34,16.32,0,0,3
11775,52018160,0,1.63,0,-1.54,16.34,16.32,0,0,3
11820,52028184,0,1.63,0,-1.54,16.34,16.32,0,0.01,3
11861,52037795,0,1.63,0,-1.54,16.34,16.32,0,0.01,3
11902,52047970,0,1.63,0,-1.54,16.34,16.32,0,0.01,3
11942,52058260,0,1.63,0,-1.55,16.34,16.32,0,0.01,3
11988,52073725,0,1.63,0,-1.55,16.34,16.32,0,0.01,3
12028,52084448,0,1.63,0,-1.55,16.34,16.32,0,0.01,3
12070,52094768,0,1.63,0,-1.54,16.34,16.32,0,0.01,3
12110,52105170,0,1.63,0,-1.55,16.34,16.32,0,0.01,3
12152,52114827,0,1.63,0,-1.54,16.33,16.31,0,0.01,3
12199,52125203,0,1.63,0,-1.54,16.33,16.31,0,0.01,3
12240,52135388,0,1.63,0,-1.54,16.33,16.31,0,0.01,3
12281,52145242,0,1.63,0,-1.54,16.33,16.31,0,0.01,3
12321,52155465,0,1.63,0,-1.54,16.33,16.31,0,0.01,3
12362,52166039,0,1.63,0,-1.54,16.33,16.31,0,0.01,3
12399,52179414,0,1.63,0,-1.54,16.33,16.31,0,0.01,3
12442,52189308,0,1.63,0,-1.54,16.33,16.31,0,0.01,3
12484,52199433,0,1.63,0,-1.54,16.32,16.3,0,0.01,3
12525,52209604,0,1.63,0,-1.54,16.32,16.3,0,0.01,3
12566,52220078,0,1.63,0,-1.54,16.32,16.3,0,0.01,3
12610,52230770,0,1.63,0,-1.54,16.32,16.3,0,0.01,3
12651,52240819,0,1.63,0,-1.54,16.32,16.3,0,0.01,3
12692,52250446,0,1.63,0,-1.54,16.32,16.3,0,0.01,3
12733,52260832,0,1.63,0,-1.54,16.32,16.3,0,0.01,3
