TimeUS,RPM,Curr,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Guasto
79664473,6302,3.65,-1.9,-5.29,-5.82,-4.19,8.34,5.52,0.01992996,-0.07812307,-0.02080446,-0.5596072,0.6178562,-10.00443,2
79761881,6352,3.85,-1.33,-4.25,-5.88,-4.59,8.35,5.63,0.1753463,-0.1111737,0.03682438,-0.6144018,0.5739251,-9.652876,2
79877037,6188,3.55,-0.74,-3.38,-5.83,-4.64,8.34,5.72,0.04302423,-0.03122538,0.02248821,-0.3335948,0.7124808,-9.805976,2
79987619,6225,3.99,0.37,-2.22,-5.67,-4.66,8.34,5.69,0.238566,0.04907554,-0.01343346,-0.8802471,0.7405022,-10.14975,2
80099056,6196,3.84,1.14,-0.86,-5.55,-4.67,8.35,5.61,0.2560075,-0.03168281,-0.02115263,-0.5332268,0.5352373,-9.780572,2
80207726,6316,3.76,1.67,-0.2,-5.5,-4.39,8.35,5.64,0.002100176,0.01673902,0.03749737,-0.5294557,0.5487933,-9.987315,2
80312827,6343,4.01,1.97,0.13,-5.33,-4.47,8.35,5.81,0.01678968,-0.09984658,0.04092743,-0.5826117,0.2862149,-9.971135,2
80423264,6339,3.45,2.22,-0.2,-5.13,-4.45,8.36,6.04,-0.06340812,0.07776587,0.05468239,-0.4663842,0.7207334,-9.596843,2
80521226,6161,3.67,2.39,-0.19,-4.92,-4.44,8.37,6.13,0.06053878,0.05790899,-0.01298074,-0.4716754,0.4368958,-9.851079,2
80629612,6242,3.64,2.18,-0.16,-4.68,-4.27,8.38,6.12,-0.0649478099999999,0.1000275,-0.01724504,-0.7590967,0.3239929,-9.988008,2
80747249,6236,3.16,1.86,-0.74,-4.7,-3.68,8.38,5.97,-0.1525447,0.1512805,-0.01842284,-0.7613924,0.4766374,-9.664321,2
80856275,5860,3.25,1.74,-1.51,-5.01,-3.35,8.37,5.9,-0.1150646,0.1368509,-0.01198137,-0.2036925,0.545898,-9.553994,2
80959013,5940,3.5,1.73,-1.41,-5.31,-3.78,8.36,6.22,0.02238819,-0.03224067,0.07893014,-0.6019147,0.7685,-9.618008,2
81069324,5949,3.97,1.73,-0.6,-5.46,-4.77,8.35,6.88,0.1658255,-0.1815843,0.1158593,-0.4219581,0.3736432,-9.547316,2
81177804,6177,3.64,1.7,-0.2,-5.5,-5.65,8.35,7.57,-0.06235916,-0.001386926,0.1285938,-0.5287461,0.4473894,-9.667252,2
81287969,6252,3.93,1.56,0.03,-5.6,-5.94,8.35,8.05,0.07521919,-0.0248783,0.08022488,-0.793205,0.4190691,-9.937872,2
81386239,6353,3.96,1.34,0.1,-5.61,-5.66,8.35,8.43,0.06968202,0.03750102,0.1015419,-0.7012138,0.4936163,-9.445113,2
81604853,6288,4.15,0.58,-0.29,-5.44,-5.33,8.35,9.83,0.009219517,-0.04328902,0.1273272,-0.4856522,0.6959222,-9.540666,2
81720042,6415,4.28,-0.09,-0.46,-4.33,-4.84,8.36,10.55,0.08607314,0.1894821,0.07178791,-0.5013578,0.7267399,-9.587879,2
81829465,6430,4.33,-0.72,-0.69,-3.5,-3.95,8.35,10.75,0.002834593,0.1022557,-0.004591311,-0.4711127,0.5966046,-9.687695,2
81929308,6474,4.76,-1.78,-1.2,-2.92,-3.25,8.34,10.42,-0.1121116,0.06058805,-0.08002075,-0.5627735,0.3813966,-10.03209,2
82048732,6645,3.85,-4.19,-3.56,-2.54,-2.29,8.32,9.63,-0.5730129,0.1283104,-0.1633937,-0.4146651,0.7668965,-9.785756,2
82151249,6482,3.66,-5.82,-5.77,-2.4,-1.62,8.31,8.78,-0.3937154,0.160418,-0.162423,-0.6738505,0.6420972,-9.825538,2
82267286,6433,3.6,-6.71,-7.93,-2.45,-1.45,8.32,7.85,-0.2662107,0.0009607475,-0.1258727,-0.3772751,0.8078886,-9.62785,2
82368168,6300,3.37,-6.99,-8.35,-2.74,-1.6,8.35,7.11,0.03821684,-0.04159894,-0.1148858,-0.8057957,0.7565657,-9.930249,2
82481063,6025,3.61,-7.03,-8.04,-3.14,-2.1,8.4,6.39,0.03964243,-0.1186163,-0.09937644,-0.565321,0.7914122,-9.464014,2
82591617,6172,3.39,-6.57,-7.31,-3.59,-2.58,8.45,5.86,0.1758512,-0.06057625,-0.09751667,-0.7083373,0.9493589,-9.709208,2
82694203,6041,3.62,-5.13,-5.81,-3.93,-2.95,8.49,5.51,0.4224504,-0.05337346,-0.0854369,-0.6464814,0.9322787,-9.616488,2
82799934,6030,3.61,-3.99,-3.54,-4.14,-3.22,8.51,5.25,0.3547037,-0.07732579,-0.01970238,-0.6594132,0.6506375,-9.626268,2
82909306,6142,3.66,-3.3,-2.21,-4.33,-3.36,8.52,5.03,0.2487818,0.02836673,-0.04543318,-0.7653888,0.3948589,-10.06775,2
83018536,6153,3.66,-3.17,-1.92,-4.45,-3.53,8.53,5.04,0.07114668,0.005263837,0.0334731,-0.481775,0.6339121,-9.814642,2
83125304,6116,3.58,-3.26,-2.18,-4.38,-3.82,8.52,5.23,-0.04959647,-0.1306281,0.04098013,-0.4272065,0.693525,-9.867432,2
83243417,6237,3.34,-3.49,-2.77,-4.05,-4.33,8.5,5.84,-0.05149877,-0.01807634,0.1176607,-0.5369279,0.7281631,-9.642779,2
83347864,6090,3.78,-3.74,-3.1,-3.9,-4.34,8.49,6.59,0.02228663,-0.0468422,0.1605739,-0.2863336,0.7984756,-9.763167,2
83668787,6145,3.87,-4.84,-2.0,-2.92,-4.46,8.42,8.37,-0.07082115,0.1129979,0.02881039,-0.6425128,0.6695737,-9.975176,2
83776783,6330,4.28,-5.18,-1.91,-2.02,-3.94,8.34,8.19,-0.06084428,0.168923,-0.03617832,-0.6585334,0.5552105,-9.993953,2
83882077,6386,4.03,-5.5,-2.27,-1.39,-2.77,8.28,7.8,-0.1470515,0.1382075,-0.0881903,-0.6400291,0.5716352,-10.14047,2
83999388,6411,3.43,-5.8,-3.49,-0.98,-1.86,8.24,7.15,-0.3512573,0.09528238,-0.1466429,-0.1664148,0.9346025,-9.586277,2
84105758,6240,3.28,-6.03,-4.51,-1.01,-1.61,8.24,6.66,-0.2753563,-0.02172286,-0.06172357,-0.294227,0.6556488,-8.996131,2
84216191,6190,3.1,-6.12,-5.08,-1.24,-1.69,8.27,6.28,-0.203853,0.03971515,-0.04494691,-0.3274782,0.8828145,-8.950036,2
84319305,5935,3.03,-6.09,-5.0,-1.45,-2.13,8.29,5.88,0.03779303,-0.1352635,-0.09469389,-0.4615249,0.4648226,-8.181143,2
84426821,5798,2.76,-6.01,-5.01,-1.65,-2.73,8.31,5.41,-0.07413469,-0.07519487,-0.07033999,-0.4043149,0.6686575,-7.965264,2
84544056,5655,3.18,-6.05,-4.78,-1.74,-3.38,8.32,5.08,-0.01980221,0.02138662,-0.01836613,-0.6795332,0.7036859,-8.134184,2
84766434,5651,3.45,-6.32,-4.23,-1.49,-3.55,8.29,5.08,0.09896956,0.07496244,0.06254972,-0.3878633,0.8844688,-8.558577,2
84978168,5868,3.35,-6.62,-3.41,-0.75,-3.65,8.21,5.46,-0.02854159,0.09581821,0.02009648,-0.3891814,0.7347935,-9.046858,2
85189205,6197,3.58,-6.81,-4.18,-0.56,-2.46,8.19,5.63,-0.1936684,-0.08708802,0.008641576,0.1312733,0.6788825,-9.33777,2
85300178,6121,3.7,-6.84,-4.33,-0.51,-2.3,8.18,5.64,0.05960649,0.023167,0.006463661,-0.1335432,0.7874933,-9.843836,2
85409792,6230,3.81,-6.8,-4.28,-0.45,-2.53,8.17,5.65,0.06644365,-0.04736036,0.04134021,-0.2319124,0.9011103,-9.560157,2
85512640,6257,3.67,-6.73,-4.35,-0.35,-2.45,8.16,5.7,-0.01516034,0.04753892,0.008404627,-0.3827011,1.146097,-9.741953,2
85629274,6292,3.89,-6.78,-4.62,-0.02,-2.45,8.12,5.91,0.04839065,0.08681551,0.01679666,-0.2283934,1.0155,-9.708926,2
85740083,6474,4.42,-7.02,-4.34,0.3,-2.32,8.08,6.41,0.1513923,0.0590235,0.1202891,-0.6028957,1.069794,-10.45582,2
85846473,6508,4.2,-7.06,-4.22,0.31,-1.76,8.08,6.9,-0.02322149,0.0950744699999999,0.08190031,-0.512555,0.9561169,-9.821815,2
85949658,6400,3.91,-6.82,-4.67,0.41,-1.48,8.07,7.44,0.004710116,0.0165738,0.09335809,-0.3179577,0.9470809,-9.69718,2
86172867,6421,4.09,-6.31,-4.78,0.63,-1.41,8.04,8.0,-0.0786343999999999,0.1148265,0.09984426,-0.7049943,1.064367,-10.38605,2
86285051,6575,4.17,-6.16,-4.79,0.75,-1.56,8.03,8.32,-0.1372427,0.004127601,0.05844134,-0.5810739,0.7500503,-10.19815,2
86395149,6473,3.99,-6.18,-4.77,0.72,-1.7,8.03,8.39,-0.064745,0.051911,-0.01039283,-0.2904017,0.7803026,-9.932753,2
86504039,6474,3.64,-5.99,-5.31,0.79,-2.2,8.03,8.48,-0.1531666,-0.07619082,0.02158074,-0.7236459,1.182563,-9.784291,2
86603204,6235,4.06,-5.68,-5.31,0.74,-2.23,8.03,8.48,0.000637902,-0.03085746,-0.0280424,-0.4273632,0.9182485,-9.730593,2
86724191,6416,3.96,-5.09,-4.95,0.62,-1.5,8.04,8.49,0.07382672,0.01435958,0.0650564399999999,-0.1265289,1.001002,-9.954159,2
86827016,6323,4.05,-4.64,-4.37,0.6,-1.22,8.05,8.51,0.008255814,-0.0359908,0.01236794,-0.275423,0.9779747,-9.915322,2
86935194,6405,3.72,-4.31,-4.0,0.29,-1.54,8.07,8.37,-0.04282246,-0.07733742,-0.03716447,-0.353202,0.7801347,-9.15388,2
87050645,6278,4.04,-4.11,-4.19,-0.44,-1.13,8.12,8.08,0.0337542,0.08785675,-0.032952,-0.2614831,0.9883388,-9.632983,2
87145850,6340,3.85,-4.01,-4.32,-1.09,-1.09,8.17,7.91,-0.0468851,-0.0822587699999999,0.03694675,-0.4509817,0.9053313,-9.782724,2
87252454,6315,4.08,-3.93,-4.33,-1.6,-2.06,8.2,7.66,0.09486007,-0.1597867,-0.04620282,-0.3804621,1.020093,-9.904535,2
