TimeUS,RPM,Curr,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Guasto
64559716,6183,3.14,-4.43,-5.76,-3.33,-2.75,357.84,357.18,0.4859273,0.128621,-0.1237932,-0.6457469,1.57878,-9.313246,1
64667816,5942,2.92,-3.21,-3.04,-3.8,-2.39,357.87,356.43,0.3643324,0.08113486,-0.1186424,-0.4857537,1.51065,-9.628867,1
64784226,5944,2.85,-1.68,-1.21,-4.08,-2.89,357.88,356.09,0.1751937,-0.02135899,-0.117291,-0.4302513,1.532239,-9.702115,1
64892832,5695,2.48,0.36,1.48,-4.68,-3.7,357.89,355.49,0.3144708,-0.04549906,-0.07176609,-0.5168773,1.181337,-9.51227,1
65110999,5447,2.43,2.48,3.96,-5.33,-4.5,357.87,354.33,0.4087726,0.07655954,-0.148838,-0.4439966,1.426184,-8.87389,1
65206020,5312,2.09,2.4,4.1,-5.64,-4.44,357.86,354.01,-0.03027412,-0.1037078,-0.03002686,-0.8960636,1.342512,-9.03271,1
65327471,5253,2.81,1.99,2.86,-5.78,-4.68,357.85,353.83,-0.2467662,0.07283089,-0.05133595,-0.7608064,0.9969982,-8.906528,1
65441390,5351,2.42,0.76,1.82,-5.78,-4.73,357.85,353.65,-0.2915314,0.009788249,-0.02356149,-0.8863486,1.125966,-9.658634,1
65533356,5400,2.71,-1.31,0.19,-5.72,-4.6,357.85,353.61,-0.3034784,-0.0826231199999999,-0.02081748,-0.9344488,1.165945,-9.077782,1
65648088,5398,2.86,-3.83,-2.08,-5.96,-5.12,357.86,353.61,-0.200619,-0.1059782,-0.01404502,-0.9413843,1.154928,-9.812827,1
65752029,5273,2.68,-5.29,-4.18,-6.25,-5.91,357.88,353.5,-0.4397988,-0.1830085,-0.02746697,-0.7178897,1.307995,-9.046658,1
65870018,5445,2.87,-6.44,-5.93,-6.33,-6.72,357.89,353.62,0.04010011,-0.04591217,0.005140219,-0.6887949,1.620432,-9.744473,1
65973380,5491,2.15,-6.8,-6.12,-6.27,-6.8,357.89,353.61,-0.09863766,0.08592448,-0.02066767,-0.6837112,0.982847,-9.888318,1
66087464,5374,2.46,-6.53,-5.13,-6.36,-5.94,357.9,353.38,0.1653012,0.1498402,-0.003310402,-0.8036683,0.9019871,-9.632868,1
66196126,5262,2.6,-6.03,-5.04,-6.38,-5.32,357.9,353.29,-0.1279507,0.1227425,-0.05160609,-0.4514284,1.328225,-8.986513,1
66403035,5389,3.04,-5.81,-5.05,-6.83,-5.4,357.95,353.17,-0.1805267,-0.0391949,0.05675967,-1.207788,1.160823,-9.892498,1
66518138,5703,3.14,-5.81,-5.5,-7.08,-5.64,357.97,353.26,-0.08728687,-0.07185426,-0.005948421,-0.5469755,1.582924,-10.24576,1
66625348,5801,3.42,-5.68,-6.03,-7.25,-5.93,357.99,353.69,-0.2367286,0.07595803,0.0711647599999999,-0.8274477,1.357193,-9.769786,1
66735804,5858,3.34,-5.63,-5.87,-7.1,-6.1,357.97,354.26,0.006058899,0.01598648,0.03062334,-0.9216308,1.597573,-10.3607,1
66834486,6030,3.46,-5.42,-5.89,-6.67,-5.8,357.93,354.83,0.02948608,0.083607,0.1170824,-1.126288,1.364372,-10.20368,1
66943814,6111,3.49,-5.43,-5.63,-6.04,-5.48,357.87,355.52,-0.1017594,0.08814879,0.113241,-1.330397,1.326114,-9.708773,1
67053248,5917,3.35,-5.75,-5.75,-5.52,-5.36,357.82,356.18,-0.08253269,0.07827902,0.0737281999999999,-0.7373547,1.258914,-10.11248,1
67395821,6121,3.5,-2.52,-3.5,-3.71,-4.18,357.68,357.24,0.4941685,0.1311548,0.003287581,-0.863669,1.527815,-9.061949,1
67605210,5911,3.06,-0.09,0.18,-2.39,-3.01,357.65,357.55,0.07950475,-0.05836365,0.06611536,-0.7797194,1.207749,-9.558208,1
67707712,5853,2.85,0.21,0.86,-1.08,-2.06,357.66,357.79,-0.1393035,0.3613586,0.07465715,-0.8051151,1.585421,-9.448331,1
67820746,5656,3.44,0.32,1.2,0.64,-0.3,357.66,357.81,-0.1619877,0.2877417,-0.02804066,-0.5264723,1.240993,-9.888245,1
67926572,5651,3.36,0.57,0.9,1.68,1.28,357.67,357.66,-0.0328318,0.1385868,-0.02899964,-0.1970445,1.456706,-9.581631,1
68036935,6006,3.65,0.88,0.31,2.05,1.81,357.68,357.34,-0.2809582,0.009676531,-0.04918704,-0.6379014,1.016883,-9.442541,1
68147230,5920,3.84,1.34,0.19,1.97,1.38,357.67,357.03,0.1790055,-0.09148536,-0.07327609,-1.062867,1.386482,-9.589356,1
68256985,6077,4.31,2.23,0.5,1.6,1.56,357.66,356.63,0.1843852,-0.01292439,-0.07832326,-0.6333271,1.280065,-9.734065,1
68362296,6358,4.07,3.1,1.85,1.24,1.66,357.65,356.33,0.3028104,-0.01103637,-0.01097799,-0.5175374,1.10533,-10.33698,1
68482536,6425,4.12,3.8,3.44,0.86,1.62,357.62,356.34,0.1590461,-0.06130525,0.03120882,-0.4382825,0.9203873,-10.48849,1
68586066,6394,3.91,4.18,4.17,0.82,1.28,357.62,356.55,0.1700008,-0.06749876,0.05666962,-0.5636507,1.06442,-10.79079,1
68697156,6348,3.63,4.12,4.34,0.76,1.07,357.62,356.79,-0.08749508,-0.07696838,0.02270368,-0.6167675,0.9286788,-10.43394,1
68799219,6433,3.63,4.1,3.95,0.48,0.73,357.6,356.8,-0.1531772,-0.0775936,-0.03129643,-0.7092326,0.8808725,-10.33778,1
68899819,6299,3.99,4.24,3.0,-0.41,0.18,357.53,356.54,-0.2019078,-0.05038755,-0.07118884,-0.4166707,1.304322,-9.624312,1
69009058,6277,3.16,2.83,1.5,-2.09,-1.68,357.42,356.14,-0.4236746,-0.2935675,-0.03860227,-1.192025,0.4306741,-9.879074,1
69117095,6120,4.32,1.07,-1.13,-4.08,-3.85,357.36,355.94,-0.3543045,-0.3968085,-0.01599056,-0.3499987,1.123183,-9.249861,1
69225980,6256,3.72,-0.12,-2.85,-6.0,-6.79,357.34,355.98,-0.2195019,-0.4002925,-0.0183695,-0.841458,1.22045,-9.885602,1
69330990,6244,4.04,-0.13,-3.1,-6.81,-8.25,357.34,356.13,0.06960811,-0.1852792,0.02672421,-1.09517,0.9261157,-10.22208,1
