LineNo,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
6059,1.652e+07,0,0,0,0,0,0.46,0.05,0,0,0.5,0.00079392,0.021036,0.12286
6103,1.653e+07,0,0,0,0,0,0.47,0.05,0,0,0.5,0.00080677,0.020455,0.12123
6140,1.6541e+07,0,0,0,0,0,0.46,0.05,0,0,0.5,0.00024823,0.023851,0.12977
6180,1.6551e+07,0,0,0,0,0,0.47,0.05,0,0,0.5,0.00020257,0.023111,0.12776
6220,1.6561e+07,0,0,0,0,0,0.47,0.05,0,0,0.5,0.00016445,0.022404,0.12578
6261,1.6571e+07,0,0,0,0,0,0.47,0.05,0,0,0.5,0.00016445,0.022404,0.12578
6302,1.6581e+07,0,0,0,0,0,0.48,0.05,0,0,0.5,0.00011416,0.021729,0.12389
6343,1.6591e+07,0,0,0,0,0,0.48,0.05,0,0,0.5,6.3254e-05,0.021082,0.12209
6389,1.6602e+07,0,0,0,0,0,0.49,0.05,0,0,0.5,1.797e-05,0.020463,0.1203
6433,1.6611e+07,0,0,0,0,0,0.49,0.05,0,0,0.5,1.797e-05,0.020463,0.1203
6474,1.6622e+07,0,0,0,0,0,0.49,0.05,0,0,0.5,4.6978e-05,0.019874,0.1186
6515,1.6632e+07,0,0,0,0,0,0.5,0.05,0,0,0.5,9.8771e-05,0.019308,0.11695
6553,1.6644e+07,0,0,0,0,0,0.49,0.05,0,0,0.5,0.00045784,0.025648,0.13327
6594,1.6654e+07,0,0,0,0,0,0.49,0.05,0,0,0.5,0.00047412,0.024782,0.13085
6634,1.6664e+07,0,0,0,0,0,0.5,0.05,0,0,0.5,0.00048739,0.023953,0.12854
6676,1.6674e+07,0,0,0,0,0,0.5,0.05,0,0,0.5,0.00049818,0.023161,0.12631
6716,1.6684e+07,0,0,0,0,0,0.5,0.05,0,0,0.5,0.00049818,0.023161,0.12631
6761,1.6694e+07,0,0,0,0,0,0.51,0.05,0,0,0.5,0.00050566,0.022401,0.12412
6803,1.6704e+07,0,0,0,0,0,0.51,0.05,0,0,0.5,0.00051005,0.021675,0.12203
6844,1.6714e+07,0,0,0,0,0,0.52,0.05,0,0,0.5,0.00051166,0.020985,0.12006
6885,1.6724e+07,0,0,0,0,0,0.52,0.05,0,0,0.5,0.00051166,0.020985,0.12006
6927,1.6734e+07,0,0,0,0,0,0.53,0.05,0,0,0.5,0.00050953,0.020317,0.11807
6962,1.6744e+07,0,0,0,0,0,0.5,0.05,0,0,0.5,0.0020131,0.030056,0.14349
7002,1.6754e+07,0,0,0,0,0,0.51,0.05,0,0,0.5,0.0019888,0.028931,0.14039
7043,1.6764e+07,0,0,0,0,0,0.51,0.05,0,0,0.5,0.0019888,0.028931,0.14039
7084,1.6774e+07,0,0,0,0,0,0.51,0.05,0,0,0.5,0.0019632,0.02785,0.13737
7125,1.6784e+07,0,0,0,0,0,0.52,0.05,0,0,0.5,0.001937,0.026819,0.1345
7172,1.6794e+07,0,0,0,0,0,0.52,0.05,0,0,0.5,0.0019098,0.025834,0.13169
7213,1.6804e+07,0,0,0,0,0,0.52,0.05,0,0,0.5,0.0019098,0.025834,0.13169
7255,1.6814e+07,0,0,0,0,0,0.53,0.05,0,0,0.5,0.0018825,0.024893,0.12902
7296,1.6824e+07,0,0,0,0,0,0.54,0.05,0,0,0.5,0.0018491,0.023996,0.1265
7336,1.6834e+07,0,0,0,0,0,0.54,0.05,0,0,0.5,0.001821,0.023133,0.12398
7377,1.6844e+07,0,0,0,0,0,0.54,0.05,0,0,0.5,0.001821,0.023133,0.12398
7414,1.6855e+07,0,0,0,0,0,0.52,0.05,0,0,0.5,0.0017937,0.03274,0.14951
7455,1.6865e+07,0,0,0,0,0,0.53,0.05,0,0,0.5,0.0014516,0.031421,0.146
7497,1.6875e+07,0,0,0,0,0,0.53,0.05,0,0,0.5,0.0013331,0.030152,0.14251
7537,1.6885e+07,0,0,0,0,0,0.54,0.05,0,0,0.5,0.0012162,0.028938,0.1391
7581,1.6895e+07,0,0,0,0,0,0.54,0.05,0,0,0.5,0.0012162,0.028938,0.1391
7623,1.6905e+07,0,0,0,0,0,0.54,0.05,0,0,0.5,0.0010792,0.027786,0.13593
