LineNo,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
1.8198e+05,5.8797e+07,4.521,2.0968,-0.084168,8.2034,0.091083,0.0099033,-1.2853,14.078,-0.11174,40.431,7.6796,0.26218
1.8203e+05,5.8808e+07,3.4087,-0.16356,-0.074814,8,2.0342,-0.0097058,-1.802,11.671,-0.11402,41.482,0.69304,0.26215
1.8207e+05,5.8818e+07,3.2452,4.073,-0.11579,7.8943,1.708,0.0034474,-2.3716,12.467,-0.11663,41.782,16.903,0.26226
1.8212e+05,5.8828e+07,3.0534,4.6865,-0.12924,7.491,2.5709,0.0023903,-2.9201,10.439,-0.11843,42.531,25.485,0.26231
1.8217e+05,5.8838e+07,3.1403,4.5056,-0.12559,7.3206,3.971,0.0064699,-3.5309,12.58,-0.12123,42.831,21.855,0.26235
1.8221e+05,5.8849e+07,2.0305,2.9965,-0.12954,7.1849,5.0593,-0.0087176,-3.9824,10.877,-0.12336,43.028,28.893,0.26207
1.8225e+05,5.8864e+07,2.041,3.2368,-0.12135,6.7167,4.7307,0.0015638,-4.7968,11.434,-0.12624,42.758,27.143,0.26137
1.823e+05,5.8877e+07,0.48293,-3.2175,-0.066413,6.2844,10.137,-0.050661,-5.5906,14.724,-0.12877,42.551,31.058,0.26052
1.8234e+05,5.8888e+07,0.57761,-4.7257,-0.061947,6.0301,9.4207,-0.045861,-6.0359,10.823,-0.13115,41.903,42.036,0.25946
1.8239e+05,5.8898e+07,-1.7981,-2.069,-0.10486,5.9042,6.3484,-0.0097405,-6.5649,13.161,-0.13288,41.194,33.099,0.25815
1.8243e+05,5.8908e+07,-1.4903,-2.2662,-0.11663,5.6052,4.862,-0.004352,-7.0506,10.462,-0.13481,40.353,31.892,0.25728
1.8248e+05,5.8918e+07,-1.291,-0.27252,-0.13584,5.3626,6.0682,-0.015239,-7.5359,10.801,-0.13613,39.456,32.417,0.25671
1.8253e+05,5.8928e+07,-0.96582,-3.0165,-0.11731,5.1594,5.6722,-0.019268,-8.0107,11.188,-0.13792,38.971,10.096,0.25627
1.8258e+05,5.8939e+07,1.0328,-6.7304,-0.095554,4.97,1.0258,0.02261,-8.5082,9.6195,-0.13899,38.43,22.76,0.25646
1.8262e+05,5.895e+07,1.5431,-3.9278,-0.12013,4.8519,-0.40912,0.032695,-9.0289,9.933,-0.14092,37.782,24.7,0.25656
1.8266e+05,5.896e+07,0.4889,-6.9657,-0.093994,4.7849,0.36217,0.0034957,-9.3959,7.4903,-0.14149,37.793,-5.2457,0.25675
1.8271e+05,5.897e+07,1.1581,-12.85,-0.041205,4.9367,-4.0831,0.049095,-9.8282,8.983,-0.14271,37.733,7.3163,0.25762
1.8275e+05,5.8984e+07,1.6039,-11.439,-0.059806,4.6367,0.28808,-0.0041869,-10.4,8.3899,-0.14407,37.516,25.968,0.2584
1.828e+05,5.8998e+07,2.2856,-5.0001,-0.11719,4.8687,-0.95665,0.014177,-11.014,10.06,-0.14508,37.553,8.8531,0.25907
1.8284e+05,5.9008e+07,2.6786,-4.4474,-0.11767,4.9093,-5.0566,0.044276,-11.344,7.2397,-0.14642,37.658,12.507,0.25975
1.8289e+05,5.9018e+07,3.0911,-5.2312,-0.11098,4.9466,-6.0035,0.058215,-11.733,7.5616,-0.14718,37.571,11.822,0.26029
1.8293e+05,5.9029e+07,3.4186,-2.8204,-0.13972,4.9183,-2.8333,0.031361,-12.13,6.8721,-0.14872,37.89,4.1794,0.2607
1.8298e+05,5.9039e+07,4.1267,-9.9977,-0.057009,4.9968,-0.66222,0.0065938,-12.51,7.6759,-0.14909,37.946,14.055,0.2611
1.8303e+05,5.9049e+07,4.4301,-8.0965,-0.06003,5.0002,-0.015038,0.0046797,-12.875,9.0087,-0.15075,38.474,-14.43,0.26142
1.8307e+05,5.9059e+07,4.6869,-7.3885,-0.065895,5.0516,-3.4422,0.02679,-13.141,6.0937,-0.1509,38.139,14.977,0.26219
1.8312e+05,5.9074e+07,5.2134,-8.8031,-0.062565,4.7895,3.3968,-0.033756,-13.805,8.8986,-0.15284,37.896,-1.2644,0.26153
1.8316e+05,5.9084e+07,5.6599,-14.207,0.013613,4.7866,3.5948,-0.019557,-14.037,6.1922,-0.15294,37.342,24.742,0.26154
1.832e+05,5.9096e+07,5.8957,-7.1011,-0.065393,4.7835,4.0221,-0.030764,-14.564,9.4934,-0.15471,37.041,40.697,0.26118
1.8324e+05,5.9106e+07,6.3262,-9.6976,-0.033377,4.4229,9.5313,-0.076753,-14.839,6.7778,-0.15451,36.022,26.642,0.26053
1.8329e+05,5.9117e+07,6.4674,-5.1499,-0.07884,4.4799,0.26189,0.018077,-15.228,10.24,-0.15651,34.824,26.581,0.2597
1.8334e+05,5.9126e+07,6.6097,-2.0684,-0.096938,4.237,3.1842,0.0051876,-15.453,4.7404,-0.15679,33.618,36.207,0.25895
1.8338e+05,5.9137e+07,6.8998,-1.1568,-0.10763,4.0966,0.27811,0.023247,-15.978,11.528,-0.15864,31.975,49.448,0.25796
1.8343e+05,5.9147e+07,7.1142,-1.6141,-0.088453,3.8058,5.7924,-0.024142,-16.134,2.9493,-0.15868,30.515,32.13,0.2567
1.8348e+05,5.9158e+07,6.9874,4.0948,-0.1304,3.7708,1.82,0.0080242,-16.586,10.962,-0.16027,28.463,59.08,0.25541
1.8352e+05,5.9169e+07,7.0373,3.891,-0.13991,3.5016,2.2188,0.0086064,-16.74,2.7171,-0.16066,27.373,18.992,0.25412
1.8357e+05,5.9179e+07,7.2389,1.3852,-0.11026,3.3616,-0.94984,0.03503,-17.146,7.8917,-0.16158,25.354,58.21,0.25355
1.8361e+05,5.9197e+07,7.509,-4.558,-0.057191,3.1142,4.4459,-0.011794,-17.572,5.8455,-0.16239,24.332,9.8421,0.25234
1.8366e+05,5.9208e+07,7.5539,-3.1481,-0.05713,2.9706,4.1052,-0.026639,-17.87,7.7183,-0.16339,22.843,17.886,0.2526
1.837e+05,5.9219e+07,7.567,2.9265,-0.11473,3.0237,-1.7739,0.027765,-18.104,5.1599,-0.16358,21.754,1.9914,0.25298
1.8374e+05,5.9229e+07,7.419,5.4504,-0.12089,3.0781,-1.8876,0.011741,-18.264,3.6528,-0.16388,21.312,-11.552,0.25378
1.8379e+05,5.9239e+07,7.1773,8.7636,-0.15203,3.2209,-4.2684,0.039293,-18.487,4.2445,-0.16395,20.361,10.206,0.25483
