LineNo,TimeUS,LiftMax,BatVolt,ThLimit,ThrAvMx,FailFlags
11818,1.7967e+07,0.89703,0.93521,1,0.020911,2
11861,1.7977e+07,0.89704,0.93521,1,0.020911,2
11902,1.7988e+07,0.89704,0.93521,1,0.020911,2
11944,1.7997e+07,0.89705,0.93522,1,0.020911,2
11989,1.8007e+07,0.89706,0.93522,1,0.020911,2
12029,1.8017e+07,0.89707,0.93523,1,0.020911,2
12071,1.8027e+07,0.89708,0.93524,1,0.020911,2
12115,1.8043e+07,0.8971,0.93525,1,0.020911,2
12156,1.8053e+07,0.89712,0.93526,1,0.020911,2
12196,1.8063e+07,0.89713,0.93527,1,0.020911,2
12239,1.8073e+07,0.89714,0.93528,1,0.020911,2
12279,1.8083e+07,0.89715,0.93528,1,0.020911,2
12321,1.8093e+07,0.89716,0.93529,1,0.020911,2
12364,1.8103e+07,0.89717,0.9353,1,0.020911,2
12406,1.8113e+07,0.89719,0.93531,1,0.020911,2
12452,1.8125e+07,0.8972,0.93532,1,0.020911,2
12492,1.8135e+07,0.89721,0.93532,1,0.020911,2
12537,1.8148e+07,0.89723,0.93534,1,0.020911,2
12574,1.8159e+07,0.89724,0.93534,1,0.020911,2
12615,1.8169e+07,0.89725,0.93535,1,0.020911,2
12656,1.8179e+07,0.89726,0.93536,1,0.020911,2
12698,1.8189e+07,0.89728,0.93536,1,0.020911,2
12739,1.8199e+07,0.89729,0.93537,1,0.020911,2
12783,1.8209e+07,0.89729,0.93537,1,0.020911,2
12824,1.8219e+07,0.89729,0.93537,1,0.020911,2
12864,1.8229e+07,0.89728,0.93537,1,0.020911,2
12906,1.8239e+07,0.89728,0.93537,1,0.020911,2
12944,1.8249e+07,0.89728,0.93536,1,0.020911,2
12981,1.8259e+07,0.89727,0.93536,1,0.020911,2
13022,1.8269e+07,0.89727,0.93536,1,0.020911,2
13063,1.828e+07,0.89727,0.93536,1,0.020911,2
13105,1.8289e+07,0.89726,0.93536,1,0.020911,2
13145,1.8299e+07,0.89726,0.93535,1,0.020911,2
13190,1.831e+07,0.89726,0.93535,1,0.020911,2
13230,1.8319e+07,0.89726,0.93536,1,0.020911,2
13273,1.8329e+07,0.89727,0.93536,1,0.020911,2
13314,1.834e+07,0.89727,0.93536,1,0.020911,2
13352,1.8352e+07,0.89727,0.93536,1,0.020911,2
13392,1.8362e+07,0.89727,0.93536,1,0.020911,2
13433,1.8373e+07,0.89728,0.93536,1,0.020911,2
13475,1.8382e+07,0.89728,0.93537,1,0.020911,2
13515,1.8393e+07,0.89728,0.93537,1,0.020911,2
