LineNo,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S
81923,3.4802e+07,0,168,-35,358,43,-7,144,0,0,0,1,3.4802e+07
82373,3.4908e+07,0,170,-28,357,43,-7,144,0,0,0,1,3.4908e+07
82821,3.5015e+07,0,180,-37,363,43,-7,144,0,0,0,1,3.5015e+07
83233,3.512e+07,0,174,-44,351,43,-7,144,0,0,0,1,3.512e+07
83682,3.5226e+07,0,180,-57,357,43,-7,144,0,0,0,1,3.5226e+07
84132,3.5331e+07,0,179,-54,352,43,-7,144,0,0,0,1,3.5331e+07
84581,3.5437e+07,0,184,-55,351,43,-7,144,0,0,0,1,3.5437e+07
85031,3.5544e+07,0,185,-59,349,43,-7,144,0,0,0,1,3.5544e+07
85445,3.5649e+07,0,181,-51,352,43,-7,144,0,0,0,1,3.5649e+07
85894,3.5756e+07,0,173,-54,361,43,-7,144,0,0,0,1,3.5756e+07
86309,3.5862e+07,0,164,-60,360,43,-7,144,0,0,0,1,3.5862e+07
86757,3.5967e+07,0,160,-47,368,43,-7,144,0,0,0,1,3.5967e+07
87204,3.6071e+07,0,159,-44,363,43,-7,144,0,0,0,1,3.6071e+07
87649,3.6176e+07,0,148,-42,369,43,-7,144,0,0,0,1,3.6176e+07
88065,3.6279e+07,0,159,-38,362,43,-7,144,0,0,0,1,3.6279e+07
88512,3.6385e+07,0,164,-42,367,43,-7,144,0,0,0,1,3.6385e+07
88926,3.649e+07,0,158,-49,363,43,-7,144,0,0,0,1,3.649e+07
89378,3.6594e+07,0,178,-19,352,43,-7,144,0,0,0,1,3.6594e+07
89826,3.6699e+07,0,195,-10,348,43,-7,144,0,0,0,1,3.6699e+07
90274,3.6804e+07,0,193,2,350,43,-7,144,0,0,0,1,3.6804e+07
90691,3.691e+07,0,194,25,341,43,-7,144,0,0,0,1,3.6909e+07
91139,3.7015e+07,0,192,21,353,43,-7,144,0,0,0,1,3.7015e+07
91588,3.7121e+07,0,188,-7,355,43,-7,144,0,0,0,1,3.7121e+07
92032,3.7227e+07,0,187,-29,352,43,-7,144,0,0,0,1,3.7227e+07
92482,3.7333e+07,0,189,-46,349,43,-7,144,0,0,0,1,3.7333e+07
92930,3.7438e+07,0,181,-60,352,43,-7,144,0,0,0,1,3.7438e+07
93378,3.7543e+07,0,180,-69,351,43,-7,144,0,0,0,1,3.7543e+07
93827,3.765e+07,0,173,-73,347,43,-7,144,0,0,0,1,3.765e+07
94244,3.7756e+07,0,167,-82,358,43,-7,144,0,0,0,1,3.7756e+07
94691,3.7861e+07,0,156,-76,357,43,-7,144,0,0,0,1,3.7861e+07
95141,3.7967e+07,0,168,-61,360,43,-7,144,0,0,0,1,3.7967e+07
95557,3.8072e+07,0,181,-37,354,43,-7,144,0,0,0,1,3.8072e+07
96002,3.8176e+07,0,195,-25,348,43,-7,144,0,0,0,1,3.8176e+07
96447,3.8281e+07,0,210,-15,337,43,-7,144,0,0,0,1,3.8281e+07
96863,3.8386e+07,0,206,-12,342,43,-7,144,0,0,0,1,3.8386e+07
97305,3.849e+07,0,206,-49,340,43,-7,144,0,0,0,1,3.849e+07
97752,3.8594e+07,0,198,-11,342,43,-7,144,0,0,0,1,3.8594e+07
98170,3.8699e+07,0,189,-27,349,43,-7,144,0,0,0,1,3.8699e+07
98615,3.8806e+07,0,180,-47,355,43,-7,144,0,0,0,1,3.8806e+07
99064,3.8911e+07,0,185,-67,354,43,-7,144,0,0,0,1,3.8911e+07
99481,3.9019e+07,0,178,-72,346,43,-7,144,0,0,0,1,3.9019e+07
99928,3.9124e+07,0,182,-68,346,43,-7,144,0,0,0,1,3.9124e+07
