LineNo,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
1.613e+05,5.3856e+07,43.601,13.482,89.22,4.2491,4.2491
1.6134e+05,5.3866e+07,43.601,13.482,89.22,4.2487,4.2487
1.6139e+05,5.3876e+07,43.601,13.482,89.22,4.2482,4.2482
1.6144e+05,5.3886e+07,43.601,13.482,89.22,4.2477,4.2477
1.6148e+05,5.3897e+07,43.601,13.482,89.22,4.2471,4.2471
1.6153e+05,5.3907e+07,43.601,13.482,89.22,4.2464,4.2464
1.6157e+05,5.3917e+07,43.601,13.482,89.22,4.2454,4.2454
1.6161e+05,5.3929e+07,43.601,13.482,89.22,4.2447,4.2447
1.6166e+05,5.394e+07,43.601,13.482,89.22,4.2435,4.2435
1.617e+05,5.3951e+07,43.601,13.482,89.23,4.2423,4.2423
1.6175e+05,5.3961e+07,43.601,13.482,89.23,4.2413,4.2413
1.6179e+05,5.3971e+07,43.601,13.482,89.23,4.2403,4.2403
1.6184e+05,5.3982e+07,43.601,13.482,89.23,4.2392,4.2392
1.6189e+05,5.3992e+07,43.601,13.482,89.23,4.2381,4.2381
1.6193e+05,5.4002e+07,43.601,13.482,89.23,4.237,4.237
1.6198e+05,5.4012e+07,43.601,13.482,89.23,4.2359,4.2359
1.6202e+05,5.4022e+07,43.601,13.482,89.23,4.2347,4.2347
1.6206e+05,5.4034e+07,43.601,13.482,89.23,4.2333,4.2333
1.6211e+05,5.4048e+07,43.601,13.482,89.23,4.2316,4.2316
1.6216e+05,5.4061e+07,43.601,13.482,89.23,4.2301,4.2301
1.622e+05,5.4071e+07,43.601,13.482,89.23,4.2289,4.2289
1.6224e+05,5.4082e+07,43.601,13.482,89.23,4.2276,4.2276
1.6229e+05,5.4092e+07,43.601,13.482,89.23,4.2265,4.2265
1.6234e+05,5.4102e+07,43.601,13.482,89.23,4.2253,4.2253
1.6238e+05,5.4113e+07,43.601,13.482,89.23,4.224,4.224
1.6243e+05,5.4127e+07,43.601,13.482,89.23,4.2224,4.2224
1.6247e+05,5.4137e+07,43.601,13.482,89.19,4.2211,4.2211
1.6252e+05,5.4147e+07,43.601,13.482,89.19,4.2198,4.2198
1.6256e+05,5.4159e+07,43.601,13.482,89.19,4.2184,4.2184
1.626e+05,5.417e+07,43.601,13.482,89.19,4.2176,4.2176
1.6265e+05,5.418e+07,43.601,13.482,89.19,4.2163,4.2163
1.627e+05,5.419e+07,43.601,13.482,89.19,4.2151,4.2151
1.6274e+05,5.42e+07,43.601,13.482,89.19,4.2141,4.2141
1.6279e+05,5.421e+07,43.601,13.482,89.19,4.2133,4.2133
1.6283e+05,5.422e+07,43.601,13.482,89.19,4.2123,4.2123
1.6288e+05,5.423e+07,43.601,13.482,89.19,4.2114,4.2114
1.6292e+05,5.4244e+07,43.601,13.482,89.19,4.2102,4.2102
1.6296e+05,5.4256e+07,43.601,13.482,89.19,4.2086,4.2086
1.6301e+05,5.4266e+07,43.601,13.482,89.19,4.2071,4.2071
