LineNo,TimeUS,Status,Lat,Lng,Spacing,TerrH,CHeight,Pending,Loaded,ROfs
1.6794e+05,5.5457e+07,2,43.601,13.482,100,88.609,4.1348,0,224,0
1.7238e+05,5.6506e+07,2,43.601,13.482,100,88.583,4.1998,0,224,0
1.7682e+05,5.7555e+07,2,43.601,13.482,100,88.561,4.1402,0,224,0
1.8121e+05,5.8605e+07,2,43.601,13.482,100,88.576,4.4334,0,224,0
1.8558e+05,5.966e+07,2,43.601,13.482,100,88.609,4.2548,0,224,0
1.8996e+05,6.0719e+07,2,43.601,13.482,100,88.636,4.09,0,224,0
1.9432e+05,6.1776e+07,2,43.601,13.482,100,88.654,3.8186,0,224,0
1.9869e+05,6.2827e+07,2,43.601,13.482,100,88.633,3.4095,0,224,0
2.0303e+05,6.3879e+07,2,43.601,13.482,100,88.627,2.8619,0,224,0
2.0743e+05,6.4924e+07,2,43.601,13.482,100,88.62,2.22,0,224,0
2.1184e+05,6.5971e+07,2,43.601,13.482,100,88.619,1.545,0,224,0
2.1622e+05,6.7013e+07,2,43.601,13.482,100,88.669,0.9631,0,224,0
2.2055e+05,6.806e+07,2,43.601,13.482,100,88.675,0.52386,0,224,0
2.2496e+05,6.9106e+07,2,43.601,13.482,100,88.667,0.28576,0,224,0
2.2933e+05,7.015e+07,2,43.601,13.482,100,88.663,0.26389,0,224,0
2.3368e+05,7.1195e+07,2,43.601,13.482,100,88.661,0.19691,0,224,0
2.3809e+05,7.2239e+07,2,43.601,13.482,100,88.66,0.088409,0,224,0
2.4252e+05,7.3275e+07,2,43.601,13.482,100,88.657,0.020124,0,224,0
2.4698e+05,7.4321e+07,2,43.601,13.482,100,88.656,0.10881,0,224,0
2.5144e+05,7.5367e+07,2,43.601,13.482,100,88.654,0.12985,0,224,0
2.559e+05,7.6405e+07,2,43.601,13.482,100,88.654,0.31149,0,224,0
2.6037e+05,7.7446e+07,2,43.601,13.482,100,88.651,0.37244,0,224,0
2.648e+05,7.8485e+07,2,43.601,13.482,100,88.647,0.32206,0,224,0
2.6926e+05,7.9521e+07,2,43.601,13.482,100,88.647,0.2473,0,224,0
2.7373e+05,8.0566e+07,2,43.601,13.482,100,88.647,0.16875,0,224,0
2.7819e+05,8.1606e+07,2,43.601,13.482,100,88.644,0.08307,0,224,0
2.8265e+05,8.2654e+07,2,43.601,13.482,100,88.641,0.012055,0,224,0
2.8711e+05,8.3693e+07,2,43.601,13.482,100,88.642,-0.050727,0,224,0
2.9154e+05,8.4739e+07,2,43.601,13.482,100,88.641,-0.071299,0,224,0
2.9601e+05,8.579e+07,2,43.601,13.482,100,88.637,-0.10259,0,224,0
3.0047e+05,8.6829e+07,2,43.601,13.482,100,88.633,-0.10526,0,224,0
