LineNo,TimeUS,C15,C16,C17,C18
10787,1.7711e+07,0,0,0,0
10827,1.7721e+07,0,0,0,0
10868,1.7731e+07,0,0,0,0
10911,1.7741e+07,0,0,0,0
10951,1.7754e+07,0,0,0,0
10994,1.7764e+07,0,0,0,0
11034,1.7774e+07,0,0,0,0
11075,1.7784e+07,0,0,0,0
11115,1.7794e+07,0,0,0,0
11163,1.7804e+07,0,0,0,0
11204,1.7814e+07,0,0,0,0
11244,1.7824e+07,0,0,0,0
11286,1.7834e+07,0,0,0,0
11326,1.7844e+07,0,0,0,0
11364,1.7854e+07,0,0,0,0
11405,1.7864e+07,0,0,0,0
11449,1.7877e+07,0,0,0,0
11490,1.7887e+07,0,0,0,0
11532,1.7896e+07,0,0,0,0
11577,1.7906e+07,0,0,0,0
11618,1.7917e+07,0,0,0,0
11658,1.7927e+07,0,0,0,0
11699,1.7937e+07,0,0,0,0
11741,1.7946e+07,0,0,0,0
11779,1.7957e+07,0,0,0,0
11820,1.7967e+07,0,0,0,0
11863,1.7977e+07,0,0,0,0
11904,1.7988e+07,0,0,0,0
11946,1.7997e+07,0,0,0,0
11991,1.8007e+07,0,0,0,0
12031,1.8017e+07,0,0,0,0
12073,1.8027e+07,0,0,0,0
12117,1.8043e+07,0,0,0,0
12158,1.8053e+07,0,0,0,0
12198,1.8063e+07,0,0,0,0
12241,1.8073e+07,0,0,0,0
12281,1.8083e+07,0,0,0,0
12323,1.8093e+07,0,0,0,0
12366,1.8103e+07,0,0,0,0
12408,1.8113e+07,0,0,0,0
12454,1.8125e+07,0,0,0,0
12494,1.8135e+07,0,0,0,0
12539,1.8148e+07,0,0,0,0
12576,1.8159e+07,0,0,0,0
12617,1.8169e+07,0,0,0,0
12658,1.8179e+07,0,0,0,0
12700,1.8189e+07,0,0,0,0
12741,1.8199e+07,0,0,0,0
12785,1.8209e+07,0,0,0,0
12826,1.8219e+07,0,0,0,0
12866,1.8229e+07,0,0,0,0
12908,1.8239e+07,0,0,0,0
12946,1.8249e+07,0,0,0,0
12983,1.826e+07,0,0,0,0
13024,1.8269e+07,0,0,0,0
13065,1.828e+07,0,0,0,0
13107,1.8289e+07,0,0,0,0
13147,1.83e+07,0,0,0,0
13192,1.831e+07,0,0,0,0
13232,1.8319e+07,0,0,0,0
13275,1.8329e+07,0,0,0,0
13316,1.834e+07,0,0,0,0
13354,1.8352e+07,0,0,0,0
13394,1.8362e+07,0,0,0,0
13435,1.8373e+07,0,0,0,0
13477,1.8383e+07,0,0,0,0
13517,1.8393e+07,0,0,0,0
13559,1.8403e+07,0,0,0,0
13603,1.8413e+07,0,0,0,0
13643,1.8423e+07,0,0,0,0
13684,1.8433e+07,0,0,0,0
13725,1.8443e+07,0,0,0,0
13763,1.8453e+07,0,0,0,0
13803,1.8463e+07,0,0,0,0
13841,1.8473e+07,0,0,0,0
13882,1.8483e+07,0,0,0,0
13924,1.8493e+07,0,0,0,0
13966,1.8503e+07,0,0,0,0
14011,1.8514e+07,0,0,0,0
14052,1.8523e+07,0,0,0,0
14095,1.8533e+07,0,0,0,0
14135,1.8544e+07,0,0,0,0
14176,1.8556e+07,0,0,0,0
14217,1.8567e+07,0,0,0,0
14258,1.8577e+07,0,0,0,0
14298,1.8586e+07,0,0,0,0
14340,1.8597e+07,0,0,0,0
14384,1.8607e+07,0,0,0,0
14427,1.8617e+07,0,0,0,0
14468,1.8627e+07,0,0,0,0
14508,1.8637e+07,0,0,0,0
14550,1.8647e+07,0,0,0,0
14587,1.8657e+07,0,0,0,0
