LineNo,TimeUS,C,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23
55317,2.8433e+07,0,1.1168e-08,6.0928e-06,5.9185e-06,6.0928e-08,0.0013746,0.00010897,0.0012121,0.0013744,0.0014212,0.0011953,0,0
57396,2.8925e+07,0,1.0995e-08,6.0648e-06,5.8256e-06,6.0649e-08,0.0013624,9.8619e-05,0.0011943,0.0013636,0.0014012,0.0011771,0,0
59461,2.942e+07,0,1.0749e-08,6.0212e-06,5.6879e-06,6.0213e-08,0.0013442,8.8256e-05,0.0011284,0.0013511,0.0013056,0.0011088,0,0
61496,2.991e+07,0,1.0478e-08,5.9695e-06,5.5606e-06,5.979e-08,0.0013294,7.9949e-05,0.0011161,0.0013378,0.0012911,0.0010969,0,0
63580,3.0404e+07,0,1.0247e-08,5.9199e-06,5.4039e-06,5.92e-08,0.0013125,7.4349e-05,0.0010982,0.0013226,0.001264,0.0010805,0,0
65659,3.0899e+07,0,9.9444e-09,5.848e-06,5.2354e-06,5.8611e-08,0.0012954,6.8384e-05,0.0010693,0.0013009,0.0012181,0.0010539,0,0
67694,3.1394e+07,0,9.6038e-09,5.7653e-06,5.0619e-06,5.7653e-08,0.001275,6.3296e-05,0.0010489,0.0012736,0.0011914,0.0010364,0,0
69808,3.1893e+07,0,9.1943e-09,5.6758e-06,4.9166e-06,5.6909e-08,0.0012444,5.8931e-05,0.0010275,0.0012379,0.0011797,0.0010176,0,0
71923,3.2392e+07,0,8.8257e-09,5.6003e-06,4.7539e-06,5.602e-08,0.0012287,5.589e-05,0.0010106,0.0012234,0.0011533,0.001003,0,0
73991,3.289e+07,0,8.3667e-09,5.5029e-06,4.5919e-06,5.5259e-08,0.0012154,5.2547e-05,0.00099753,0.0012105,0.001129,0.00099234,0,0
76070,3.339e+07,0,7.9151e-09,5.4008e-06,4.4376e-06,5.4516e-08,0.0012004,4.9599e-05,0.00098758,0.0011942,0.0011137,0.00098524,0,0
78117,3.3884e+07,0,7.5636e-09,5.3153e-06,4.3213e-06,5.3984e-08,0.0011814,4.7455e-05,0.00097403,0.0011702,0.0011047,0.00097455,0,0
80194,3.4383e+07,0,7.1151e-09,5.2041e-06,4.1845e-06,5.3383e-08,0.0011753,4.5119e-05,0.00095939,0.0011629,0.0010775,0.00096184,0,0
82261,3.4881e+07,0,6.7015e-09,5.0878e-06,4.0583e-06,5.2837e-08,0.0011601,4.3003e-05,0.00093635,0.0011469,0.0010458,0.00093801,0,0
84336,3.538e+07,0,6.3287e-09,4.9669e-06,3.9414e-06,5.2334e-08,0.001148,4.1123e-05,0.00092913,0.0011361,0.001036,0.00093036,0,0
86377,3.5871e+07,0,6.0509e-09,4.8694e-06,3.8545e-06,5.197e-08,0.0011405,3.9756e-05,0.00092465,0.0011296,0.0010263,0.00092594,0,0
88448,3.6371e+07,0,5.7342e-09,4.744e-06,3.7528e-06,5.1552e-08,0.0011106,3.8127e-05,0.00090709,0.001102,0.0010174,0.00090654,0,0
90528,3.6867e+07,0,5.4508e-09,4.6145e-06,3.6587e-06,5.1173e-08,0.0010978,3.6689e-05,0.00088685,0.001092,0.0009965,0.00088407,0,0
92647,3.7367e+07,0,5.2518e-09,4.5077e-06,3.5875e-06,5.0908e-08,0.0010907,3.5629e-05,0.00085837,0.0010871,0.00095811,0.00085276,0,0
94717,3.7863e+07,0,5.012e-09,4.3877e-06,3.5033e-06,5.0593e-08,0.001079,3.4371e-05,0.0008513,0.0010763,0.00094005,0.00084602,0,0
96745,3.8354e+07,0,4.8038e-09,4.2738e-06,3.4279e-06,5.0297e-08,0.0010709,3.3217e-05,0.00084412,0.0010689,0.0009308,0.00083859,0,0
98821,3.8848e+07,0,4.6531e-09,4.1838e-06,3.3756e-06,5.0072e-08,0.0010688,3.2365e-05,0.00083871,0.0010663,0.00092515,0.00083385,0,0
1.009e+05,3.9345e+07,0,4.4691e-09,4.0822e-06,3.319e-06,4.978e-08,0.0010655,3.1369e-05,0.0008307,0.0010641,0.0009066,0.0008256,0,0
1.0297e+05,3.984e+07,0,4.3046e-09,3.9873e-06,3.2741e-06,4.9482e-08,0.0010621,3.0445e-05,0.00082801,0.0010621,0.0008996,0.00082259,0,0
1.0504e+05,4.0339e+07,0,4.1565e-09,3.8961e-06,3.2383e-06,4.9173e-08,0.0010573,2.9571e-05,0.00081875,0.0010579,0.00088637,0.00081218,0,0
1.0711e+05,4.0836e+07,0,4.0458e-09,3.8304e-06,3.2145e-06,4.8918e-08,0.0010546,2.8918e-05,0.00081748,0.0010559,0.000882,0.00081075,0,0
1.0917e+05,4.1332e+07,0,3.9178e-09,3.7555e-06,3.1895e-06,4.8582e-08,0.0010513,2.8146e-05,0.00081618,0.0010538,0.00087781,0.00080921,0,0
1.1128e+05,4.1832e+07,0,3.7944e-09,3.6872e-06,3.17e-06,4.821e-08,0.0010469,2.741e-05,0.00080688,0.0010492,0.00085628,0.00080082,0,0
1.1335e+05,4.2324e+07,0,3.6856e-09,3.627e-06,3.1575e-06,4.7867e-08,0.0010421,2.6718e-05,0.0008057,0.0010446,0.00084865,0.00079993,0,0
1.1539e+05,4.282e+07,0,3.6058e-09,3.5829e-06,3.1479e-06,4.746e-08,0.0010408,2.62e-05,0.00080481,0.0010435,0.00084444,0.00079944,0,0
1.1745e+05,4.3318e+07,0,3.5135e-09,3.5346e-06,3.1403e-06,4.6996e-08,0.0010373,2.5579e-05,0.00080404,0.0010403,0.00084008,0.00079889,0,0
1.1952e+05,4.3812e+07,0,3.4278e-09,3.4927e-06,3.1351e-06,4.6512e-08,0.0010314,2.498e-05,0.00080292,0.0010338,0.00083097,0.00079847,0,0
1.2163e+05,4.4306e+07,0,3.3649e-09,3.4634e-06,3.1319e-06,4.6113e-08,0.0010294,2.4534e-05,0.00080211,0.0010317,0.00082674,0.00079813,0,0
1.2368e+05,4.4796e+07,0,3.2895e-09,3.4297e-06,3.1289e-06,4.5593e-08,0.0010284,2.4001e-05,0.00079634,0.0010302,0.000814,0.00079338,0,0
1.2572e+05,4.529e+07,0,3.2177e-09,3.4012e-06,3.1269e-06,4.5063e-08,0.0010261,2.349e-05,0.00079107,0.0010273,0.00080387,0.00078951,0,0
1.278e+05,4.5785e+07,0,3.1629e-09,3.3832e-06,3.126e-06,4.4637e-08,0.0010248,2.3104e-05,0.00078849,0.0010259,0.0007968,0.00078743,0,0
1.2983e+05,4.6278e+07,0,3.098e-09,3.3651e-06,3.1252e-06,4.4102e-08,0.0010202,2.2628e-05,0.00078295,0.0010203,0.00078247,0.00078305,0,0
1.3178e+05,4.6773e+07,0,3.0368e-09,3.3505e-06,3.1246e-06,4.3564e-08,0.0010152,2.2173e-05,0.00078018,0.001014,0.00076998,0.00078139,0,0
1.3385e+05,4.7266e+07,0,2.977e-09,3.3397e-06,3.1242e-06,4.3142e-08,0.0010119,2.1747e-05,0.00077778,0.0010107,0.00076741,0.00077899,0,0
1.3591e+05,4.7757e+07,0,2.9317e-09,3.333e-06,3.1238e-06,4.2654e-08,0.0010054,2.1406e-05,0.00077468,0.001004,0.00076329,0.00077594,0,0
1.3798e+05,4.8255e+07,0,2.8768e-09,3.3262e-06,3.1236e-06,4.2201e-08,0.0010036,2.1018e-05,0.00077318,0.0010018,0.00075953,0.00077509,0,0
1.4e+05,4.8747e+07,0,2.8232e-09,3.3209e-06,3.1234e-06,4.1873e-08,0.0010026,2.0649e-05,0.00077068,0.0010003,0.00075553,0.00077292,0,0
1.4207e+05,4.9241e+07,0,2.7816e-09,3.3175e-06,3.1231e-06,4.1512e-08,0.0010007,2.0359e-05,0.00076779,0.00099767,0.00074982,0.00077092,0,0
1.4409e+05,4.9732e+07,0,2.7302e-09,3.3139e-06,3.1222e-06,4.1193e-08,0.00099865,2.0011e-05,0.00076503,0.00099497,0.00074445,0.00076904,0,0
1.4616e+05,5.0235e+07,0,2.6785e-09,3.3107e-06,3.1206e-06,4.0964e-08,0.0009981,1.9684e-05,0.00076409,0.00099394,0.00074125,0.00076877,0,0
1.4824e+05,5.0726e+07,0,2.6371e-09,3.3071e-06,3.1181e-06,4.072e-08,0.00099722,1.9431e-05,0.00076297,0.00099257,0.00073732,0.00076841,0,0
1.503e+05,5.1227e+07,0,2.585e-09,3.3025e-06,3.1138e-06,4.0506e-08,0.0009966,1.9127e-05,0.00076164,0.00099145,0.00073361,0.00076793,0,0
1.5237e+05,5.1722e+07,0,2.5329e-09,3.2968e-06,3.1075e-06,4.0318e-08,0.00099601,1.8834e-05,0.00076043,0.0009904,0.00073039,0.00076743,0,0
1.5444e+05,5.2213e+07,0,2.4909e-09,3.2915e-06,3.1009e-06,4.0184e-08,0.0009946,1.8605e-05,0.00075931,0.00098886,0.00072734,0.00076656,0,0
1.565e+05,5.2706e+07,0,2.4367e-09,3.2837e-06,3.0903e-06,4.0024e-08,0.00098506,1.8299e-05,0.00075167,0.00097791,0.00072368,0.0007592,0,0
1.5856e+05,5.3204e+07,0,2.3799e-09,3.2751e-06,3.0771e-06,3.9874e-08,0.00097864,1.8017e-05,0.00074666,0.00097056,0.00072005,0.00075491,0,0
1.6067e+05,5.3701e+07,0,2.3339e-09,3.2678e-06,3.0648e-06,3.976e-08,0.00097537,1.7804e-05,0.00074489,0.00096707,0.00071703,0.00075367,0,0
1.6274e+05,5.4198e+07,0,2.2782e-09,3.2584e-06,3.0475e-06,3.9618e-08,0.00097354,1.7547e-05,0.00072781,0.0009651,0.00070402,0.00073638,0,0
1.6476e+05,5.4688e+07,0,2.2234e-09,3.2488e-06,3.0272e-06,3.9484e-08,0.00096783,1.7294e-05,0.00071343,0.0009602,0.00069317,0.00072223,0,0
1.6684e+05,5.5184e+07,0,2.1778e-09,3.2407e-06,3.0079e-06,3.938e-08,0.00095661,1.7077e-05,0.00070338,0.00095039,0.00068578,0.00071258,0,0
1.689e+05,5.5681e+07,0,2.1191e-09,3.2307e-06,2.9797e-06,3.9252e-08,0.0009428,1.6808e-05,0.00069529,0.00093811,0.00067769,0.00070502,0,0
1.71e+05,5.6178e+07,0,2.059e-09,3.2213e-06,2.9467e-06,3.9122e-08,0.00092953,1.6543e-05,0.00069024,0.0009261,0.00066945,0.00070049,0,0
1.7311e+05,5.6677e+07,0,2.0017e-09,3.2131e-06,2.9098e-06,3.899e-08,0.00092619,1.6317e-05,0.0006868,0.00092302,0.00066129,0.00069654,0,0
1.7522e+05,5.7168e+07,0,1.9526e-09,3.2071e-06,2.8759e-06,3.887e-08,0.00092454,1.6146e-05,0.00068634,0.00092151,0.00065732,0.00069601,0,0
1.7729e+05,5.7664e+07,0,1.8834e-09,3.2002e-06,2.8284e-06,3.8691e-08,0.00091806,1.5926e-05,0.00065805,0.00091593,0.00062593,0.00066699,0,0
1.7934e+05,5.8158e+07,0,1.821e-09,3.1943e-06,2.7807e-06,3.8512e-08,0.00090981,1.5705e-05,0.00063415,0.0009088,0.00059562,0.00064234,0,0
1.8141e+05,5.8651e+07,0,1.7635e-09,3.1897e-06,2.7396e-06,3.8339e-08,0.00090577,1.5503e-05,0.00062488,0.00090521,0.0005796,0.0006327,0,0
1.8345e+05,5.9146e+07,0,1.7177e-09,3.1857e-06,2.6985e-06,3.8193e-08,0.00090492,1.5357e-05,0.00061832,0.00090418,0.00056748,0.00062581,0,0
1.8551e+05,5.9644e+07,0,1.6593e-09,3.1814e-06,2.6552e-06,3.8003e-08,0.00089786,1.5157e-05,0.00061357,0.0008971,0.00055488,0.00062038,0,0
1.8758e+05,6.0136e+07,0,1.6149e-09,3.1784e-06,2.6206e-06,3.7859e-08,0.00089607,1.5016e-05,0.00061059,0.00089516,0.00054659,0.00061707,0,0
1.8965e+05,6.0633e+07,0,1.5627e-09,3.1758e-06,2.5898e-06,3.7693e-08,0.00089331,1.484e-05,0.00060538,0.00089169,0.00053399,0.00061198,0,0
1.9164e+05,6.1125e+07,0,1.5106e-09,3.1736e-06,2.5592e-06,3.7524e-08,0.00088944,1.4666e-05,0.00060265,0.00088742,0.00052514,0.00060936,0,0
1.9374e+05,6.1628e+07,0,1.4557e-09,3.1719e-06,2.5306e-06,3.7341e-08,0.00088183,1.4486e-05,0.00059775,0.00087996,0.00052084,0.00060459,0,0
1.9578e+05,6.2119e+07,0,1.413e-09,3.1709e-06,2.5097e-06,3.7196e-08,0.00087533,1.4346e-05,0.00059296,0.00087371,0.00051678,0.00059987,0,0
1.9781e+05,6.2612e+07,0,1.3605e-09,3.1699e-06,2.4889e-06,3.7018e-08,0.00087365,1.4193e-05,0.00059148,0.00087202,0.00051156,0.00059826,0,0
1.9988e+05,6.3112e+07,0,1.3106e-09,3.1687e-06,2.4691e-06,3.6842e-08,0.00087254,1.4045e-05,0.00059023,0.00087112,0.00050445,0.00059666,0,0
2.0191e+05,6.3603e+07,0,1.2647e-09,3.1673e-06,2.4513e-06,3.6678e-08,0.00087087,1.3901e-05,0.00058663,0.00086985,0.00049411,0.00059265,0,0
2.0399e+05,6.4102e+07,0,1.2282e-09,3.166e-06,2.437e-06,3.6543e-08,0.00087053,1.3793e-05,0.00058581,0.00086946,0.00048799,0.00059162,0,0
2.0605e+05,6.4593e+07,0,1.1836e-09,3.1644e-06,2.4203e-06,3.6374e-08,0.00086973,1.3658e-05,0.00058517,0.00086884,0.00048178,0.00059067,0,0
2.0812e+05,6.5091e+07,0,1.141e-09,3.1623e-06,2.4047e-06,3.6206e-08,0.00086883,1.3527e-05,0.00058453,0.00086813,0.0004757,0.00058972,0,0
2.1022e+05,6.5586e+07,0,1.1083e-09,3.1606e-06,2.3931e-06,3.6073e-08,0.00086737,1.3422e-05,0.00058386,0.00086701,0.00047145,0.00058873,0,0
2.1231e+05,6.6084e+07,0,1.0702e-09,3.1582e-06,2.3801e-06,3.5908e-08,0.00086491,1.3291e-05,0.00058278,0.00086506,0.00046519,0.00058715,0,0
2.1436e+05,6.6578e+07,0,1.0352e-09,3.153e-06,2.3664e-06,3.5629e-08,0.00086289,1.3214e-05,0.00058123,0.00086339,0.00045664,0.00058521,0,0
2.1646e+05,6.7072e+07,0,9.9719e-10,3.1325e-06,2.3376e-06,3.5165e-08,0.00086188,1.3216e-05,0.00058035,0.00086276,0.00044986,0.000584,0,0
2.1852e+05,6.7565e+07,0,9.6168e-10,3.0448e-06,2.2617e-06,3.4347e-08,0.00086094,1.3217e-05,0.00058016,0.00086198,0.00044512,0.00058365,0,0
2.2057e+05,6.8061e+07,0,9.2237e-10,2.9526e-06,2.1975e-06,3.3741e-08,0.00085972,1.3218e-05,0.0005794,0.00086039,0.00043962,0.00058274,0,0
2.2266e+05,6.8552e+07,0,8.8346e-10,2.8579e-06,2.1418e-06,3.3221e-08,0.00085843,1.3219e-05,0.00057893,0.00085904,0.00043537,0.00058197,0,0
2.2475e+05,6.9054e+07,0,8.4548e-10,2.7551e-06,2.0725e-06,3.2537e-08,0.00085355,1.3206e-05,0.00057452,0.00085513,0.00042362,0.000577,0,0
2.2685e+05,6.9551e+07,0,8.2087e-10,2.702e-06,2.0388e-06,3.212e-08,0.00085041,1.3202e-05,0.00056989,0.00085283,0.000415,0.00057203,0,0
2.289e+05,7.0044e+07,0,7.9264e-10,2.632e-06,1.9984e-06,3.1492e-08,0.00084694,1.3196e-05,0.00056498,0.0008503,0.00040525,0.00056682,0,0
2.3096e+05,7.0537e+07,0,7.6824e-10,2.5901e-06,1.9775e-06,3.1071e-08,0.00084392,1.3193e-05,0.00056093,0.00084809,0.00039707,0.00056248,0,0
2.3302e+05,7.1032e+07,0,7.4876e-10,2.5488e-06,1.9515e-06,3.0441e-08,0.00084161,1.3191e-05,0.00055793,0.00084639,0.00038943,0.00055933,0,0
2.3512e+05,7.1532e+07,0,7.2706e-10,2.5165e-06,1.9334e-06,2.9965e-08,0.00083906,1.3189e-05,0.00055487,0.00084454,0.00038191,0.00055605,0,0
2.3721e+05,7.2032e+07,0,7.0539e-10,2.4796e-06,1.9056e-06,2.921e-08,0.00083676,1.3188e-05,0.00055225,0.00084287,0.00037414,0.00055324,0,0
2.3934e+05,7.2532e+07,0,6.9299e-10,2.4759e-06,1.9051e-06,2.8411e-08,0,0,0,0,0,0,0,0
2.4149e+05,7.303e+07,0,6.6749e-10,2.4759e-06,1.9051e-06,2.7376e-08,0,0,0,0,0,0,0,0
2.4361e+05,7.3525e+07,0,6.4332e-10,2.4759e-06,1.9051e-06,2.6659e-08,0,0,0,0,0,0,0,0
2.4573e+05,7.4024e+07,0,6.11e-10,2.4759e-06,1.9051e-06,2.5607e-08,0,0,0,0,0,0,0,0
2.4786e+05,7.4523e+07,0,5.9444e-10,2.4759e-06,1.9051e-06,2.4819e-08,0,0,0,0,0,0,0,0
2.4997e+05,7.5021e+07,0,5.7788e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
2.521e+05,7.5518e+07,0,5.697e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
2.5422e+05,7.6016e+07,0,5.6155e-10,2.4759e-06,1.9051e-06,2.476e-08,0,0,0,0,0,0,0,0
2.5638e+05,7.6515e+07,0,5.5704e-10,2.4759e-06,1.9051e-06,2.476e-08,0,0,0,0,0,0,0,0
2.585e+05,7.7011e+07,0,5.5186e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
2.6062e+05,7.7504e+07,0,5.4873e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
2.6274e+05,7.7999e+07,0,5.4546e-10,2.4759e-06,1.9051e-06,2.476e-08,0,0,0,0,0,0,0,0
2.6486e+05,7.8495e+07,0,5.4292e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
2.6698e+05,7.8992e+07,0,5.3969e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
2.6915e+05,7.9492e+07,0,5.3721e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
2.7127e+05,7.9989e+07,0,5.3451e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
2.7338e+05,8.0482e+07,0,5.3205e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
2.755e+05,8.0978e+07,0,5.2884e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
2.7763e+05,8.1477e+07,0,5.2624e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
2.7975e+05,8.1971e+07,0,5.2295e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
2.8186e+05,8.2466e+07,0,5.2048e-10,2.4759e-06,1.9051e-06,2.476e-08,0,0,0,0,0,0,0,0
2.8398e+05,8.2963e+07,0,5.1673e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
2.861e+05,8.3457e+07,0,5.1368e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
2.8822e+05,8.3953e+07,0,5.0983e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
2.9034e+05,8.4447e+07,0,5.0688e-10,2.4759e-06,1.9051e-06,2.476e-08,0,0,0,0,0,0,0,0
2.9242e+05,8.4941e+07,0,5.0338e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
2.9454e+05,8.5441e+07,0,4.9904e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
2.9666e+05,8.5941e+07,0,4.9494e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
2.9878e+05,8.6433e+07,0,4.9176e-10,2.4759e-06,1.9051e-06,2.476e-08,0,0,0,0,0,0,0,0
3.009e+05,8.6928e+07,0,4.8754e-10,2.4759e-06,1.9051e-06,2.4759e-08,0,0,0,0,0,0,0,0
