LineNo,TimeUS,C,AX,AY,AZ,VWN,VWE,MN,ME,MD,MX,MY,MZ,IDX,IDY,IS
9626,1.7422e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9669,1.7432e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9710,1.7442e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9747,1.7452e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9789,1.7465e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
9830,1.7475e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
9870,1.7485e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
9911,1.7495e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
9957,1.7505e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
9999,1.7515e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10039,1.7525e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10080,1.7535e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10119,1.7545e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10158,1.7555e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10199,1.7565e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10239,1.7575e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10281,1.7585e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10321,1.7595e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10367,1.7605e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10408,1.7615e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10448,1.7625e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10490,1.7635e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10527,1.7648e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10569,1.7658e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10611,1.7668e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10652,1.7678e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10693,1.7688e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10736,1.7698e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10779,1.7709e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10819,1.7719e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10860,1.7729e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10903,1.7739e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10943,1.7752e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
10986,1.7762e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11026,1.7772e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11067,1.7782e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11107,1.7792e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11155,1.7802e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11196,1.7812e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11236,1.7822e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11278,1.7832e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11318,1.7842e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11356,1.7852e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11397,1.7862e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11441,1.7875e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
11482,1.7885e+07,1,0,0,0.01,0,0,176,0,359,0,0,0,0,0,0
