LineNo,TimeUS,Tar,Act,Err,P,I,D,FF,Dmod,SRate,Limit
6997,1.6756e+07,0.036335,0.036335,0,0,-209.11,0,0,1,0,1
7038,1.6766e+07,-0.036049,-0.036049,0,0,-209.11,0,0,1,0,1
7079,1.6776e+07,0.40941,0.40941,0,0,-209.11,0,0,1,0,1
7120,1.6786e+07,1.2785,1.2785,0,0,-209.11,0,0,1,0,1
7167,1.6796e+07,2.0461,2.0461,0,0,-209.11,0,0,1,0,1
7208,1.6805e+07,0.49133,0.49133,0,0,-209.11,0,0,1,0,1
7250,1.6816e+07,-0.015831,-0.015831,0,0,-209.11,0,0,1,0,1
7291,1.6826e+07,0.90942,0.90942,0,0,-209.11,0,0,1,0,1
7331,1.6836e+07,-1.63,-1.63,0,0,-209.11,0,0,1,0,1
7372,1.6845e+07,-0.52891,-0.52891,0,0,-209.11,0,0,1,0,1
7409,1.6856e+07,0.041962,0.041962,0,0,-209.11,0,0,1,0,1
7450,1.6866e+07,-0.38033,-0.38033,0,0,-209.11,0,0,1,0,1
7492,1.6877e+07,-0.77114,-0.77114,0,0,-209.11,0,0,1,0,1
7532,1.6887e+07,0.94328,0.94328,0,0,-209.11,0,0,1,0,1
7576,1.6897e+07,0.43507,0.43507,0,0,-209.11,0,0,1,0,1
7618,1.6906e+07,0.056648,0.056648,0,0,-209.11,0,0,1,0,1
7660,1.6916e+07,-0.98314,-0.98314,0,0,-209.11,0,0,1,0,1
7701,1.6927e+07,0.86956,0.86956,0,0,-209.11,0,0,1,0,1
7743,1.6939e+07,-0.61893,-0.61893,0,0,-209.11,0,0,1,0,1
7784,1.695e+07,0.044346,0.044346,0,0,-209.11,0,0,1,0,1
7821,1.6959e+07,-0.75531,-0.75531,0,0,-209.11,0,0,1,0,1
7863,1.6969e+07,0.81291,0.81291,0,0,-209.11,0,0,1,0,1
7903,1.6979e+07,-0.97094,-0.97094,0,0,-209.11,0,0,1,0,1
7944,1.699e+07,-0.30603,-0.30603,0,0,-209.11,0,0,1,0,1
7990,1.7e+07,0.37184,0.37184,0,0,-209.11,0,0,1,0,1
8032,1.701e+07,1.2361,1.2361,0,0,-209.11,0,0,1,0,1
8075,1.702e+07,1.2113,1.2113,0,0,-209.11,0,0,1,0,1
8115,1.703e+07,1.5606,1.5606,0,0,-209.11,0,0,1,0,1
8153,1.704e+07,1.8707,1.8707,0,0,-209.11,0,0,1,0,1
8190,1.705e+07,0.15497,0.15497,0,0,-209.11,0,0,1,0,1
8231,1.706e+07,3.8982,3.8982,0,0,-209.11,0,0,1,0,1
8271,1.707e+07,1.2997,1.2997,0,0,-209.11,0,0,1,0,1
8313,1.708e+07,0.048161,0.048161,0,0,-209.11,0,0,1,0,1
8355,1.709e+07,1.9886,1.9886,0,0,-209.11,0,0,1,0,1
8399,1.7101e+07,-2.0175,-2.0175,0,0,-209.11,0,0,1,0,1
8440,1.711e+07,1.2914,1.2914,0,0,-209.11,0,0,1,0,1
8482,1.712e+07,3.1507,3.1507,0,0,-209.11,0,0,1,0,1
8523,1.713e+07,-4.8316,-4.8316,0,0,-209.11,0,0,1,0,1
8563,1.714e+07,-8.1665,-8.1665,0,0,-209.11,0,0,1,0,1
8603,1.7153e+07,-5.422,-5.422,0,0,-209.11,0,0,1,0,1
8644,1.7163e+07,0.53635,0.53635,0,0,-209.11,0,0,1,0,1
8684,1.7173e+07,2.1561,2.1561,0,0,-209.11,0,0,1,0,1
8725,1.7183e+07,9.7178,9.7178,0,0,-209.11,0,0,1,0,1
8766,1.7193e+07,12.21,12.21,0,0,-209.11,0,0,1,0,1
8810,1.7203e+07,4.0084,4.0084,0,0,-209.11,0,0,1,0,1
8851,1.7213e+07,1.4136,1.4136,0,0,-209.11,0,0,1,0,1
8891,1.7223e+07,-5.2322,-5.2322,0,0,-209.11,0,0,1,0,1
8933,1.7233e+07,-6.1106,-6.1106,0,0,-209.11,0,0,1,0,1
8970,1.7243e+07,-6.4729,-6.4729,0,0,-209.11,0,0,1,0,1
9008,1.7253e+07,1.6871,1.6871,0,0,-209.11,0,0,1,0,1
9049,1.7263e+07,-0.14801,-0.14801,0,0,-209.11,0,0,1,0,1
9089,1.7273e+07,-2.6757,-2.6757,0,0,-209.11,0,0,1,0,1
9130,1.7284e+07,5.567,5.567,0,0,-209.11,0,0,1,0,1
9170,1.7293e+07,7.3362,7.3362,0,0,-209.11,0,0,1,0,1
9215,1.7303e+07,1.9991,1.9991,0,0,-209.11,0,0,1,0,1
9250,1.7333e+07,4.4726,4.4726,0,0,-209.11,0,0,1,0,1
9293,1.7343e+07,-19.029,-19.029,0,0,-209.11,0,0,1,0,1
9330,1.7353e+07,1.6479,1.6479,0,0,-209.11,0,0,1,0,1
9368,1.7363e+07,-1.9195,-1.9195,0,0,-209.11,0,0,1,0,1
9409,1.7374e+07,2.2977,2.2977,0,0,-209.11,0,0,1,0,1
9449,1.7383e+07,9.6903,9.6903,0,0,-209.11,0,0,1,0,1
9491,1.7394e+07,0.55914,0.55914,0,0,-209.11,0,0,1,0,1
9535,1.7404e+07,-11.53,-11.53,0,0,-209.11,0,0,1,0,1
9576,1.7413e+07,1.9307,1.9307,0,0,-209.11,0,0,1,0,1
9616,1.7423e+07,-9.7003,-9.7003,0,0,-209.11,0,0,1,0,1
9659,1.7433e+07,-12.619,-12.619,0,0,-209.11,0,0,1,0,1
9700,1.7443e+07,-0.014496,-0.014496,0,0,-209.11,0,0,1,0,1
9737,1.7453e+07,-9.6707,-9.6707,0,0,-209.11,0,0,1,0,1
9779,1.7466e+07,-12.352,-12.352,0,0,-209.11,0,0,1,0,1
9820,1.7476e+07,-2.998,-2.998,0,0,-209.11,0,0,1,0,1
9860,1.7486e+07,1.8295,1.8295,0,0,-209.11,0,0,1,0,1
9901,1.7496e+07,-10.964,-10.964,0,0,-209.11,0,0,1,0,1
9945,1.7507e+07,14.432,14.432,0,0,-209.11,0,0,1,0,1
9989,1.7516e+07,-10.66,-10.66,0,0,-209.11,0,0,1,0,1
10029,1.7526e+07,22.231,22.231,0,0,-209.11,0,0,1,0,1
10070,1.7537e+07,-9.4008,-9.4008,0,0,-209.11,0,0,1,0,1
10109,1.7546e+07,23.07,23.07,0,0,-209.11,0,0,1,0,1
10148,1.7557e+07,-10.88,-10.88,0,0,-209.11,0,0,1,0,1
10189,1.7567e+07,32.727,32.727,0,0,-209.11,0,0,1,0,1
10229,1.7577e+07,-11.919,-11.919,0,0,-209.11,0,0,1,0,1
10271,1.7587e+07,28.762,28.762,0,0,-209.11,0,0,1,0,1
10311,1.7597e+07,-4.8951,-4.8951,0,0,-209.11,0,0,1,0,1
10357,1.7607e+07,24.985,24.985,0,0,-209.11,0,0,1,0,1
10398,1.7617e+07,-4.7993,-4.7993,0,0,-209.11,0,0,1,0,1
10438,1.7627e+07,28.803,28.803,0,0,-209.11,0,0,1,0,1
10480,1.7636e+07,-1.2369,-1.2369,0,0,-209.11,0,0,1,0,1
10517,1.7649e+07,15.972,15.972,0,0,-209.11,0,0,1,0,1
10559,1.766e+07,-19.147,-19.147,0,0,-209.11,0,0,1,0,1
10601,1.767e+07,10.684,10.684,0,0,-209.11,0,0,1,0,1
10642,1.768e+07,-18.95,-18.95,0,0,-209.11,0,0,1,0,1
10683,1.769e+07,12.934,12.934,0,0,-209.11,0,0,1,0,1
10726,1.77e+07,-22.029,-22.029,0,0,-209.11,0,0,1,0,1
10769,1.771e+07,1.7775,1.7775,0,0,-209.11,0,0,1,0,1
10809,1.772e+07,-16.084,-16.084,0,0,-209.11,0,0,1,0,1
10850,1.773e+07,5.4436,5.4436,0,0,-209.11,0,0,1,0,1
10893,1.7741e+07,-22.744,-22.744,0,0,-209.11,0,0,1,0,1
10933,1.7753e+07,-3.1744,-3.1744,0,0,-209.11,0,0,1,0,1
10976,1.7763e+07,-5.4597,-5.4597,0,0,-209.11,0,0,1,0,1
11016,1.7773e+07,-8.3973,-8.3973,0,0,-209.11,0,0,1,0,1
11057,1.7784e+07,2.5052,2.5052,0,0,-209.11,0,0,1,0,1
11097,1.7793e+07,0.79546,0.79546,0,0,-209.11,0,0,1,0,1
11145,1.7803e+07,10.098,10.098,0,0,-209.11,0,0,1,0,1
11186,1.7813e+07,-6.1142,-6.1142,0,0,-209.11,0,0,1,0,1
11226,1.7824e+07,6.5341,6.5341,0,0,-209.11,0,0,1,0,1
