LineNo,TimeUS,Tar,Act,Err,P,I,D,FF,Dmod,SRate,Limit
1.9153e+05,6.1106e+07,0.0062431,-0.084821,0.091064,0.012294,-0.007991,0.00012367,0,1,0,0
1.9158e+05,6.1116e+07,0.0112,-0.01609,0.027289,0.0036841,-0.0079049,-0.020843,0,1,0,0
1.9162e+05,6.1126e+07,-0.011516,-0.037136,0.025619,0.0034586,-0.0078311,-0.015506,0,1,0,0
1.9167e+05,6.1136e+07,-0.015755,-0.071504,0.055749,0.0075261,-0.0077783,0.0038747,0,1,0,0
1.9172e+05,6.1146e+07,-0.015184,-0.0086058,-0.0065782,-0.00088806,-0.0077722,-0.013373,0,1,0,0
1.9176e+05,6.1156e+07,-0.013442,-0.0035747,-0.0098668,-0.001332,-0.0077631,-0.013072,0,1,0,0
1.9181e+05,6.1166e+07,-0.011598,0.0079799,-0.019578,-0.002643,-0.007762,-0.013946,0,1,0,0
1.9185e+05,6.1176e+07,-0.0101,-0.013261,0.0031607,0.00042669,-0.0077659,-0.00062027,0,1,0,0
1.919e+05,6.1188e+07,-0.0090034,0.040784,-0.049787,-0.0067213,-0.0077659,-0.026219,0,1,0,0
1.9194e+05,6.1203e+07,-0.0086668,-0.010069,0.0014023,0.00018931,-0.0078045,0.0087331,0,1,0,0
1.9198e+05,6.1214e+07,-0.015887,0.022852,-0.03874,-0.0052299,-0.0078344,-0.0078887,0,1,0,0
1.9203e+05,6.1223e+07,-0.022131,0.027458,-0.04959,-0.0066946,-0.0078525,-0.015752,0,1,0,0
1.9207e+05,6.1234e+07,-0.019001,0.062175,-0.081176,-0.010959,-0.0079191,-0.01788,0,1,0,0
1.9212e+05,6.1244e+07,-0.0095601,0.081233,-0.090793,-0.012257,-0.0079469,-0.024878,0,1,0,0
1.9217e+05,6.1254e+07,-0.0068709,0.063755,-0.070626,-0.0095345,-0.0079755,-0.016263,0,1,0,0
1.9221e+05,6.1264e+07,0.026806,0.028338,-0.0015318,-0.00020679,-0.0079509,0.0018625,0,1,0,0
1.9226e+05,6.1274e+07,0.037203,0.025865,0.011338,0.0015307,-0.0078617,-0.011736,0,1,0,0
1.923e+05,6.1284e+07,0.02855,0.0009927,0.027557,0.0037202,-0.0077924,-0.0062568,0,1,0,0
1.9234e+05,6.1298e+07,0.024106,0.025059,-0.00095318,-0.00012868,-0.0077291,-0.017152,0,1,0,0
1.9239e+05,6.1309e+07,0.011213,-0.00062969,0.011843,0.0015988,-0.0076652,-0.013708,0,1,0,0
1.9243e+05,6.1319e+07,0.0013993,-0.035311,0.03671,0.0049558,-0.0076368,0.0059949,0,1,0,0
1.9248e+05,6.1331e+07,-0.0071959,-0.0358,0.028604,0.0038615,-0.0076524,0.012892,0,1,0,0
1.9252e+05,6.1341e+07,-0.0088667,-0.0024057,-0.0064611,-0.00087225,-0.007641,-0.0095137,0,1,0,0
1.9257e+05,6.1351e+07,-0.0028275,0.0096715,-0.012499,-0.0016874,-0.0076355,-0.013107,0,1,0,0
1.9262e+05,6.1362e+07,-8.7721e-05,0.056453,-0.056541,-0.0076331,-0.0076676,-0.022986,0,1,0,0
1.9266e+05,6.1372e+07,0.00060964,0.033726,-0.033117,-0.0044707,-0.0076456,-0.019951,0,1,0,0
1.9271e+05,6.1382e+07,0.00080832,0.044396,-0.043588,-0.0058844,-0.0076827,-0.013423,0,1,0,0
1.9275e+05,6.1392e+07,-0.0023236,0.063278,-0.065602,-0.0088562,-0.0077378,-0.015167,0,1,0,0
1.928e+05,6.1403e+07,-0.0084986,0.037047,-0.045545,-0.0061486,-0.0077481,-0.011917,0,1,0,0
1.9284e+05,6.1415e+07,-0.010313,0.029623,-0.039936,-0.0053914,-0.0077852,-0.0065775,0,1,0,0
1.9288e+05,6.1426e+07,-0.004112,0.0096748,-0.013787,-0.0018612,-0.0078022,0.0020452,0,1,0,0
1.9292e+05,6.1437e+07,-0.0019421,0.030203,-0.032146,-0.0043396,-0.0078096,-0.010173,0,1,0,0
1.9297e+05,6.1448e+07,0.011654,0.044443,-0.032789,-0.0044266,-0.0077876,-0.017489,0,1,0,0
1.9301e+05,6.1458e+07,0.015705,0.028933,-0.013228,-0.0017858,-0.0077687,-0.0091819,0,1,0,0
1.9306e+05,6.1468e+07,0.0098346,0.065833,-0.055999,-0.0075598,-0.0077634,-0.023564,0,1,0,0
1.9311e+05,6.1478e+07,0.008163,0.004152,0.004011,0.00054148,-0.0077219,-0.0016203,0,1,0,0
1.9315e+05,6.1489e+07,-0.0026886,-0.075729,0.07304,0.0098604,-0.0077002,0.031714,0,1,0,0
1.932e+05,6.1499e+07,-0.0066206,-0.056385,0.049765,0.0067182,-0.00768,0.016774,0,1,0,0
1.9324e+05,6.1509e+07,-0.0073952,-0.052138,0.044743,0.0060403,-0.0076677,0.01531,0,1,0,0
1.9328e+05,6.1521e+07,-0.0071591,-0.0112,0.0040408,0.00054551,-0.0076625,-0.00097736,0,1,0,0
1.9333e+05,6.1533e+07,-0.0029425,-0.037794,0.034852,0.004705,-0.0076192,0.0071361,0,1,0,0
1.9337e+05,6.1543e+07,0.0035752,-0.10257,0.10615,0.01433,-0.0075658,0.033871,0,1,0,0
1.9342e+05,6.1553e+07,0.0034052,-0.087317,0.090722,0.012248,-0.0075325,0.030485,0,1,0,0
1.9346e+05,6.1563e+07,0.00086808,-0.11205,0.11292,0.015244,-0.0074709,0.034375,0,1,0,0
1.9351e+05,6.1573e+07,0.0038733,-0.11629,0.12016,0.016222,-0.0074255,0.036997,0,1,0,0
1.9355e+05,6.1583e+07,0.009381,-0.075512,0.084893,0.011461,-0.0073924,0.023786,0,1,0,0
1.936e+05,6.1593e+07,0.012042,-0.061057,0.073099,0.0098684,-0.0073318,0.015152,0,1,0,0
1.9364e+05,6.1603e+07,0.014228,-0.037112,0.05134,0.0069309,-0.007287,0.010265,0,1,0,0
1.9368e+05,6.1616e+07,0.017312,-0.065514,0.082827,0.011182,-0.0071852,0.013096,0,1,0,0
1.9373e+05,6.1629e+07,0.032372,-0.022235,0.054607,0.0073719,-0.0071006,0.0003556,0,1,0,0
1.9377e+05,6.1639e+07,0.037634,-0.061097,0.098731,0.013329,-0.0070057,0.015447,0,1,0,0
1.9382e+05,6.1649e+07,0.039726,-0.090269,0.13,0.017549,-0.0068964,0.023757,0,1,0,0
1.9386e+05,6.1659e+07,0.040164,-0.030021,0.070184,0.0094749,-0.0068308,0.0058072,0,1,0,0
1.9391e+05,6.1669e+07,0.023237,-0.065136,0.088373,0.01193,-0.0067879,0.023156,0,1,0,0
1.9396e+05,6.168e+07,0.0169,-0.10127,0.11817,0.015953,-0.0067316,0.036253,0,1,0,0
1.94e+05,6.169e+07,0.016252,-0.062292,0.078545,0.010604,-0.006723,0.025648,0,1,0,0
1.9405e+05,6.17e+07,0.016244,-0.0087487,0.024992,0.003374,-0.0067091,0.00096499,0,1,0,0
1.941e+05,6.1717e+07,0.010961,-0.033915,0.044876,0.0060583,-0.0066853,0.013161,0,1,0,0
1.9415e+05,6.1734e+07,0.0058551,-0.052988,0.058843,0.0079438,-0.0067075,0.03003,0,1,0,0
1.9419e+05,6.1745e+07,0.005763,-0.026204,0.031967,0.0043155,-0.006721,0.017298,0,1,0,0
1.9424e+05,6.1755e+07,0.0065629,0.014011,-0.0074477,-0.0010054,-0.0067703,0.0066098,0,1,0,0
1.9428e+05,6.1765e+07,0.010674,0.02326,-0.012586,-0.0016991,-0.0068034,0.0035835,0,1,0,0
1.9433e+05,6.1776e+07,0.01091,0.028336,-0.017426,-0.0023526,-0.0068446,0.0031283,0,1,0,0
1.9438e+05,6.1786e+07,0.0025917,0.018246,-0.015655,-0.0021134,-0.0068916,0.0051555,0,1,0,0
1.9442e+05,6.1796e+07,-0.00098614,-0.035188,0.034202,0.0046172,-0.0069476,0.028559,0,1,0,0
1.9446e+05,6.1806e+07,0.013811,-0.077938,0.091749,0.012386,-0.0070195,0.057262,0,1,0,0
1.9451e+05,6.1816e+07,0.019976,-0.067971,0.087947,0.011873,-0.0070519,0.047728,0,1,0,0
1.9456e+05,6.1834e+07,0.014804,0.029532,-0.014728,-0.0019883,-0.0071217,0.0065819,0,1,0,0
1.946e+05,6.1845e+07,0.0079681,0.056406,-0.048438,-0.0065391,-0.0072061,0.0023486,0,1,0,0
1.9464e+05,6.1854e+07,-0.0088505,0.025298,-0.034149,-0.0046101,-0.0072743,0.0071785,0,1,0,0
1.9469e+05,6.1864e+07,-0.01542,0.063389,-0.078809,-0.010639,-0.0073799,-0.0056102,0,1,0,0
1.9473e+05,6.1874e+07,-0.018771,0.10745,-0.12622,-0.017039,-0.0074837,-0.025803,0,1,0,0
1.9478e+05,6.1885e+07,-0.021457,0.13932,-0.16078,-0.021705,-0.0075851,-0.043303,0,1,0,0
1.9483e+05,6.1895e+07,-0.018454,0.22727,-0.24572,-0.033173,-0.0076689,-0.084505,0,1,0,0
1.9487e+05,6.1905e+07,-0.011025,0.18702,-0.19804,-0.026736,-0.0077526,-0.062466,0,1,0,0
1.9492e+05,6.1915e+07,-0.010092,0.10491,-0.115,-0.015525,-0.0077934,-0.034124,0,1,0,0
1.9496e+05,6.1925e+07,-0.010096,0.059692,-0.069788,-0.0094214,-0.0077955,-0.024916,0,1,0,0
1.95e+05,6.1937e+07,-0.0091035,0.00046824,-0.0095718,-0.0012922,-0.0077856,-0.0045009,0,1,0,0
1.9505e+05,6.1952e+07,0.014401,-0.0045637,0.018965,0.0025602,-0.0078052,0.011154,0,1,0,0
1.951e+05,6.1962e+07,0.047587,0.02235,0.025238,0.0034071,-0.0077955,0.009514,0,1,0,0
1.9514e+05,6.1973e+07,0.07315,0.048432,0.024718,0.0033369,-0.0077154,-0.0081483,0,1,0,0
1.9518e+05,6.1982e+07,0.093873,0.072403,0.02147,0.0028985,-0.0076211,-0.016917,0,1,0,0
1.9523e+05,6.1993e+07,0.18724,0.12384,0.0634,0.008559,-0.0074362,-0.022447,0,1,0,0
1.9528e+05,6.2003e+07,0.21383,0.11495,0.09888,0.013349,-0.0071826,-0.027804,0,1,0,0
1.9532e+05,6.2013e+07,0.29772,0.12224,0.17548,0.023689,-0.0068997,-0.0070835,0,1,0,0
1.9537e+05,6.2025e+07,0.32598,0.13764,0.18833,0.025425,-0.006479,-0.018257,0,1,0,0
1.9541e+05,6.2038e+07,0.38794,0.047859,0.34008,0.045911,-0.0060902,0.035819,0,1,0,0
1.9545e+05,6.2049e+07,0.39726,0.12201,0.27526,0.03716,-0.0057186,0.0030886,0,1,0,0
1.955e+05,6.2059e+07,0.39104,0.18262,0.20842,0.028137,-0.0054133,-0.012645,0,1,0,0
1.9554e+05,6.2069e+07,0.37968,0.20706,0.17261,0.023303,-0.0051202,-0.020448,0,1,0,0
1.9559e+05,6.208e+07,0.36593,0.19647,0.16946,0.022877,-0.0049034,-0.00053327,0,1,0,0
1.9564e+05,6.209e+07,0.35075,0.20333,0.14742,0.019902,-0.0047145,0.002465,0,1,0,0
1.9568e+05,6.21e+07,0.33609,0.124,0.21208,0.028631,-0.0045204,0.031712,0,1,0,0
1.9572e+05,6.211e+07,0.32318,0.17652,0.14666,0.019799,-0.0043505,0.0055701,0,1,0,0
1.9577e+05,6.212e+07,0.30933,0.21341,0.095925,0.01295,-0.0042098,-0.011495,0,1,0,0
1.9582e+05,6.2136e+07,0.28856,0.21438,0.074178,0.010014,-0.0040385,-0.0065107,0,1,0,0
1.9587e+05,6.2154e+07,0.27096,0.26318,0.0077761,0.0010498,-0.0038868,-0.032985,0,1,0,0
1.9592e+05,6.2167e+07,0.25138,0.18487,0.066507,0.0089785,-0.0037854,0.0037773,0,1,0,0
1.9596e+05,6.2177e+07,0.2382,0.14731,0.090896,0.012271,-0.0037431,0.024721,0,1,0,0
1.9601e+05,6.2187e+07,0.22549,0.1759,0.049588,0.0066944,-0.003683,0.0042401,0,1,0,0
1.9606e+05,6.2197e+07,0.21209,0.21985,-0.0077613,-0.0010478,-0.0036459,-0.017104,0,1,0,0
1.961e+05,6.2207e+07,0.19952,0.1898,0.0097193,0.0013121,-0.0036041,-0.0090632,0,1,0,0
1.9615e+05,6.2217e+07,0.18748,0.17484,0.012643,0.0017068,-0.0035867,-0.0020749,0,1,0,0
1.9619e+05,6.2228e+07,0.17477,0.14775,0.027016,0.0036471,-0.0036156,0.015921,0,1,0,0
1.9624e+05,6.2238e+07,0.16252,0.098835,0.063681,0.008597,-0.0036294,0.030032,0,1,0,0
1.9628e+05,6.225e+07,0.15007,0.12756,0.022515,0.0030395,-0.003652,0.0089535,0,1,0,0
1.9632e+05,6.2264e+07,0.1377,0.15959,-0.021883,-0.0029542,-0.0037035,-0.0044497,0,1,0,0
1.9637e+05,6.2274e+07,0.12783,0.044802,0.083025,0.011208,-0.0036676,0.032986,0,1,0,0
1.9641e+05,6.2285e+07,0.11861,0.058045,0.060568,0.0081767,-0.0036917,0.034882,0,1,0,0
1.9646e+05,6.2295e+07,0.1114,0.0085201,0.10288,0.013889,-0.0036751,0.045206,0,1,0,0
1.965e+05,6.2305e+07,0.10389,0.058539,0.045353,0.0061227,-0.0036769,0.020537,0,1,0,0
1.9655e+05,6.2315e+07,0.097697,0.059936,0.037761,0.0050977,-0.0036697,0.016819,0,1,0,0
1.9659e+05,6.2326e+07,0.09224,0.014457,0.077782,0.010501,-0.0036328,0.027362,0,1,0,0
1.9664e+05,6.2335e+07,0.088628,0.02316,0.065468,0.0088381,-0.0035569,0.0086274,0,1,0,0
1.9668e+05,6.2347e+07,0.084595,0.01197,0.072625,0.0098044,-0.0034799,0.0049246,0,1,0,0
1.9672e+05,6.2359e+07,0.083072,0.034496,0.048576,0.0065577,-0.0034024,-0.0092083,0,1,0,0
1.9677e+05,6.2369e+07,0.082557,-0.02047,0.10303,0.013909,-0.0032415,-0.0027883,0,1,0,0
1.9681e+05,6.238e+07,0.084053,-0.032068,0.11612,0.015676,-0.0030517,-0.0099749,0,1,0,0
1.9686e+05,6.239e+07,0.085506,0.046794,0.038712,0.0052261,-0.0028526,-0.049756,0,1,0,0
1.969e+05,6.24e+07,0.086006,-0.026875,0.11288,0.015239,-0.0026724,-0.010339,0,1,0,0
1.9695e+05,6.2411e+07,0.088071,-0.028567,0.11664,0.015746,-0.0024518,-0.015203,0,1,0,0
1.97e+05,6.2421e+07,0.090492,-0.030116,0.12061,0.016282,-0.0022312,-0.01421,0,1,0,0
1.9704e+05,6.2431e+07,0.093993,-0.068474,0.16247,0.021933,-0.0019714,-0.0048794,0,1,0,0
1.9708e+05,6.2441e+07,0.097235,-0.060748,0.15798,0.021328,-0.001742,-0.0030842,0,1,0,0
1.9713e+05,6.2456e+07,0.10061,-0.019708,0.12032,0.016243,-0.0014736,-0.017263,0,1,0,0
1.9718e+05,6.2467e+07,0.10244,-0.045309,0.14775,0.019946,-0.0012781,-0.0014345,0,1,0,0
1.9722e+05,6.2479e+07,0.10297,-0.016568,0.11954,0.016138,-0.0011013,-0.0039027,0,1,0,0
1.9726e+05,6.2489e+07,0.10479,0.0015051,0.10329,0.013944,-0.00093621,-0.0071789,0,1,0,0
1.9731e+05,6.2499e+07,0.10533,0.013812,0.091516,0.012355,-0.00076677,-0.012385,0,1,0,0
1.9735e+05,6.2509e+07,0.10454,-0.088219,0.19276,0.026022,-0.00062959,0.039552,0,1,0,0
1.974e+05,6.252e+07,0.10435,-0.065518,0.16987,0.022933,-0.00047813,0.026267,0,1,0,0
