LineNo,TimeUS,C,MI,BI,GI,AI,SS
10732,1.7698e+07,0,0,0,0,0,0
10775,1.7709e+07,0,0,0,0,0,0
10815,1.7719e+07,0,0,0,0,0,0
10856,1.7729e+07,0,0,0,0,0,0
10899,1.7739e+07,0,0,0,0,0,0
10939,1.7752e+07,0,0,0,0,0,0
10982,1.7762e+07,0,0,0,0,0,0
11022,1.7772e+07,0,0,0,0,0,0
11063,1.7782e+07,0,0,0,0,0,0
11103,1.7792e+07,0,0,0,0,0,0
11151,1.7802e+07,0,0,0,0,0,0
11192,1.7812e+07,0,0,0,0,0,0
11232,1.7822e+07,0,0,0,0,0,0
11274,1.7832e+07,0,0,0,0,0,0
11314,1.7842e+07,0,0,0,0,0,0
11352,1.7852e+07,0,0,0,0,0,0
11393,1.7862e+07,0,0,0,0,0,0
11437,1.7875e+07,0,0,0,0,0,0
11478,1.7885e+07,0,0,0,0,0,0
11520,1.7895e+07,0,0,0,0,0,0
11565,1.7905e+07,0,0,0,0,0,0
11606,1.7915e+07,0,0,0,0,0,0
11646,1.7925e+07,0,0,0,0,0,0
11687,1.7935e+07,0,0,0,0,0,0
11729,1.7945e+07,0,0,0,0,0,0
11767,1.7955e+07,0,0,0,0,0,0
11808,1.7965e+07,0,0,0,0,0,0
11851,1.7976e+07,0,0,0,0,0,0
11892,1.7985e+07,0,0,0,0,0,0
11932,1.7996e+07,0,0,0,0,0,0
11979,1.8006e+07,0,0,0,0,0,0
12019,1.8016e+07,0,0,0,0,0,0
12061,1.8026e+07,0,0,0,0,0,0
12105,1.8041e+07,0,0,0,0,0,0
12146,1.8051e+07,0,0,0,0,0,0
12186,1.8061e+07,0,0,0,0,0,0
12229,1.8071e+07,0,0,0,0,0,0
12269,1.8081e+07,0,0,0,0,0,0
12311,1.8091e+07,0,0,0,0,0,0
12354,1.8101e+07,0,0,0,0,0,0
12396,1.8111e+07,0,0,0,0,0,0
12442,1.8123e+07,0,0,0,0,0,0
12482,1.8133e+07,0,0,0,0,0,0
12527,1.8146e+07,0,0,0,0,0,0
12564,1.8156e+07,0,0,0,0,0,0
12605,1.8167e+07,0,0,0,0,0,0
12646,1.8177e+07,0,0,0,0,0,0
12688,1.8187e+07,0,0,0,0,0,0
12729,1.8197e+07,0,0,0,0,0,0
12773,1.8207e+07,0,0,0,0,0,0
12814,1.8217e+07,0,0,0,0,0,0
12854,1.8227e+07,0,0,0,0,0,0
12896,1.8237e+07,0,0,0,0,0,0
12934,1.8247e+07,0,0,0,0,0,0
12971,1.8257e+07,0,0,0,0,0,0
13012,1.8267e+07,0,0,0,0,0,0
13053,1.8277e+07,0,0,0,0,0,0
13095,1.8287e+07,0,0,0,0,0,0
13135,1.8298e+07,0,0,0,0,0,0
13180,1.8307e+07,0,0,0,0,0,0
13220,1.8317e+07,0,0,0,0,0,0
13263,1.8327e+07,0,0,0,0,0,0
13304,1.8338e+07,0,0,0,0,0,0
13342,1.8351e+07,0,0,0,0,0,0
13382,1.8361e+07,0,0,0,0,0,0
13423,1.8371e+07,0,0,0,0,0,0
13465,1.8381e+07,0,0,0,0,0,0
13505,1.8391e+07,0,0,0,0,0,0
13547,1.8401e+07,0,0,0,0,0,0
13591,1.8411e+07,0,0,0,0,0,0
13631,1.8421e+07,0,0,0,0,0,0
13672,1.8431e+07,0,0,0,0,0,0
13713,1.8441e+07,0,0,0,0,0,0
13751,1.8451e+07,0,0,0,0,0,0
13791,1.8461e+07,0,0,0,0,0,0
13829,1.8472e+07,0,0,0,0,0,0
13870,1.8482e+07,0,0,0,0,0,0
13910,1.8492e+07,0,0,0,0,0,0
13954,1.8502e+07,0,0,0,0,0,0
13999,1.8511e+07,0,0,0,0,0,0
14040,1.8522e+07,0,0,0,0,0,0
14083,1.8532e+07,0,0,0,0,0,0
14123,1.8542e+07,0,0,0,0,0,0
14164,1.8555e+07,0,0,0,0,0,0
14205,1.8564e+07,0,0,0,0,0,0
14246,1.8575e+07,0,0,0,0,0,0
