LineNo,TimeUS,C,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11
1.4616e+05,5.0235e+07,0,4.144e-05,0.00015793,0.00011183,0.0064438,1.1013,1.5858,0.01193,15.1,19.17,0.17257,2.7276e-10,1.598e-10
1.4824e+05,5.0726e+07,0,2.9757e-05,0.00013992,0.00010825,0.0063727,1.1109,1.5643,0.011836,15.074,18.983,0.16997,2.447e-10,1.4956e-10
1.503e+05,5.1227e+07,0,3.7321e-05,0.00013186,0.00010414,0.006273,1.1143,1.5463,0.011757,15.001,18.761,0.16741,2.1916e-10,1.3946e-10
1.5236e+05,5.1722e+07,0,3.4398e-05,0.00011119,9.0591e-05,0.0062114,1.1208,1.5201,0.011702,14.966,18.55,0.1652,1.9628e-10,1.3047e-10
1.5444e+05,5.2213e+07,0,3.6968e-05,0.00012073,7.4894e-05,0.0061408,1.1462,1.5335,0.011883,15.524,19.145,0.16962,1.7993e-10,1.2421e-10
1.5649e+05,5.2706e+07,0,3.3812e-05,0.00012226,7.4758e-05,0.0060346,1.1351,1.5254,0.011677,15.408,18.803,0.16662,1.6126e-10,1.1651e-10
1.5856e+05,5.3204e+07,0,2.087e-05,0.000106,6.9019e-05,0.0059693,1.1301,1.5193,0.011554,15.333,18.552,0.16416,1.4512e-10,1.1005e-10
1.6067e+05,5.3701e+07,0,1.7757e-05,7.8179e-05,9.522e-05,0.0059084,1.1548,1.5371,0.011737,15.969,19.279,0.16929,1.3386e-10,1.0575e-10
1.6273e+05,5.4198e+07,0,2.1851e-05,6.7993e-05,0.00014395,0.005712,1.1597,1.4857,0.011955,15.943,19.043,0.16741,1.2128e-10,1.0089e-10
1.6476e+05,5.4688e+07,0,2.0202e-05,8.8646e-05,0.00010468,0.0056048,1.1597,1.4643,0.012256,15.835,18.665,0.1649,1.1058e-10,9.6711e-11
1.6684e+05,5.5184e+07,0,1.2511e-05,8.1342e-05,8.848e-05,0.005559,1.1812,1.494,0.012812,16.389,19.19,0.1695,1.0339e-10,9.4078e-11
1.689e+05,5.5681e+07,0,8.6552e-06,7.361e-05,8.3877e-05,0.0054821,1.1671,1.4784,0.013102,16.419,19.03,0.16892,9.5641e-11,9.1282e-11
1.71e+05,5.6178e+07,0,7.2388e-06,5.6404e-05,8.1115e-05,0.0054098,1.1409,1.4275,0.013141,16.271,18.662,0.16685,8.904e-11,8.8892e-11
1.7311e+05,5.6677e+07,0,1.5462e-05,4.504e-05,8.7205e-05,0.0053066,1.1157,1.3517,0.013351,16.317,18.517,0.16698,8.3993e-11,8.7249e-11
1.7522e+05,5.7168e+07,0,9.8316e-06,4.2475e-05,4.2787e-05,0.0053046,1.1079,1.3081,0.013421,16.739,18.822,0.17118,8.0589e-11,8.5989e-11
1.7729e+05,5.7664e+07,0,6.5567e-06,4.0001e-05,4.7546e-05,0.005018,1.0845,1.2175,0.012557,16.692,18.49,0.1703,7.7205e-11,8.4226e-11
1.7934e+05,5.8158e+07,0,4.3247e-06,3.8376e-05,3.9789e-05,0.0047621,1.0907,1.136,0.011922,16.533,18.03,0.16774,7.4425e-11,8.2565e-11
1.8141e+05,5.8651e+07,0,6.2722e-06,3.9989e-05,3.9425e-05,0.0046176,1.1245,1.1076,0.01186,17.065,18.368,0.17185,7.2946e-11,8.1511e-11
1.8344e+05,5.9146e+07,0,2.5493e-05,3.9805e-05,3.9839e-05,0.0044873,1.1311,1.0624,0.011554,16.927,17.907,0.16872,7.1274e-11,8.0371e-11
1.8551e+05,5.9644e+07,0,3.101e-05,3.8967e-05,4.0276e-05,0.0043673,1.1256,1.0203,0.011343,16.787,17.485,0.16562,7.0017e-11,7.8913e-11
1.8758e+05,6.0136e+07,0,7.2694e-06,4.2464e-05,4.093e-05,0.0043117,1.1083,0.9778,0.011092,16.569,17.005,0.16179,6.9082e-11,7.7973e-11
1.8965e+05,6.0633e+07,0,3.6116e-06,4.1084e-05,4.1886e-05,0.0042097,1.1361,0.96928,0.011226,17.209,17.425,0.16605,6.881e-11,7.7258e-11
1.9163e+05,6.1125e+07,0,3.4705e-06,4.5659e-05,5.3208e-05,0.0041178,1.1026,0.92926,0.011043,17.058,17.035,0.16294,6.8488e-11,7.663e-11
1.9374e+05,6.1628e+07,0,3.641e-06,4.786e-05,6.3732e-05,0.0040708,1.0301,0.89579,0.010797,17.015,16.789,0.16111,6.8365e-11,7.6228e-11
1.9578e+05,6.2119e+07,0,2.862e-06,4.6877e-05,6.2311e-05,0.0040472,0.98496,0.88751,0.010815,17.521,17.143,0.16471,6.8602e-11,7.6197e-11
1.9781e+05,6.2612e+07,0,1.0553e-05,3.9793e-05,4.5719e-05,0.0040162,0.93527,0.84962,0.011486,17.199,16.759,0.18732,6.8677e-11,7.5645e-11
1.9988e+05,6.3112e+07,0,4.6155e-06,3.858e-05,4.7108e-05,0.0039585,0.90303,0.81685,0.012075,16.926,16.438,0.21153,6.8751e-11,7.4954e-11
