LineNo,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
11707,1.5956e+07,0,41.24,0.01,1.78,87.72,87.27,0.08,0.06,3
11747,1.5966e+07,0,42.37,0.01,1.54,88.63,88.16,0.08,0.06,3
11788,1.5977e+07,0,43.5,0.01,1.34,89.52,89.04,0.08,0.06,3
11832,1.5986e+07,0,44.6,0.01,1.16,90.38,89.89,0.08,0.1,3
11873,1.5997e+07,0,45.64,0.01,1.01,91.22,90.73,0.08,0.1,3
11915,1.6007e+07,0,46.63,0.01,0.89,92.05,91.54,0.08,0.1,3
11958,1.602e+07,0,47.88,0.01,0.76,93.1,92.59,0.08,0.1,3
11999,1.603e+07,0,48.94,0.01,0.68,93.99,93.47,0.08,0.1,3
12040,1.6041e+07,0,49.92,0.01,0.63,94.8,94.27,0.08,0.1,3
12083,1.6051e+07,0,50.93,0.01,0.6,95.62,95.09,0.08,0.1,3
12124,1.6061e+07,0,52.04,0.01,0.58,96.55,96,0.14,0.1,3
12165,1.6071e+07,0,53,0.01,0.58,97.41,96.85,0.14,0.1,3
12211,1.6082e+07,0,53.94,0.01,0.58,98.28,97.72,0.14,0.1,3
12253,1.6092e+07,0,54.91,0.01,0.58,99.18,98.61,0.14,0.16,3
12294,1.6102e+07,0,55.93,0.01,0.59,100.09,99.52,0.14,0.16,3
12338,1.6115e+07,0,57.22,0.01,0.6,101.29,100.71,0.14,0.16,3
12379,1.6126e+07,0,58.3,0.01,0.63,102.34,101.75,0.14,0.16,3
12420,1.6136e+07,0,59.29,0.01,0.66,103.31,102.71,0.14,0.16,3
12462,1.6146e+07,0,60.35,0.01,0.68,104.39,103.79,0.14,0.16,3
12503,1.6157e+07,0,61.28,0.01,0.71,105.41,104.8,0.14,0.16,3
12543,1.6167e+07,0,62.19,0.01,0.72,106.45,105.84,0.14,0.16,3
12584,1.6177e+07,0,63.09,0.01,0.73,107.51,106.9,0.14,0.16,3
12628,1.6188e+07,0,64.07,0.01,0.74,108.72,108.09,0.14,0.25,3
12670,1.6198e+07,0,65.01,0.01,0.73,109.95,109.32,0.14,0.25,3
12710,1.6208e+07,0,65.85,0.01,0.72,111.09,110.46,0.14,0.25,3
12751,1.6218e+07,0,66.69,0.01,0.71,112.26,111.62,0.14,0.25,3
12789,1.6228e+07,0,67.48,0.01,0.7,113.44,112.8,0.14,0.25,3
12830,1.6239e+07,0,68.23,0.01,0.68,114.64,113.99,0.14,0.25,3
12869,1.6249e+07,0,68.99,0.01,0.65,115.98,115.33,0.14,0.25,3
12911,1.626e+07,0,69.63,0.01,0.61,117.22,116.57,0.14,0.25,3
12954,1.6271e+07,0,70.27,0.01,0.57,118.6,117.95,0.14,0.25,3
12994,1.6281e+07,0,70.8,0.01,0.52,119.87,119.21,0.14,0.25,3
13039,1.6291e+07,0,71.3,0.01,0.45,121.15,120.49,0.14,0.36,3
13080,1.6301e+07,0,71.79,0.01,0.35,122.57,121.92,0.14,0.36,3
13120,1.6312e+07,0,72.18,0.01,0.25,123.88,123.22,0.14,0.36,3
13161,1.6321e+07,0,72.54,0.01,0.13,125.2,124.54,0.14,0.36,3
13201,1.6331e+07,0,72.88,0.01,0,126.52,125.86,0.14,0.36,3
13241,1.6342e+07,0,73.21,0.01,-0.13,127.97,127.3,0.14,0.36,3
13282,1.6353e+07,0,73.47,0.01,-0.25,129.14,128.48,0.14,0.36,3
13322,1.6363e+07,0,73.77,0.01,-0.4,130.56,129.9,0.14,0.36,3
13363,1.6373e+07,0,74.02,0.01,-0.54,131.84,131.18,0.14,0.36,3
13404,1.6383e+07,0,74.28,0.01,-0.7,133.23,132.57,0.14,0.36,3
13449,1.6393e+07,0,74.5,0.01,-0.85,134.48,133.82,0.14,0.45,3
13489,1.6404e+07,0,74.73,0.01,-1,135.73,135.06,0.14,0.45,3
13530,1.6414e+07,0,74.96,0.01,-1.16,136.96,136.29,0.14,0.45,3
