LineNo,TimeUS,chan,txp,rxp,rxdp,flags,ss,tf
4.5352e+05,1.7539e+09,0,63076,1398,0,6,0,52918
4.5764e+05,1.7549e+09,0,63076,1398,0,6,0,53620
4.6177e+05,1.7559e+09,0,63076,1398,0,6,0,54322
4.659e+05,1.7569e+09,0,63076,1398,0,6,0,55028
4.7005e+05,1.7579e+09,0,63076,1398,0,6,0,55727
4.742e+05,1.7589e+09,0,63076,1398,0,6,0,56437
4.7831e+05,1.7599e+09,0,63076,1398,0,6,0,57132
4.8248e+05,1.7609e+09,0,63076,1398,0,6,0,57835
4.8662e+05,1.7619e+09,0,63076,1398,0,6,0,58539
4.9082e+05,1.7629e+09,0,63076,1398,0,6,0,59269
4.9502e+05,1.7639e+09,0,63076,1398,0,6,0,59993
4.9923e+05,1.7649e+09,0,63076,1398,0,6,0,60714
5.0344e+05,1.7659e+09,0,63076,1398,0,6,0,61430
5.0768e+05,1.7669e+09,0,63076,1398,0,6,0,62152
5.1182e+05,1.7679e+09,0,63076,1398,0,6,0,62859
5.1602e+05,1.7689e+09,0,63076,1398,0,6,0,63582
5.2018e+05,1.7699e+09,0,63076,1398,0,6,0,64311
5.2437e+05,1.7709e+09,0,63076,1398,0,6,0,65031
5.285e+05,1.7719e+09,0,63076,1398,0,6,0,217
5.3266e+05,1.7729e+09,0,63076,1398,0,6,0,945
5.368e+05,1.7739e+09,0,63076,1398,0,6,0,1665
5.41e+05,1.7749e+09,0,63076,1398,0,6,0,2396
5.4517e+05,1.7759e+09,0,63076,1398,0,6,0,3113
