LineNo,TimeUS,I,VDop,HAcc,VAcc,SAcc,YAcc,VV,SMS,Delta,Und
1.1226e+05,1.6693e+09,0,1.01,0.77,1.03,0.13,0,1,1.6693e+06,200,-43.043
1.1312e+05,1.6696e+09,0,1.01,0.77,1.03,0.16,0,1,1.6695e+06,200,-43.044
1.1392e+05,1.6698e+09,0,1.01,0.77,1.03,0.18,0,1,1.6697e+06,200,-43.043
1.1472e+05,1.67e+09,0,1.01,0.77,1.03,0.17,0,1,1.6699e+06,200,-43.044
1.1553e+05,1.6701e+09,0,1.01,0.77,1.03,0.15,0,1,1.6701e+06,200,-43.044
1.163e+05,1.6703e+09,0,1.01,0.77,1.03,0.14,0,1,1.6703e+06,200,-43.043
1.171e+05,1.6705e+09,0,1.01,0.77,1.03,0.14,0,1,1.6705e+06,200,-43.043
1.18e+05,1.6708e+09,0,1.01,0.77,1.03,0.15,0,1,1.6707e+06,200,-43.043
1.1876e+05,1.6709e+09,0,1.01,0.77,1.02,0.14,0,1,1.6709e+06,200,-43.043
1.1956e+05,1.6711e+09,0,1.01,0.77,1.02,0.15,0,1,1.6711e+06,200,-43.044
1.2046e+05,1.6714e+09,0,1.01,0.77,1.02,0.15,0,1,1.6713e+06,200,-43.043
1.2127e+05,1.6716e+09,0,1.01,0.77,1.02,0.15,0,1,1.6715e+06,200,-43.044
1.2207e+05,1.6717e+09,0,1.01,0.77,1.02,0.16,0,1,1.6717e+06,200,-43.043
1.2284e+05,1.6719e+09,0,1.01,0.77,1.02,0.16,0,1,1.6719e+06,200,-43.043
1.2373e+05,1.6722e+09,0,1.01,0.77,1.02,0.15,0,1,1.6721e+06,200,-43.043
1.245e+05,1.6724e+09,0,1.01,0.77,1.02,0.14,0,1,1.6723e+06,200,-43.043
1.253e+05,1.6726e+09,0,1.01,0.77,1.02,0.15,0,1,1.6725e+06,200,-43.043
1.262e+05,1.6728e+09,0,1.01,0.76,1.02,0.14,0,1,1.6727e+06,200,-43.043
1.27e+05,1.673e+09,0,1.01,0.76,1.02,0.15,0,1,1.6729e+06,200,-43.043
1.2768e+05,1.6731e+09,0,1.01,0.76,1.02,0.17,0,1,1.6731e+06,200,-43.043
1.2857e+05,1.6733e+09,0,1.01,0.76,1.02,0.14,0,1,1.6733e+06,200,-43.043
1.2937e+05,1.6735e+09,0,1.01,0.76,1.02,0.14,0,1,1.6735e+06,200,-43.043
1.3023e+05,1.6738e+09,0,1.01,0.76,1.02,0.14,0,1,1.6737e+06,200,-43.043
