LineNo,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
5063,1.6431e+09,0,0,0,0,0,0.23,0.66,0,0,0.5,0.00010301,0.0061102,0.021136
5110,1.6431e+09,0,0,0,0,0,0.24,0.66,0,0,0.5,9.6961e-05,0.0057552,0.020056
5153,1.6431e+09,0,0,0,0,0,0.24,0.66,0,0,0.5,9.6961e-05,0.0057552,0.020056
5196,1.6431e+09,0,0,0,0,0,0.24,0.66,0,0,0.5,9.1507e-05,0.0054284,0.019051
5234,1.6432e+09,0,0,0,0,0,0.21,0.66,0,0,0.5,0.00013305,0.015313,0.047063
5278,1.6432e+09,0,0,0,0,0,0.22,0.66,0,0,0.5,0.00020053,0.014377,0.044307
5323,1.6432e+09,0,0,0,0,0,0.22,0.66,0,0,0.5,0.00019365,0.013522,0.041864
5367,1.6432e+09,0,0,0,0,0,0.22,0.66,0,0,0.5,0.00018547,0.012713,0.039582
5412,1.6432e+09,0,0,0,0,0,0.23,0.66,0,0,0.5,0.00017774,0.011947,0.037418
5456,1.6432e+09,0,0,0,0,0,0.23,0.66,0,0,0.5,0.00016781,0.011225,0.035428
5501,1.6432e+09,0,0,0,0,0,0.23,0.66,0,0,0.5,0.00016781,0.011225,0.035428
5550,1.6432e+09,0,0,0,0,0,0.24,0.66,0,0,0.5,0.0001625,0.010533,0.03344
5595,1.6432e+09,0,0,0,0,0,0.24,0.66,0,0,0.5,0.00015638,0.0098784,0.031582
5639,1.6432e+09,0,0,0,0,0,0.24,0.66,0,0,0.5,0.00015071,0.0092545,0.029797
5684,1.6433e+09,0,0,0,0,0,0.25,0.66,0,0,0.5,0.00014394,0.0086551,0.028058
5729,1.6433e+09,0,0,0,0,0,0.25,0.66,0,0,0.5,0.0001773,0.0080956,0.026447
5773,1.6433e+09,0,0,0,0,0,0.25,0.66,0,0,0.5,0.00016718,0.0075695,0.024927
5819,1.6433e+09,0,0,0,0,0,0.25,0.66,0,0,0.5,0.00016718,0.0075695,0.024927
5866,1.6433e+09,0,0,0,0,0,0.26,0.66,0,0,0.5,0.00015498,0.007076,0.023507
5911,1.6433e+09,0,0,0,0,0,0.26,0.66,0,0,0.5,0.00014322,0.0066123,0.022177
