LineNo,TimeUS,C,MI,BI,GI,AI,SS
15936,1.6457e+09,0,0,0,0,0,0
15982,1.6457e+09,0,0,0,0,0,0
16028,1.6457e+09,0,0,0,0,0,0
16067,1.6458e+09,0,0,0,0,0,0
16112,1.6458e+09,0,0,0,0,0,0
16159,1.6458e+09,0,0,0,0,0,0
16204,1.6458e+09,0,0,0,0,0,0
16254,1.6458e+09,0,0,0,0,0,0
16299,1.6458e+09,0,0,0,0,0,0
16343,1.6458e+09,0,0,0,0,0,0
16390,1.6458e+09,0,0,0,0,0,0
16440,1.6458e+09,0,0,0,0,0,0
16484,1.6459e+09,0,0,0,0,0,0
16529,1.6459e+09,0,0,0,0,0,0
16574,1.6459e+09,0,0,0,0,0,0
16618,1.6459e+09,0,0,0,0,0,0
16664,1.6459e+09,0,0,0,0,0,0
16712,1.6459e+09,0,0,0,0,0,0
16757,1.6459e+09,0,0,0,0,0,0
16801,1.6459e+09,0,0,0,0,0,0
16847,1.6459e+09,0,0,0,0,0,0
16893,1.6459e+09,0,0,0,0,0,0
16936,1.646e+09,0,0,0,0,0,0
16978,1.646e+09,0,0,0,0,0,0
17021,1.646e+09,0,0,0,0,0,0
17064,1.646e+09,0,0,0,0,0,0
17106,1.646e+09,0,0,0,0,0,0
17153,1.646e+09,0,0,0,0,0,0
17195,1.646e+09,0,0,0,0,0,0
17237,1.646e+09,0,0,0,0,0,0
17282,1.646e+09,0,0,0,0,0,0
17324,1.646e+09,0,0,0,0,0,0
17371,1.6461e+09,0,0,0,0,0,0
17413,1.6461e+09,0,0,0,0,0,0
17456,1.6461e+09,0,0,0,0,0,0
17499,1.6461e+09,0,0,0,0,0,0
17541,1.6461e+09,0,0,0,0,0,0
17589,1.6461e+09,0,0,0,0,0,0
17631,1.6461e+09,0,0,0,0,0,0
17674,1.6461e+09,0,0,0,0,0,0
17716,1.6461e+09,0,0,0,0,0,0
17762,1.6462e+09,0,0,0,0,0,0
17807,1.6462e+09,0,0,0,0,0,0
17851,1.6462e+09,0,0,0,0,0,0
17895,1.6462e+09,0,0,0,0,0,0
17940,1.6462e+09,0,0,0,0,0,0
17988,1.6462e+09,0,0,0,0,0,0
18037,1.6462e+09,0,0,0,0,0,0
18082,1.6462e+09,0,0,0,0,0,0
18129,1.6462e+09,0,0,0,0,0,0
18177,1.6463e+09,0,0,0,0,0,0
18228,1.6463e+09,0,0,0,0,0,0
18273,1.6463e+09,0,0,0,0,0,0
18317,1.6463e+09,0,0,0,0,0,0
18362,1.6463e+09,0,0,0,0,0,0
18411,1.6463e+09,0,0,0,0,0,0
18456,1.6463e+09,0,0,0,0,0,0
18504,1.6463e+09,0,0,0,0,0,0
18550,1.6463e+09,0,0,0,0,0,0
18593,1.6464e+09,0,0,0,0,0,0
18637,1.6464e+09,0,0,0,0,0,0
18683,1.6464e+09,0,0,0,0,0,0
18728,1.6464e+09,0,0,0,0,0,0
18772,1.6464e+09,0,0,0,0,0,0
18817,1.6464e+09,0,0,0,0,0,0
18865,1.6464e+09,0,0,0,0,0,0
18910,1.6464e+09,0,0,0,0,0,0
18955,1.6464e+09,0,0,0,0,0,0
19000,1.6465e+09,0,0,0,0,0,0
19048,1.6465e+09,0,0,0,0,0,0
