LineNo,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S
2.9548e+05,1.7148e+09,2,38,-172,467,-399,44,42,0,0,0,1,1.7148e+09
2.9591e+05,1.7149e+09,2,39,-170,471,-399,44,42,0,0,0,1,1.7149e+09
2.9633e+05,1.715e+09,2,41,-170,472,-399,44,42,0,0,0,1,1.715e+09
2.9674e+05,1.7151e+09,2,37,-174,472,-399,44,42,0,0,0,1,1.7151e+09
2.9715e+05,1.7152e+09,2,40,-169,486,-399,44,42,0,0,0,1,1.7152e+09
2.976e+05,1.7153e+09,2,36,-169,474,-399,44,42,0,0,0,1,1.7153e+09
2.9804e+05,1.7154e+09,2,30,-178,475,-399,44,42,0,0,0,1,1.7154e+09
2.9848e+05,1.7155e+09,2,35,-174,476,-399,44,42,0,0,0,1,1.7155e+09
2.9892e+05,1.7156e+09,2,30,-169,478,-399,44,42,0,0,0,1,1.7156e+09
2.9937e+05,1.7157e+09,2,41,-170,474,-399,44,42,0,0,0,1,1.7157e+09
2.9981e+05,1.7158e+09,2,25,-176,482,-399,44,42,0,0,0,1,1.7158e+09
3.0026e+05,1.7159e+09,2,19,-186,483,-399,44,42,0,0,0,1,1.7159e+09
3.0067e+05,1.716e+09,2,28,-174,481,-399,44,42,0,0,0,1,1.716e+09
3.0111e+05,1.7162e+09,2,36,-164,471,-399,44,42,0,0,0,1,1.7162e+09
3.0153e+05,1.7163e+09,2,56,-155,464,-399,44,42,0,0,0,1,1.7163e+09
3.0192e+05,1.7164e+09,2,66,-152,452,-399,44,42,0,0,0,1,1.7164e+09
3.0237e+05,1.7165e+09,2,63,-159,457,-399,44,42,0,0,0,1,1.7165e+09
3.0281e+05,1.7166e+09,2,52,-159,462,-399,44,42,0,0,0,1,1.7166e+09
3.0326e+05,1.7167e+09,2,39,-150,467,-399,44,42,0,0,0,1,1.7167e+09
