LineNo,TimeUS,C,IVN0,IVN1,IVN2,IVN3,IVN4,IVE0,IVE1,IVE2,IVE3,IVE4
9279,1.6441e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
9324,1.6441e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
9368,1.6441e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
9413,1.6441e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
9458,1.6441e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
9507,1.6441e+09,1,-1.5961,0.70344,2.0004,0.50248,-1.7203,-1.2642,-1.8808,0.11565,1.9661,1.1133
10334,1.6444e+09,1,0,0,0,0,0,0,0,0,0,0
10378,1.6444e+09,1,0,0,0,0,0,0,0,0,0,0
10423,1.6444e+09,1,0,0,0,0,0,0,0,0,0,0
10469,1.6444e+09,1,0,0,0,0,0,0,0,0,0,0
10513,1.6444e+09,1,0,0,0,0,0,0,0,0,0,0
10558,1.6444e+09,1,0,0,0,0,0,0,0,0,0,0
10602,1.6444e+09,1,0,0,0,0,0,0,0,0,0,0
10647,1.6444e+09,1,0,0,0,0,0,0,0,0,0,0
10692,1.6444e+09,1,0,0,0,0,0,0,0,0,0,0
10737,1.6444e+09,1,0,0,0,0,0,0,0,0,0,0
10786,1.6445e+09,1,0,0,0,0,0,0,0,0,0,0
10831,1.6445e+09,1,0,0,0,0,0,0,0,0,0,0
10876,1.6445e+09,1,0,0,0,0,0,0,0,0,0,0
10920,1.6445e+09,1,0,0,0,0,0,0,0,0,0,0
10965,1.6445e+09,1,0,0,0,0,0,0,0,0,0,0
11010,1.6445e+09,1,0,0,0,0,0,0,0,0,0,0
11054,1.6445e+09,1,0,0,0,0,0,0,0,0,0,0
11100,1.6445e+09,1,0,0,0,0,0,0,0,0,0,0
11145,1.6445e+09,1,0,0,0,0,0,0,0,0,0,0
11192,1.6446e+09,1,0,0,0,0,0,0,0,0,0,0
11237,1.6446e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
11282,1.6446e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
11328,1.6446e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
11372,1.6446e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
11420,1.6446e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
11466,1.6446e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
11511,1.6446e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
11556,1.6446e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
11601,1.6446e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
11646,1.6447e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
11695,1.6447e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
11740,1.6447e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
11785,1.6447e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
11829,1.6447e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
11871,1.6447e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
11916,1.6447e+09,1,-1.4683,0.60844,1.8015,0.46208,-1.5587,-1.1393,-1.719,0.076946,1.7666,1.0148
