LineNo,TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw
9248,1.6441e+09,0.015656,0.017169,0.019893,0.019203,0.083914
9293,1.6441e+09,0.016004,0.017262,0.019705,0.019103,0.082244
9338,1.6441e+09,0.015824,0.018037,0.019767,0.018874,0.080607
9382,1.6441e+09,0.015933,0.017865,0.019744,0.018704,0.079003
9427,1.6441e+09,0.01598,0.017628,0.019671,0.018368,0.077431
9472,1.6441e+09,0.016094,0.017931,0.019612,0.018123,0.075891
9521,1.6442e+09,0.016079,0.018033,0.019657,0.017943,0.074381
9565,1.6442e+09,0.016049,0.017795,0.019653,0.017475,0.072172
9608,1.6442e+09,0.016243,0.018274,0.019475,0.017428,0.070736
9651,1.6442e+09,0.016085,0.018578,0.019665,0.017735,0.069328
9693,1.6442e+09,0.01603,0.018511,0.019637,0.017579,0.067949
9738,1.6442e+09,0.016146,0.018391,0.019552,0.017879,0.066597
9780,1.6442e+09,0.015926,0.01886,0.019631,0.017896,0.065271
9823,1.6442e+09,0.016014,0.019013,0.019615,0.018253,0.063972
9866,1.6442e+09,0.015808,0.018822,0.019727,0.018205,0.062699
9911,1.6442e+09,0.016069,0.019204,0.019503,0.018519,0.061452
9955,1.6443e+09,0.015805,0.019743,0.019866,0.019027,0.060229
9998,1.6443e+09,0.015992,0.020192,0.019661,0.019339,0.05903
10043,1.6443e+09,0.015917,0.019855,0.019847,0.019479,0.057856
10085,1.6443e+09,0.016096,0.020321,0.019646,0.019738,0.056704
10128,1.6443e+09,0.016061,0.020321,0.019868,0.020412,0.055576
10171,1.6443e+09,0.016167,0.020251,0.01984,0.020464,0.05447
10215,1.6443e+09,0.01639,0.020174,0.01982,0.021137,0.053387
10258,1.6443e+09,0.016244,0.020493,0.020028,0.021395,0.052325
10302,1.6443e+09,0.016411,0.020513,0.019948,0.022019,0.051284
10348,1.6444e+09,0.016315,0.020208,0.020077,0.022295,0.050012
10392,1.6444e+09,0.01636,0.021029,0.02005,0.022481,0.049017
10437,1.6444e+09,0.016379,0.021134,0.020129,0.022887,0.048041
10483,1.6444e+09,0.016249,0.021097,0.020233,0.022668,0.047085
10527,1.6444e+09,0.01643,0.021156,0.020072,0.022795,0.046148
10572,1.6444e+09,0.016163,0.021638,0.020315,0.022848,0.04523
10616,1.6444e+09,0.016357,0.021899,0.020122,0.022779,0.04433
10661,1.6444e+09,0.016217,0.02204,0.020273,0.022501,0.043448
10706,1.6444e+09,0.016343,0.022277,0.020037,0.022403,0.042583
10751,1.6444e+09,0.016125,0.022135,0.020268,0.022593,0.041736
10800,1.6445e+09,0.016367,0.022696,0.020074,0.022422,0.040905
10845,1.6445e+09,0.016378,0.022476,0.020063,0.022413,0.040091
10890,1.6445e+09,0.016445,0.023282,0.019946,0.022175,0.039294
10934,1.6445e+09,0.016553,0.023481,0.020026,0.022724,0.038512
10979,1.6445e+09,0.016498,0.023307,0.019995,0.0225,0.037746
11024,1.6445e+09,0.016733,0.023452,0.019856,0.022613,0.036995
11068,1.6445e+09,0.016478,0.02371,0.020111,0.022949,0.036259
11114,1.6445e+09,0.016728,0.024057,0.019981,0.023019,0.035538
11159,1.6445e+09,0.016494,0.023911,0.020247,0.022961,0.03483
11206,1.6446e+09,0.016638,0.024884,0.020167,0.023514,0.033966
11251,1.6446e+09,0.01673,0.025075,0.020328,0.024677,0.033291
11296,1.6446e+09,0.016646,0.02489,0.020459,0.02457,0.032628
11342,1.6446e+09,0.016941,0.025003,0.020251,0.025201,0.031979
11386,1.6446e+09,0.016645,0.025394,0.020656,0.025734,0.031343
11434,1.6446e+09,0.017045,0.026272,0.020438,0.026827,0.030565
11480,1.6446e+09,0.017134,0.026123,0.020444,0.027239,0.029957
11525,1.6446e+09,0.017135,0.026412,0.020517,0.027757,0.029361
11570,1.6446e+09,0.017273,0.026353,0.02045,0.0281,0.028777
11615,1.6447e+09,0.017205,0.025969,0.020718,0.028154,0.028204
11660,1.6447e+09,0.017365,0.025747,0.02047,0.028224,0.027643
11709,1.6447e+09,0.017065,0.025888,0.021015,0.028655,0.027094
11754,1.6447e+09,0.017209,0.025854,0.020704,0.029344,0.026555
11799,1.6447e+09,0.016956,0.025609,0.021114,0.029607,0.026026
11843,1.6447e+09,0.017001,0.025573,0.020852,0.03041,0.025508
11885,1.6447e+09,0.016729,0.025474,0.021241,0.031069,0.025001
11930,1.6447e+09,0.016833,0.025452,0.021126,0.03185,0.024504
11976,1.6447e+09,0.016816,0.025625,0.021155,0.032321,0.024016
12020,1.6447e+09,0.016785,0.026012,0.02136,0.033578,0.023538
12066,1.6448e+09,0.016945,0.026476,0.021495,0.034827,0.02307
12107,1.6448e+09,0.016864,0.026169,0.022005,0.035443,0.022611
12154,1.6448e+09,0.017261,0.026262,0.021694,0.036175,0.022161
12196,1.6448e+09,0.017022,0.026342,0.02254,0.037356,0.021721
12240,1.6448e+09,0.017335,0.026225,0.022284,0.038507,0.021289
12283,1.6448e+09,0.017199,0.025999,0.022752,0.039116,0.020866
12325,1.6448e+09,0.017336,0.026443,0.022818,0.040243,0.020451
12368,1.6448e+09,0.017353,0.026637,0.022989,0.04114,0.020044
12414,1.6448e+09,0.017246,0.02624,0.023241,0.041281,0.019547
12456,1.6448e+09,0.017417,0.025953,0.022832,0.041609,0.019158
12501,1.6449e+09,0.017103,0.026186,0.023351,0.041961,0.018778
12543,1.6449e+09,0.017252,0.026122,0.02301,0.042545,0.018404
12590,1.6449e+09,0.017097,0.025997,0.023226,0.042691,0.018038
12632,1.6449e+09,0.017142,0.025926,0.023297,0.043725,0.017679
12674,1.6449e+09,0.017038,0.025961,0.023339,0.043519,0.017328
12718,1.6449e+09,0.017089,0.025694,0.023455,0.043731,0.016983
12763,1.6449e+09,0.017211,0.025423,0.02314,0.043503,0.016562
12806,1.6449e+09,0.016968,0.025474,0.023624,0.043685,0.016232
12854,1.6449e+09,0.017208,0.02528,0.023518,0.044229,0.01583
12896,1.645e+09,0.017299,0.024923,0.023269,0.044149,0.015437
12940,1.645e+09,0.017071,0.025318,0.023664,0.044239,0.015131
12989,1.645e+09,0.017275,0.025292,0.023301,0.044168,0.01483
13034,1.645e+09,0.017081,0.025337,0.023383,0.04391,0.014536
13079,1.645e+09,0.017184,0.025213,0.023275,0.044449,0.014247
13124,1.645e+09,0.017005,0.025836,0.023363,0.04417,0.013963
13168,1.645e+09,0.016981,0.025657,0.023441,0.044246,0.013686
13212,1.645e+09,0.016951,0.025511,0.023275,0.044099,0.013413
13256,1.645e+09,0.016892,0.025772,0.023353,0.044048,0.013146
13301,1.6451e+09,0.016886,0.025772,0.023234,0.043889,0.012885
13346,1.6451e+09,0.016794,0.025593,0.023466,0.04363,0.012628
13390,1.6451e+09,0.017041,0.02553,0.023151,0.043488,0.012377
13439,1.6451e+09,0.016848,0.025643,0.023387,0.043168,0.012131
13483,1.6451e+09,0.017018,0.025432,0.023056,0.042795,0.01189
13528,1.6451e+09,0.016886,0.025202,0.023278,0.04236,0.011653
13585,1.6452e+09,0.016837,0.024476,0.022955,0.042079,0.010231
13630,1.6452e+09,0.016865,0.02466,0.022932,0.042217,0.010028
13678,1.6452e+09,0.016696,0.024507,0.023076,0.042311,0.009829
13726,1.6452e+09,0.016572,0.024361,0.022851,0.042173,0.0095855
13771,1.6452e+09,0.016406,0.023949,0.023249,0.04211,0.009395
13818,1.6452e+09,0.016462,0.023818,0.02303,0.042553,0.0091621
13863,1.6452e+09,0.016357,0.023441,0.022984,0.042396,0.0089803
13909,1.6452e+09,0.016328,0.023095,0.023151,0.042151,0.0088019
13954,1.6453e+09,0.016531,0.023017,0.022932,0.042412,0.008628
14001,1.6453e+09,0.016435,0.022782,0.023212,0.042258,0.0084574
14045,1.6453e+09,0.016499,0.022494,0.022885,0.04206,0.008291
14094,1.6453e+09,0.016577,0.022091,0.023308,0.04194,0.0081284
14139,1.6453e+09,0.016649,0.021796,0.023045,0.042515,0.0079685
14184,1.6453e+09,0.016554,0.02157,0.02334,0.042482,0.0078122
14229,1.6453e+09,0.0165,0.02128,0.023223,0.042525,0.0076577
14273,1.6453e+09,0.016471,0.02098,0.02332,0.042817,0.0075072
14318,1.6453e+09,0.016359,0.020626,0.023421,0.04295,0.0073582
14362,1.6453e+09,0.016155,0.020422,0.023281,0.042815,0.007213
14409,1.6454e+09,0.016043,0.02011,0.023531,0.042651,0.0070344
14449,1.6454e+09,0.015951,0.019775,0.023151,0.042852,0.0068948
14491,1.6454e+09,0.01584,0.019426,0.02351,0.043028,0.0067586
14540,1.6454e+09,0.01574,0.019148,0.023227,0.042917,0.0066246
14584,1.6454e+09,0.01592,0.018949,0.023406,0.043246,0.0064943
14627,1.6454e+09,0.015915,0.018621,0.02338,0.043406,0.0063657
14669,1.6454e+09,0.01593,0.018305,0.023366,0.043162,0.0062422
14710,1.6454e+09,0.015977,0.018167,0.023414,0.043015,0.0061191
14752,1.6454e+09,0.016143,0.017886,0.023203,0.043167,0.0059999
14794,1.6455e+09,0.016182,0.017569,0.023308,0.043045,0.0058814
14837,1.6455e+09,0.016092,0.017284,0.023069,0.042586,0.005767
14879,1.6455e+09,0.016126,0.016966,0.023256,0.042198,0.0056535
14922,1.6455e+09,0.016047,0.016671,0.022845,0.042116,0.0055423
14970,1.6455e+09,0.015911,0.016397,0.023036,0.041773,0.0054328
