LineNo,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
4.2161e+05,1.746e+09,5.6443,-5.1053,-0.0054143,12.185,0.85006,0.011404,-2.4431,2.6399,-0.11037,-38.772,-53.428,0.24839
4.2165e+05,1.7461e+09,5.8273,-6.6642,0.034461,12.727,-0.60835,0.035696,-2.4489,0.78402,-0.11025,-36.84,-44.425,0.24907
4.2169e+05,1.7461e+09,4.8376,10.152,-0.13943,12.944,1.8777,0.01958,-2.4671,-0.40899,-0.10983,-31.782,-21.485,0.24995
4.2174e+05,1.7461e+09,4.2985,3.4512,-0.09202,14.397,0.43818,0.035157,-2.4609,0.37961,-0.10945,-31.094,-42.056,0.25019
4.2178e+05,1.7461e+09,4.2278,-1.3949,-0.012834,15.247,3.4767,0.018146,-2.5381,3.7643,-0.10938,-32.529,-42.515,0.25069
4.2182e+05,1.7461e+09,4.0145,8.1731,-0.11825,14.962,0.62742,0.038499,-2.4149,-2.5319,-0.10881,-31.654,-35.457,0.25163
4.2186e+05,1.7461e+09,4.3318,-1.4521,-0.030447,15.045,1.0627,0.040506,-2.3998,-0.70648,-0.10809,-34.513,-44.348,0.25226
4.2191e+05,1.7461e+09,4.0721,-5.2446,0.020009,15.282,2.0462,0.040255,-2.3674,0.22874,-0.10747,-33.236,-49.802,0.25244
4.2195e+05,1.7461e+09,4.4767,9.063,-0.11768,14.474,2.4123,0.037488,-2.321,-0.84005,-0.10677,-30.795,-44.541,0.2526
4.22e+05,1.7461e+09,4.7747,10.26,-0.14984,13.853,3.3914,0.02772,-2.1823,-3.9165,-0.10589,-30.067,-25.919,0.25308
4.2204e+05,1.7462e+09,4.2913,0.53969,-0.061315,13.945,-2.8787,0.095603,-2.1096,-1.0636,-0.10518,-30.61,0.087452,0.25345
4.2208e+05,1.7462e+09,4.6561,0.31106,-0.053109,13.494,7.7835,-0.012713,-1.9953,-3.6498,-0.10446,-29.952,-34.495,0.25336
4.2212e+05,1.7462e+09,4.4427,1.84,-0.053493,13.348,10.007,-0.01045,-1.9505,-0.082292,-0.10396,-27.508,-33.639,0.2535
4.2216e+05,1.7462e+09,3.8533,7.6918,-0.12365,12.664,7.7806,0.013081,-1.777,-2.9778,-0.10333,-26.482,-18.838,0.25351
4.2221e+05,1.7462e+09,3.8426,8.6336,-0.13803,11.885,11.791,-0.033767,-1.6771,-2.717,-0.10228,-24.259,-24.971,0.25333
4.2225e+05,1.7462e+09,4.207,-6.3964,0.018836,11.567,11.245,-0.025728,-1.485,-3.3385,-0.10134,-23.405,-26.138,0.2534
4.223e+05,1.7462e+09,3.2628,4.0092,-0.070141,11.417,6.5086,0.0334,-1.3552,-0.91897,-0.10036,-23.637,-42.316,0.25364
4.2234e+05,1.7462e+09,2.6055,14.468,-0.19256,10.961,4.7105,0.048555,-1.1947,-4.0988,-0.10009,-22.814,-32.802,0.25414
4.2239e+05,1.7462e+09,3.053,-0.8427,-0.057121,11.32,10.285,-0.0082055,-1.0269,-3.1376,-0.098842,-19.857,-22.147,0.25422
4.2243e+05,1.7463e+09,2.7578,1.8215,-0.064007,11.53,12.916,-0.045939,-0.94007,-0.44396,-0.098234,-19.301,12.413,0.25431
4.2248e+05,1.7463e+09,2.4322,6.367,-0.13337,11.035,5.0186,0.028115,-0.65654,-5.4794,-0.097362,-15.893,-27.817,0.25445
4.2252e+05,1.7463e+09,2.9529,-5.2245,-0.009753,11.11,5.682,0.030017,-0.62191,-0.58415,-0.096942,-15.282,-15.817,0.25498
4.2256e+05,1.7463e+09,2.6311,-4.6293,-0.0028612,11.645,3.1725,0.039496,-0.37805,-4.4251,-0.095991,-16.932,-6.5004,0.25505
4.2261e+05,1.7463e+09,2.2817,12.005,-0.16845,11.184,5.1802,0.015333,-0.25078,-2.8153,-0.095118,-20.312,-14.877,0.25483
4.2265e+05,1.7463e+09,7.2609,0.97782,-0.073045,10.435,-0.41475,0.069238,-0.16504,-4.71,-0.094809,-18.203,-22.03,0.2545
4.227e+05,1.7463e+09,7.172,-0.093063,-0.033553,8.6067,1.7923,0.039254,-0.14812,-0.29772,-0.094622,-17.675,-4.0138,0.25422
4.2274e+05,1.7463e+09,10.176,6.4112,-0.11378,5.6964,2.0972,0.012048,0.037687,-6.6638,-0.093815,-17.516,3.9948,0.2538
4.2279e+05,1.7463e+09,9.9651,-2.5442,-0.032835,4.4538,4.1828,-0.015857,0.072616,-1.8842,-0.09351,-17.051,-21.009,0.25324
4.2283e+05,1.7464e+09,11.666,2.2061,-0.065425,3.6111,0.054852,0.038228,0.21326,-1.724,-0.093181,-17.831,-19.909,0.25321
4.2288e+05,1.7464e+09,11.379,8.318,-0.10047,3.9006,1.2997,0.011845,0.29699,-2.2327,-0.09301,-17.523,-20.897,0.25334
4.2292e+05,1.7464e+09,13.168,1.5845,-0.044066,5.3206,-4.404,0.067634,0.38361,-2.287,-0.09271,-15.793,-25.966,0.25344
4.2296e+05,1.7464e+09,12.257,-10.69,0.087464,4.4194,8.8314,-0.071951,0.52891,-1.6693,-0.092427,-15.889,-26.303,0.25343
4.2301e+05,1.7464e+09,12.073,0.73237,0.0074882,4.923,1.4248,0.005096,0.58578,1.0706,-0.092138,-16.228,-28.335,0.25383
4.2305e+05,1.7464e+09,11.267,15.918,-0.16417,4.6516,-1.0978,0.029617,0.80068,-4.0482,-0.09193,-15.617,-27.399,0.25438
4.231e+05,1.7464e+09,13.572,4.8886,-0.066267,4.6527,-0.65482,0.028664,0.75813,-0.5419,-0.091916,-12.116,-53.393,0.25495
4.2314e+05,1.7464e+09,12.772,1.6873,0.00037553,4.6162,3.449,-0.0043272,0.90471,-2.5517,-0.091442,-11.307,-4.3472,0.2562
4.2319e+05,1.7464e+09,10.784,13.919,-0.13303,3.893,-2.8871,0.052417,1.0528,-2.097,-0.091215,-9.993,-32.595,0.25681
4.2324e+05,1.7465e+09,10.937,9.4752,-0.079734,3.1343,1.6176,0.0085619,1.1691,-3.2741,-0.090544,-9.0271,-39.804,0.25784
4.2328e+05,1.7465e+09,10.24,1.5212,0.0201,3.2356,1.6964,0.0057838,1.2585,-0.90116,-0.090369,-10.887,-13.662,0.25858
4.2333e+05,1.7465e+09,9.4842,13.096,-0.10734,2.7905,-0.48114,0.029297,1.4256,-3.5452,-0.089962,-9.7829,-26.288,0.25897
4.2337e+05,1.7465e+09,9.6318,11.207,-0.10877,2.0548,2.6898,-0.0028667,1.487,-3.0999,-0.089774,-8.1472,7.4224,0.2595
4.2341e+05,1.7465e+09,8.7887,5.808,-0.063682,3.2088,0.39048,0.019826,1.6029,-0.9792,-0.089525,-7.4295,-34.963,0.25945
4.2346e+05,1.7465e+09,8.5505,7.4153,-0.06456,3.0177,-1.6735,0.044933,1.6787,-0.80304,-0.089549,-6.8966,-7.0931,0.2597
4.235e+05,1.7465e+09,8.2042,18.545,-0.18208,3.3084,4.2506,-0.018988,1.8051,-3.493,-0.088983,-6.5458,-0.53492,0.25941
4.2354e+05,1.7465e+09,6.634,1.4971,-0.038113,4.4828,1.3186,0.014521,1.8833,-0.28522,-0.088922,-6.0086,-3.2985,0.25915
4.2359e+05,1.7465e+09,6.7186,0.65761,-0.00018514,4.4183,-0.9981,0.03059,1.9732,-0.68633,-0.088587,-5.9112,15.385,0.25879
4.2364e+05,1.7466e+09,5.5211,15.347,-0.15425,3.2829,1.2743,-0.0038125,2.1017,-2.9846,-0.087996,-8.3787,-11.081,0.25832
4.2369e+05,1.7466e+09,5.3531,5.1831,-0.072378,3.6402,-0.45065,0.010039,2.1513,-1.6693,-0.088271,-9.6309,7.3561,0.25831
4.2373e+05,1.7466e+09,6.9641,-0.15909,-0.024863,4.2413,1.4752,-0.0070853,2.218,-0.93323,-0.087995,-6.8743,-15.471,0.2574
4.2378e+05,1.7466e+09,6.6818,1.4028,-0.0082238,4.4743,1.1006,-0.00015367,2.2876,-1.012,-0.087383,-7.085,15.226,0.25703
4.2382e+05,1.7466e+09,9.5106,14.429,-0.16546,3.5682,-2.7446,0.037097,2.3364,-2.7936,-0.087279,-6.134,-0.67587,0.25656
4.2386e+05,1.7466e+09,8.9368,1.5427,-0.04996,4.3115,2.6305,-0.0029237,2.3531,0.52542,-0.087923,-4.8206,-15.323,0.25646
4.2391e+05,1.7466e+09,8.5551,-7.5883,0.06279,4.787,-4.7644,0.059892,2.4509,-1.2273,-0.087567,-9.3289,23.154,0.25645
4.2395e+05,1.7466e+09,7.93,15.669,-0.16401,4.1509,-0.66028,0.0089788,2.5319,-2.9098,-0.087029,-13.5,-23.888,0.25556
4.2399e+05,1.7466e+09,6.3762,3.9894,-0.059951,4.8955,1.864,-0.0029968,2.5934,-1.8343,-0.087362,-19.326,10.951,0.25514
