LineNo,TimeUS,C,Q1,Q2,Q3,Q4
6051,1.6433e+09,0,-0.98488,0.02589,-0.00501,-0.17125
6094,1.6434e+09,0,-0.98487,0.025851,-0.004998,-0.17131
6138,1.6434e+09,0,-0.98487,0.02579,-0.0050026,-0.17132
6183,1.6434e+09,0,-0.98486,0.025875,-0.0050087,-0.17132
6230,1.6434e+09,0,-0.98487,0.025975,-0.005042,-0.17127
6275,1.6434e+09,0,-0.98489,0.025944,-0.0050614,-0.17117
6319,1.6434e+09,0,-0.9849,0.02591,-0.005072,-0.17111
6364,1.6434e+09,0,-0.98491,0.025906,-0.0050217,-0.17104
6411,1.6434e+09,0,-0.98493,0.025865,-0.0050306,-0.17093
6458,1.6434e+09,0,-0.98493,0.025874,-0.0049954,-0.17092
6502,1.6434e+09,0,-0.98493,0.026033,-0.0049884,-0.17091
6546,1.6435e+09,0,-0.98492,0.026038,-0.0050398,-0.17096
6594,1.6435e+09,0,-0.9849,0.026019,-0.0050405,-0.17106
6638,1.6435e+09,0,-0.98489,0.025951,-0.0050388,-0.17116
6683,1.6435e+09,0,-0.98488,0.025906,-0.0049743,-0.17124
6728,1.6435e+09,0,-0.98486,0.025902,-0.0050194,-0.17135
6773,1.6435e+09,0,-0.98485,0.025909,-0.0050635,-0.1714
6818,1.6435e+09,0,-0.98484,0.025936,-0.0051166,-0.17144
6866,1.6435e+09,0,-0.98485,0.025928,-0.0050994,-0.17141
6913,1.6435e+09,0,-0.98486,0.02584,-0.0050291,-0.17134
6958,1.6436e+09,0,-0.98488,0.025838,-0.005038,-0.17122
7000,1.6436e+09,0,-0.98489,0.025761,-0.0050749,-0.17117
7048,1.6436e+09,0,-0.9849,0.02579,-0.005086,-0.17114
7091,1.6436e+09,0,-0.9849,0.025883,-0.0050993,-0.17108
7133,1.6436e+09,0,-0.98491,0.025905,-0.0050693,-0.17103
7177,1.6436e+09,0,-0.98492,0.02577,-0.0050499,-0.171
7220,1.6436e+09,0,-0.98491,0.025823,-0.0051647,-0.17106
7266,1.6436e+09,0,-0.98489,0.025904,-0.0051366,-0.17117
7309,1.6436e+09,0,-0.98488,0.025876,-0.0051171,-0.17124
7352,1.6437e+09,0,-0.98486,0.025871,-0.005111,-0.17131
7397,1.6437e+09,0,-0.98486,0.02576,-0.0050255,-0.17138
7439,1.6437e+09,0,-0.98485,0.025643,-0.0051672,-0.17143
7479,1.6437e+09,0,-0.98484,0.025786,-0.0051042,-0.17145
7521,1.6437e+09,0,-0.98482,0.025894,-0.0051442,-0.17157
7565,1.6437e+09,0,-0.98484,0.025832,-0.0050586,-0.17144
7608,1.6437e+09,0,-0.98485,0.025563,-0.0051826,-0.17145
7651,1.6437e+09,0,-0.98488,0.025648,-0.0051926,-0.17125
7703,1.6437e+09,0,-0.98486,0.025735,-0.0051452,-0.17135
7747,1.6437e+09,0,-0.98491,0.025623,-0.0049877,-0.17109
7789,1.6438e+09,0,-0.9849,0.025542,-0.0052316,-0.17116
7835,1.6438e+09,0,-0.98494,0.02552,-0.0050584,-0.17092
7880,1.6438e+09,0,-0.98489,0.025808,-0.0051615,-0.17118
7927,1.6438e+09,0,-0.9849,0.025759,-0.0049148,-0.17111
7971,1.6438e+09,0,-0.98488,0.025662,-0.0052224,-0.17125
8016,1.6438e+09,0,-0.98491,0.025607,-0.0050392,-0.1711
8060,1.6438e+09,0,-0.98485,0.025847,-0.005257,-0.17137
8105,1.6438e+09,0,-0.98486,0.025761,-0.0048757,-0.17135
8155,1.6438e+09,0,-0.98484,0.025657,-0.0054055,-0.17146
8199,1.6439e+09,0,-0.98488,0.025407,-0.0051121,-0.17126
8245,1.6439e+09,0,-0.98485,0.025743,-0.0052445,-0.17141
8289,1.6439e+09,0,-0.98487,0.025311,-0.0050856,-0.17135
8335,1.6439e+09,0,-0.98487,0.0254,-0.0052507,-0.17135
8379,1.6439e+09,0,-0.98491,0.025116,-0.0052677,-0.17116
8424,1.6439e+09,0,-0.98489,0.025567,-0.0051197,-0.17123
8469,1.6439e+09,0,-0.9849,0.025277,-0.0052574,-0.17118
8514,1.6439e+09,0,-0.9849,0.025409,-0.0050835,-0.17116
8559,1.6439e+09,0,-0.98491,0.025277,-0.0053425,-0.17113
8607,1.6439e+09,0,-0.9849,0.025553,-0.0049309,-0.17116
8651,1.644e+09,0,-0.98489,0.025422,-0.005376,-0.17125
8692,1.644e+09,0,-0.98489,0.025424,-0.0050332,-0.17121
8737,1.644e+09,0,-0.98486,0.025576,-0.0053409,-0.17137
8783,1.644e+09,0,-0.98488,0.025387,-0.0049424,-0.17132
8824,1.644e+09,0,-0.98485,0.025484,-0.0052889,-0.17143
8870,1.644e+09,0,-0.98487,0.025417,-0.005159,-0.17136
8914,1.644e+09,0,-0.98484,0.025703,-0.0050681,-0.17148
8958,1.644e+09,0,-0.98487,0.025293,-0.0052056,-0.17138
9004,1.644e+09,0,-0.98486,0.025448,-0.005014,-0.17141
9052,1.644e+09,0,-0.98488,0.025337,-0.0053051,-0.17127
9098,1.6441e+09,0,-0.98485,0.025636,-0.0049141,-0.17141
9142,1.6441e+09,0,-0.98488,0.025375,-0.0052294,-0.17131
9187,1.6441e+09,0,-0.98487,0.025576,-0.0051564,-0.17131
9231,1.6441e+09,0,-0.98488,0.025443,-0.0051558,-0.17128
9276,1.6441e+09,0,-0.98486,0.025625,-0.0051667,-0.17138
9321,1.6441e+09,0,-0.98485,0.025604,-0.0050939,-0.17142
9365,1.6441e+09,0,-0.98487,0.02556,-0.0051889,-0.17132
9410,1.6441e+09,0,-0.98484,0.025777,-0.0049377,-0.17145
9455,1.6441e+09,0,-0.98485,0.025529,-0.0050202,-0.17142
9504,1.6441e+09,0,-0.98483,0.025859,-0.0049226,-0.1715
9550,1.6442e+09,0,-0.98483,0.025838,-0.0049565,-0.17153
