LineNo,TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv
4.4167e+05,1.751e+09,1583,4051,1.7699e+05,4648,16145,12079
4.4574e+05,1.752e+09,1583,4070,1.7742e+05,7336,15988,12336
4.4993e+05,1.753e+09,1583,4189,1.8297e+05,7421,16002,12460
4.5409e+05,1.754e+09,1583,4162,1.8155e+05,4778,16118,12581
4.5821e+05,1.755e+09,1583,4123,1.7982e+05,9037,16233,12823
4.6235e+05,1.756e+09,1583,4131,1.8066e+05,7358,15987,12549
4.6647e+05,1.757e+09,1583,4119,1.7968e+05,6695,16294,12813
4.7062e+05,1.758e+09,1583,4157,1.8114e+05,8419,15906,12671
4.7478e+05,1.759e+09,1583,4152,1.8102e+05,7991,16315,12574
4.7889e+05,1.76e+09,1583,4110,1.7911e+05,8833,16105,12817
4.8304e+05,1.761e+09,1583,4156,1.8113e+05,7896,15991,12637
4.8721e+05,1.762e+09,1587,4160,1.8173e+05,975,16261,11666
4.914e+05,1.763e+09,1587,4197,1.834e+05,7736,16239,12691
4.9561e+05,1.764e+09,1587,4209,1.8399e+05,7955,16257,12511
4.9982e+05,1.765e+09,1587,4202,1.8369e+05,6776,15981,12604
5.0403e+05,1.766e+09,1587,4211,1.8409e+05,8725,16296,12776
5.0827e+05,1.767e+09,1587,4244,1.8549e+05,1902,16067,11359
5.1244e+05,1.7681e+09,1587,4161,1.8219e+05,9187,16323,13063
5.1662e+05,1.7691e+09,1587,4188,1.8315e+05,8819,16143,12713
5.208e+05,1.7701e+09,1587,4172,1.8285e+05,8881,15968,12579
5.2496e+05,1.7711e+09,1587,4162,1.8212e+05,7959,16184,12695
5.2912e+05,1.7721e+09,1587,4161,1.8216e+05,8684,16172,12588
5.3328e+05,1.7731e+09,1587,4153,1.8179e+05,7789,16013,12680
5.3743e+05,1.7741e+09,1587,4155,1.8187e+05,8684,16285,12578
5.4162e+05,1.7751e+09,1587,4186,1.8309e+05,8067,16236,12447
5.4576e+05,1.7761e+09,1587,4139,1.8132e+05,6853,16098,12708
