LineNo,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
6923,1.6435e+09,43.601,13.482,86.34,0.23028,-0.31972
6966,1.6436e+09,43.601,13.482,86.34,0.23191,-0.31809
7008,1.6436e+09,43.601,13.482,86.34,0.23206,-0.31794
7056,1.6436e+09,43.601,13.482,86.34,0.23301,-0.31699
7099,1.6436e+09,43.601,13.482,86.34,0.23328,-0.31672
7141,1.6436e+09,43.601,13.482,86.34,0.23391,-0.31609
7185,1.6436e+09,43.601,13.482,86.34,0.23652,-0.31348
7228,1.6436e+09,43.601,13.482,86.34,0.23695,-0.31305
7274,1.6436e+09,43.601,13.482,86.34,0.23747,-0.31253
7317,1.6436e+09,43.601,13.482,86.34,0.2383,-0.3117
7360,1.6437e+09,43.601,13.482,86.35,0.24091,-0.30909
7405,1.6437e+09,43.601,13.482,86.35,0.24157,-0.30843
7447,1.6437e+09,43.601,13.482,86.35,0.2423,-0.3077
7487,1.6437e+09,43.601,13.482,86.35,0.24294,-0.30706
7529,1.6437e+09,43.601,13.482,86.35,0.24391,-0.30609
7573,1.6437e+09,43.601,13.482,86.35,0.24647,-0.30353
7616,1.6437e+09,43.601,13.482,86.35,0.24724,-0.30277
7659,1.6437e+09,43.601,13.482,86.35,0.24807,-0.30193
7711,1.6437e+09,43.601,13.482,86.35,0.24974,-0.30026
7757,1.6438e+09,43.601,13.482,86.36,0.25146,-0.29854
7799,1.6438e+09,43.601,13.482,86.36,0.25094,-0.29906
7845,1.6438e+09,43.601,13.482,86.36,0.25051,-0.29949
7892,1.6438e+09,43.601,13.482,86.36,0.25304,-0.29696
7937,1.6438e+09,43.601,13.482,86.36,0.25286,-0.29714
7981,1.6438e+09,43.601,13.482,86.36,0.25259,-0.29741
8026,1.6438e+09,43.601,13.482,86.36,0.25241,-0.29759
8070,1.6438e+09,43.601,13.482,86.36,0.25235,-0.29765
8115,1.6438e+09,43.601,13.482,86.36,0.25237,-0.29763
8165,1.6438e+09,43.601,13.482,86.36,0.25254,-0.29746
8209,1.6439e+09,43.601,13.482,86.36,0.25276,-0.29724
8255,1.6439e+09,43.601,13.482,86.36,0.25336,-0.29664
8299,1.6439e+09,43.601,13.482,86.36,0.25578,-0.29422
8345,1.6439e+09,43.601,13.482,86.36,0.2561,-0.2939
8389,1.6439e+09,43.601,13.482,86.36,0.25646,-0.29354
8434,1.6439e+09,43.601,13.482,86.36,0.25694,-0.29306
8479,1.6439e+09,43.601,13.482,86.36,0.2577,-0.2923
8524,1.6439e+09,43.601,13.482,86.37,0.26013,-0.28987
8569,1.6439e+09,43.601,13.482,86.37,0.26073,-0.28927
8617,1.6439e+09,43.601,13.482,86.37,0.2614,-0.2886
8661,1.644e+09,43.601,13.482,86.37,0.26136,-0.28864
8702,1.644e+09,43.601,13.482,86.37,0.26095,-0.28905
8747,1.644e+09,43.601,13.482,86.37,0.26067,-0.28933
8793,1.644e+09,43.601,13.482,86.37,0.26301,-0.28699
8834,1.644e+09,43.601,13.482,86.37,0.26294,-0.28706
8880,1.644e+09,43.601,13.482,86.37,0.2627,-0.2873
8924,1.644e+09,43.601,13.482,86.37,0.26259,-0.28741
8968,1.644e+09,43.601,13.482,86.37,0.26256,-0.28744
9014,1.644e+09,43.601,13.482,86.37,0.26491,-0.28509
9062,1.644e+09,43.601,13.482,86.37,0.26496,-0.28504
9108,1.6441e+09,43.601,13.482,86.37,0.26511,-0.28489
9152,1.6441e+09,43.601,13.482,86.37,0.26559,-0.28441
9197,1.6441e+09,43.601,13.482,86.37,0.26591,-0.28409
9241,1.6441e+09,43.601,13.482,86.37,0.26611,-0.28389
9286,1.6441e+09,43.601,13.482,86.37,0.26637,-0.28363
9331,1.6441e+09,43.601,13.482,86.37,0.26698,-0.28302
9375,1.6441e+09,43.601,13.482,86.37,0.26925,-0.28075
9420,1.6441e+09,43.601,13.482,86.37,0.26969,-0.28031
9465,1.6441e+09,43.601,13.482,86.38,0.27043,-0.27957
9514,1.6442e+09,43.601,13.482,86.38,0.27103,-0.27897
9558,1.6442e+09,43.601,13.482,86.38,0.2719,-0.2781
9601,1.6442e+09,43.601,13.482,86.38,0.2715,-0.2785
9644,1.6442e+09,43.601,13.482,86.38,0.27128,-0.27872
9686,1.6442e+09,43.601,13.482,86.38,0.27116,-0.27884
9731,1.6442e+09,43.601,13.482,86.38,0.27337,-0.27663
9773,1.6442e+09,43.601,13.482,86.38,0.27313,-0.27687
9816,1.6442e+09,43.601,13.482,86.38,0.27298,-0.27702
9859,1.6442e+09,43.601,13.482,86.38,0.27294,-0.27706
9904,1.6442e+09,43.601,13.482,86.38,0.27317,-0.27683
9948,1.6443e+09,43.601,13.482,86.38,0.2754,-0.2746
9991,1.6443e+09,43.601,13.482,86.38,0.27573,-0.27427
10036,1.6443e+09,43.601,13.482,86.38,0.27594,-0.27406
10078,1.6443e+09,43.601,13.482,86.38,0.27597,-0.27403
10121,1.6443e+09,43.601,13.482,86.38,0.27633,-0.27367
10164,1.6443e+09,43.601,13.482,86.38,0.27654,-0.27346
10208,1.6443e+09,43.601,13.482,86.38,0.27869,-0.27131
10251,1.6443e+09,43.601,13.482,86.38,0.27921,-0.27079
10295,1.6443e+09,43.601,13.482,86.38,0.27956,-0.27044
10341,1.6444e+09,43.601,13.482,86.39,0.28005,-0.26995
10385,1.6444e+09,43.601,13.482,86.39,0.28001,-0.26999
10430,1.6444e+09,43.601,13.482,86.38,0.27987,-0.27013
10476,1.6444e+09,43.601,13.482,86.38,0.27981,-0.27019
10520,1.6444e+09,43.601,13.482,86.38,0.27987,-0.27013
10565,1.6444e+09,43.601,13.482,86.38,0.27985,-0.27015
10609,1.6444e+09,43.601,13.482,86.39,0.28195,-0.26805
10654,1.6444e+09,43.601,13.482,86.39,0.28198,-0.26802
10699,1.6444e+09,43.601,13.482,86.39,0.2823,-0.2677
10744,1.6444e+09,43.601,13.482,86.39,0.28251,-0.26749
10793,1.6445e+09,43.601,13.482,86.39,0.28459,-0.26541
10838,1.6445e+09,43.601,13.482,86.39,0.28507,-0.26493
10883,1.6445e+09,43.601,13.482,86.39,0.28542,-0.26458
10927,1.6445e+09,43.601,13.482,86.39,0.28585,-0.26415
10972,1.6445e+09,43.601,13.482,86.39,0.28792,-0.26208
11017,1.6445e+09,43.601,13.482,86.39,0.2881,-0.2619
11061,1.6445e+09,43.601,13.482,86.39,0.28838,-0.26162
11107,1.6445e+09,43.601,13.482,86.39,0.28873,-0.26127
11152,1.6445e+09,43.601,13.482,86.39,0.28936,-0.26064
11199,1.6446e+09,43.601,13.482,86.39,0.28961,-0.26039
11244,1.6446e+09,43.601,13.482,86.39,0.28917,-0.26083
11289,1.6446e+09,43.601,13.482,86.39,0.28883,-0.26117
11335,1.6446e+09,43.601,13.482,86.39,0.2888,-0.2612
11379,1.6446e+09,43.601,13.482,86.4,0.29086,-0.25914
11427,1.6446e+09,43.601,13.482,86.39,0.28893,-0.26107
11473,1.6446e+09,43.601,13.482,86.4,0.29096,-0.25904
11518,1.6446e+09,43.601,13.482,86.4,0.29076,-0.25924
11563,1.6446e+09,43.601,13.482,86.4,0.29087,-0.25913
11608,1.6447e+09,43.601,13.482,86.4,0.29086,-0.25914
11653,1.6447e+09,43.601,13.482,86.4,0.29093,-0.25907
11702,1.6447e+09,43.601,13.482,86.4,0.29132,-0.25868
11747,1.6447e+09,43.601,13.482,86.4,0.2933,-0.2567
11792,1.6447e+09,43.601,13.482,86.4,0.29355,-0.25645
11836,1.6447e+09,43.601,13.482,86.4,0.29386,-0.25614
11878,1.6447e+09,43.601,13.482,86.4,0.29431,-0.25569
11923,1.6447e+09,43.601,13.482,86.4,0.29463,-0.25537
11969,1.6447e+09,43.601,13.482,86.4,0.29501,-0.25499
12013,1.6447e+09,43.601,13.482,86.4,0.29699,-0.25301
12059,1.6448e+09,43.601,13.482,86.4,0.29744,-0.25256
12100,1.6448e+09,43.601,13.482,86.4,0.29815,-0.25185
12147,1.6448e+09,43.601,13.482,86.4,0.29799,-0.25201
