LineNo,TimeUS,Temp,Targ,P,I,Out
2.789e+05,1.7106e+09,44.614,45,77.245,23.076,100
2.8295e+05,1.7116e+09,44.483,45,103.33,23.213,100
2.8699e+05,1.7127e+09,44.527,45,94.617,23.363,100
2.9108e+05,1.7137e+09,44.474,45,105.15,23.512,100
2.9516e+05,1.7147e+09,44.388,45,122.32,23.692,100
2.9923e+05,1.7157e+09,44.441,45,111.87,23.868,100
3.0326e+05,1.7167e+09,44.481,45,103.79,24.034,100
3.0737e+05,1.7177e+09,44.601,45,79.771,24.173,100
3.1141e+05,1.7187e+09,44.71,45,57.989,24.267,82.256
3.1536e+05,1.7197e+09,44.757,45,48.68,24.355,73.035
3.1946e+05,1.7207e+09,44.917,45,16.549,24.406,40.955
3.2353e+05,1.7217e+09,45.007,45,-1.3947,24.412,23.017
3.2764e+05,1.7228e+09,44.906,45,18.882,24.426,43.308
3.3174e+05,1.7238e+09,44.847,45,30.611,24.469,55.081
3.3579e+05,1.7248e+09,44.915,45,16.928,24.506,41.434
3.3989e+05,1.7258e+09,45.002,45,-0.44174,24.515,24.073
3.4399e+05,1.7268e+09,45.021,45,-4.2809,24.51,20.23
3.4804e+05,1.7278e+09,45.028,45,-5.6496,24.503,18.853
3.521e+05,1.7288e+09,45.025,45,-5.0667,24.495,19.428
3.5611e+05,1.7298e+09,45.013,45,-2.6955,24.49,21.795
3.6018e+05,1.7308e+09,45.014,45,-2.7733,24.485,21.711
3.6418e+05,1.7318e+09,45.006,45,-1.12,24.482,23.362
3.6825e+05,1.7328e+09,45.002,45,-0.44937,24.479,24.03
3.7232e+05,1.7338e+09,44.995,45,1.02,24.478,25.498
3.7644e+05,1.7349e+09,44.895,45,20.95,24.495,45.446
3.8052e+05,1.7359e+09,44.795,45,40.969,24.547,65.516
3.8452e+05,1.7369e+09,44.753,45,49.49,24.614,74.103
3.8853e+05,1.7379e+09,44.742,45,51.682,24.692,76.374
3.9264e+05,1.7389e+09,44.816,45,36.716,24.76,61.476
3.9675e+05,1.7399e+09,44.92,45,15.98,24.797,40.776
4.0081e+05,1.7409e+09,44.968,45,6.3568,24.811,31.168
4.0492e+05,1.7419e+09,44.954,45,9.1881,24.823,34.011
4.09e+05,1.7429e+09,44.891,45,21.833,24.851,46.684
4.1307e+05,1.7439e+09,44.902,45,19.653,24.883,44.536
4.1717e+05,1.7449e+09,44.925,45,15.008,24.906,39.914
4.2126e+05,1.746e+09,44.905,45,18.944,24.934,43.878
4.2529e+05,1.747e+09,44.877,45,24.697,24.97,49.667
4.2933e+05,1.748e+09,44.917,45,16.547,24.997,41.545
4.3342e+05,1.749e+09,44.977,45,4.5235,25.012,29.536
4.3756e+05,1.75e+09,45.022,45,-4.3579,25.012,20.654
4.4163e+05,1.751e+09,45.013,45,-2.5307,25.006,22.475
4.4577e+05,1.752e+09,45.006,45,-1.2848,25.002,23.717
4.4997e+05,1.753e+09,44.974,45,5.2185,25.004,30.222
4.5414e+05,1.754e+09,44.909,45,18.224,25.026,43.25
4.5826e+05,1.755e+09,44.916,45,16.757,25.053,41.81
4.6247e+05,1.756e+09,44.904,45,19.103,25.081,44.184
4.6656e+05,1.757e+09,44.926,45,14.719,25.105,39.825
4.7076e+05,1.7581e+09,44.96,45,8.0147,25.124,33.138
4.7492e+05,1.7591e+09,44.995,45,1.0216,25.129,26.151
4.7906e+05,1.7601e+09,45.017,45,-3.4691,25.126,21.657
4.8327e+05,1.7611e+09,45.014,45,-2.7657,25.122,22.356
4.8747e+05,1.7621e+09,45.024,45,-4.8851,25.115,20.229
4.9168e+05,1.7631e+09,45,45,-0.074768,25.112,25.037
4.9593e+05,1.7641e+09,45.001,45,-0.29449,25.113,24.818
5.0018e+05,1.7651e+09,45.009,45,-1.8707,25.11,23.239
5.0443e+05,1.7661e+09,45.016,45,-3.1204,25.105,21.985
5.0867e+05,1.7671e+09,44.992,45,1.6167,25.103,26.72
5.1288e+05,1.7682e+09,44.955,45,9.0126,25.111,34.124
5.1705e+05,1.7692e+09,44.943,45,11.366,25.126,36.492
5.2125e+05,1.7702e+09,44.863,45,27.435,25.156,52.591
5.2544e+05,1.7712e+09,44.954,45,9.2331,25.181,34.414
5.2961e+05,1.7722e+09,45,45,0.091553,25.185,25.277
5.338e+05,1.7732e+09,45.037,45,-7.3212,25.18,17.859
5.38e+05,1.7742e+09,45.034,45,-6.7566,25.169,18.412
5.4221e+05,1.7752e+09,45.034,45,-6.8886,25.157,18.268
5.4638e+05,1.7762e+09,45.026,45,-5.1765,25.148,19.971
