LineNo,TimeUS,RSErr,Mem,TS,NPkt,Nerr,Nerr2,NDel
2.9012e+05,1.9537e+08,0,608,1.9527e+05,90974,0,0,0
2.9428e+05,1.9637e+08,0,608,1.9627e+05,91439,0,0,0
2.9857e+05,1.9741e+08,0,608,1.9731e+05,91923,0,0,0
3.0278e+05,1.9845e+08,0,608,1.9836e+05,92405,0,0,0
3.0699e+05,1.995e+08,0,608,1.9941e+05,92890,0,0,0
3.1124e+05,2.0054e+08,0,608,2.0045e+05,93373,0,0,0
3.153e+05,2.0155e+08,0,608,2.0145e+05,93835,0,0,0
3.1955e+05,2.0259e+08,0,608,2.025e+05,94316,0,0,0
3.2378e+05,2.0363e+08,0,608,2.0354e+05,94798,0,0,0
3.2802e+05,2.0468e+08,0,608,2.0459e+05,95279,0,0,0
3.3172e+05,2.0572e+08,0,608,2.0563e+05,95761,0,0,0
3.3595e+05,2.0677e+08,0,608,2.0668e+05,96247,0,0,0
3.402e+05,2.0782e+08,0,608,2.0772e+05,96730,0,0,0
3.4443e+05,2.0887e+08,0,608,2.0877e+05,97215,0,0,0
3.4864e+05,2.0991e+08,0,608,2.0981e+05,97701,0,0,0
3.5294e+05,2.1096e+08,0,608,2.1086e+05,98186,0,0,0
3.5722e+05,2.12e+08,0,608,2.1191e+05,98671,0,0,0
3.6145e+05,2.1304e+08,0,608,2.1295e+05,99153,0,0,0
3.6566e+05,2.1409e+08,0,608,2.1399e+05,99635,0,0,0
3.6995e+05,2.1514e+08,0,608,2.1504e+05,1.0012e+05,0,0,0
3.7425e+05,2.1618e+08,0,608,2.1609e+05,1.0061e+05,0,0,0
3.7854e+05,2.1723e+08,0,608,2.1714e+05,1.0109e+05,0,0,0
3.8282e+05,2.1828e+08,0,608,2.1818e+05,1.0157e+05,0,0,0
3.8712e+05,2.1932e+08,0,608,2.1923e+05,1.0206e+05,0,0,0
3.9137e+05,2.2037e+08,0,608,2.2027e+05,1.0254e+05,0,0,0
3.9562e+05,2.2142e+08,0,608,2.2132e+05,1.0303e+05,0,0,0
4.0348e+05,2.2346e+08,0,608,2.2336e+05,1.0397e+05,0,0,0
4.0779e+05,2.245e+08,0,608,2.2441e+05,1.0446e+05,0,0,0
4.1202e+05,2.2555e+08,0,608,2.2546e+05,1.0494e+05,0,0,0
4.1625e+05,2.266e+08,0,608,2.2651e+05,1.0543e+05,0,0,0
4.2056e+05,2.2765e+08,0,608,2.2756e+05,1.0591e+05,0,0,0
4.2479e+05,2.2869e+08,0,608,2.286e+05,1.064e+05,0,0,0
4.2881e+05,2.2974e+08,0,608,2.2965e+05,1.0688e+05,0,0,0
4.3307e+05,2.3079e+08,0,608,2.307e+05,1.0736e+05,0,0,0
4.3732e+05,2.3184e+08,0,608,2.3175e+05,1.0785e+05,0,0,0
4.4152e+05,2.3288e+08,0,608,2.3279e+05,1.0833e+05,0,0,0
4.4575e+05,2.3392e+08,0,608,2.3383e+05,1.0882e+05,0,0,0
4.5008e+05,2.3497e+08,0,608,2.3488e+05,1.093e+05,0,0,0
4.5431e+05,2.3602e+08,0,608,2.3592e+05,1.0979e+05,0,0,0
4.5858e+05,2.3706e+08,0,608,2.3697e+05,1.1027e+05,0,0,0
4.6286e+05,2.3811e+08,0,608,2.3802e+05,1.1076e+05,0,0,0
4.671e+05,2.3915e+08,0,608,2.3906e+05,1.1124e+05,0,0,0
4.7126e+05,2.4019e+08,0,608,2.401e+05,1.1172e+05,0,0,0
4.7548e+05,2.4123e+08,0,608,2.4114e+05,1.122e+05,0,0,0
4.7972e+05,2.4227e+08,0,608,2.4218e+05,1.1269e+05,0,0,0
4.84e+05,2.4333e+08,0,608,2.4323e+05,1.1317e+05,0,0,0
4.8824e+05,2.4437e+08,0,608,2.4428e+05,1.1366e+05,0,0,0
4.925e+05,2.4542e+08,0,608,2.4532e+05,1.1414e+05,0,0,0
4.967e+05,2.4645e+08,0,608,2.4636e+05,1.1462e+05,0,0,0
5.009e+05,2.4749e+08,0,608,2.474e+05,1.151e+05,0,0,0
5.0518e+05,2.4854e+08,0,608,2.4844e+05,1.1559e+05,0,0,0
5.0939e+05,2.4958e+08,0,608,2.4949e+05,1.1608e+05,0,0,0
5.136e+05,2.5063e+08,0,608,2.5053e+05,1.1656e+05,0,0,0
5.178e+05,2.5168e+08,0,608,2.5158e+05,1.1705e+05,0,0,0
5.2208e+05,2.5272e+08,0,608,2.5263e+05,1.1753e+05,0,0,0
5.263e+05,2.5377e+08,0,608,2.5367e+05,1.1802e+05,0,0,0
5.3054e+05,2.5481e+08,0,608,2.5472e+05,1.185e+05,0,0,0
5.3479e+05,2.5586e+08,0,608,2.5576e+05,1.1899e+05,0,0,0
5.3903e+05,2.569e+08,0,608,2.568e+05,1.1947e+05,0,0,0
5.4331e+05,2.5795e+08,0,608,2.5786e+05,1.1995e+05,0,0,0
5.4757e+05,2.5899e+08,0,608,2.589e+05,1.2044e+05,0,0,0
5.5182e+05,2.6004e+08,0,608,2.5994e+05,1.2092e+05,0,0,0
5.5604e+05,2.6108e+08,0,608,2.6099e+05,1.214e+05,0,0,0
5.6025e+05,2.6212e+08,0,608,2.6203e+05,1.2188e+05,0,0,0
5.6449e+05,2.6316e+08,0,608,2.6307e+05,1.2237e+05,0,0,0
5.6874e+05,2.6421e+08,0,608,2.6412e+05,1.2285e+05,0,0,0
5.7262e+05,2.6525e+08,0,608,2.6516e+05,1.2334e+05,0,0,0
5.7685e+05,2.6629e+08,0,608,2.662e+05,1.2382e+05,0,0,0
5.8107e+05,2.6733e+08,0,608,2.6724e+05,1.243e+05,0,0,0
5.8529e+05,2.6837e+08,0,608,2.6828e+05,1.2478e+05,0,0,0
5.8953e+05,2.6942e+08,0,608,2.6932e+05,1.2526e+05,0,0,0
5.9368e+05,2.7046e+08,0,608,2.7037e+05,1.2575e+05,0,0,0
5.979e+05,2.715e+08,0,608,2.7141e+05,1.2623e+05,0,0,0
6.0215e+05,2.7256e+08,0,608,2.7246e+05,1.2672e+05,0,0,0
6.0643e+05,2.736e+08,0,608,2.7351e+05,1.272e+05,0,0,0
6.1068e+05,2.7465e+08,0,608,2.7456e+05,1.2768e+05,0,0,0
6.1486e+05,2.757e+08,0,608,2.756e+05,1.2817e+05,0,0,0
6.1918e+05,2.7674e+08,0,608,2.7664e+05,1.2865e+05,0,0,0
6.2343e+05,2.7779e+08,0,608,2.7769e+05,1.2914e+05,0,0,0
6.2763e+05,2.7882e+08,0,608,2.7873e+05,1.2962e+05,0,0,0
6.3191e+05,2.7987e+08,0,608,2.7978e+05,1.301e+05,0,0,0
6.3619e+05,2.8092e+08,0,608,2.8083e+05,1.3059e+05,0,0,0
6.404e+05,2.8197e+08,0,608,2.8187e+05,1.3107e+05,0,0,0
6.4462e+05,2.8301e+08,0,608,2.8292e+05,1.3155e+05,0,0,0
6.4886e+05,2.8406e+08,0,608,2.8397e+05,1.3204e+05,0,0,0
6.5311e+05,2.851e+08,0,608,2.8501e+05,1.3252e+05,0,0,0
6.5738e+05,2.8615e+08,0,608,2.8606e+05,1.3301e+05,0,0,0
6.6173e+05,2.872e+08,0,608,2.871e+05,1.335e+05,0,0,0
6.6606e+05,2.8824e+08,0,608,2.8815e+05,1.3399e+05,0,0,0
6.7048e+05,2.8929e+08,0,608,2.892e+05,1.3449e+05,0,0,0
6.7491e+05,2.9034e+08,0,608,2.9025e+05,1.3498e+05,0,0,0
6.7933e+05,2.9139e+08,0,608,2.9129e+05,1.3548e+05,0,0,0
6.8373e+05,2.9243e+08,0,608,2.9234e+05,1.3597e+05,0,0,0
6.8818e+05,2.9348e+08,0,608,2.9339e+05,1.3646e+05,0,0,0
6.9255e+05,2.9453e+08,0,608,2.9444e+05,1.3695e+05,0,0,0
6.9696e+05,2.9557e+08,0,608,2.9548e+05,1.3744e+05,0,0,0
7.014e+05,2.9661e+08,0,608,2.9652e+05,1.3794e+05,0,0,0
7.0578e+05,2.9766e+08,0,608,2.9757e+05,1.3843e+05,0,0,0
7.1019e+05,2.987e+08,0,608,2.9861e+05,1.3893e+05,0,0,0
7.1461e+05,2.9975e+08,0,608,2.9966e+05,1.3943e+05,0,0,0
7.1898e+05,3.0079e+08,0,608,3.007e+05,1.3992e+05,0,0,0
7.234e+05,3.0184e+08,0,608,3.0175e+05,1.4042e+05,0,0,0
7.2781e+05,3.0289e+08,0,608,3.028e+05,1.4092e+05,0,0,0
