LineNo,TimeUS,C15,C16,C17,C18
10940,2.2224e+07,0,0,0,0
10982,2.2234e+07,0,0,0,0
11022,2.2245e+07,0,0,0,0
11065,2.2255e+07,0,0,0,0
11105,2.2265e+07,0,0,0,0
11147,2.2275e+07,0,0,0,0
11193,2.2286e+07,0,0,0,0
11235,2.2295e+07,0,0,0,0
11276,2.2306e+07,0,0,0,0
11316,2.2316e+07,0,0,0,0
11358,2.2326e+07,0,0,0,0
11395,2.2336e+07,0,0,0,0
11436,2.2346e+07,0,0,0,0
11477,2.2357e+07,0,0,0,0
11517,2.2367e+07,0,0,0,0
11559,2.2377e+07,0,0,0,0
11604,2.2387e+07,0,0,0,0
11647,2.2398e+07,0,0,0,0
11688,2.2407e+07,0,0,0,0
11728,2.2418e+07,0,0,0,0
11769,2.2427e+07,0,0,0,0
11806,2.2439e+07,0,0,0,0
11848,2.2449e+07,0,0,0,0
11890,2.2459e+07,0,0,0,0
11931,2.2469e+07,0,0,0,0
11973,2.2479e+07,0,0,0,0
12018,2.2489e+07,0,0,0,0
12059,2.2499e+07,0,0,0,0
12099,2.251e+07,0,0,0,0
12143,2.2523e+07,0,0,0,0
12185,2.2534e+07,0,0,0,0
12225,2.2544e+07,0,0,0,0
12263,2.2554e+07,0,0,0,0
12303,2.2564e+07,0,0,0,0
12344,2.2574e+07,0,0,0,0
12386,2.2585e+07,0,0,0,0
12433,2.2595e+07,0,0,0,0
12473,2.2605e+07,0,0,0,0
12514,2.2615e+07,0,0,0,0
12555,2.2625e+07,0,0,0,0
12592,2.2635e+07,0,0,0,0
12632,2.2646e+07,0,0,0,0
12673,2.2656e+07,0,0,0,0
12714,2.2666e+07,0,0,0,0
12754,2.2676e+07,0,0,0,0
12797,2.2685e+07,0,0,0,0
12842,2.2695e+07,0,0,0,0
12882,2.2706e+07,0,0,0,0
12923,2.2716e+07,0,0,0,0
12963,2.2726e+07,0,0,0,0
13001,2.2738e+07,0,0,0,0
13041,2.2749e+07,0,0,0,0
13083,2.2759e+07,0,0,0,0
13124,2.2769e+07,0,0,0,0
13164,2.2779e+07,0,0,0,0
13207,2.2789e+07,0,0,0,0
13252,2.2799e+07,0,0,0,0
13293,2.281e+07,0,0,0,0
13334,2.282e+07,0,0,0,0
13374,2.283e+07,0,0,0,0
13415,2.2841e+07,0,0,0,0
13455,2.2851e+07,0,0,0,0
13497,2.2861e+07,0,0,0,0
13538,2.2871e+07,0,0,0,0
13578,2.2881e+07,0,0,0,0
13620,2.2892e+07,0,0,0,0
13664,2.2901e+07,0,0,0,0
13706,2.2912e+07,0,0,0,0
13746,2.2921e+07,0,0,0,0
13787,2.2931e+07,0,0,0,0
13825,2.2943e+07,0,0,0,0
13865,2.2953e+07,0,0,0,0
13906,2.2963e+07,0,0,0,0
13948,2.2973e+07,0,0,0,0
13989,2.2983e+07,0,0,0,0
14030,2.2993e+07,0,0,0,0
14074,2.3003e+07,0,0,0,0
14116,2.3013e+07,0,0,0,0
14156,2.3023e+07,0,0,0,0
14201,2.3036e+07,0,0,0,0
14243,2.3046e+07,0,0,0,0
14281,2.3056e+07,0,0,0,0
14323,2.3066e+07,0,0,0,0
14363,2.3076e+07,0,0,0,0
14404,2.3087e+07,0,0,0,0
14444,2.3097e+07,0,0,0,0
14490,2.3107e+07,0,0,0,0
14531,2.3117e+07,0,0,0,0
14572,2.3128e+07,0,0,0,0
14613,2.3137e+07,0,0,0,0
14653,2.315e+07,0,0,0,0
14694,2.3161e+07,0,0,0,0
14734,2.3171e+07,0,0,0,0
14775,2.3181e+07,0,0,0,0
14816,2.3191e+07,0,0,0,0
14861,2.3201e+07,0,0,0,0
14903,2.3211e+07,0,0,0,0
14943,2.3221e+07,0,0,0,0
14984,2.3231e+07,0,0,0,0
15024,2.3241e+07,0,0,0,0
15065,2.3252e+07,0,0,0,0
15103,2.3262e+07,0,0,0,0
15143,2.3273e+07,0,0,0,0
15186,2.3283e+07,0,0,0,0
15226,2.3293e+07,0,0,0,0
15272,2.3304e+07,0,0,0,0
15312,2.3314e+07,0,0,0,0
15354,2.3324e+07,0,0,0,0
15397,2.3336e+07,0,0,0,0
15438,2.3347e+07,0,0,0,0
15480,2.3357e+07,0,0,0,0
15517,2.3368e+07,0,0,0,0
15558,2.3378e+07,0,0,0,0
15600,2.3388e+07,0,0,0,0
15640,2.3398e+07,0,0,0,0
15687,2.3408e+07,0,0,0,0
15727,2.3419e+07,0,0,0,0
15769,2.3429e+07,0,0,0,0
15811,2.3439e+07,0,0,0,0
15855,2.3452e+07,0,0,0,0
15896,2.3463e+07,0,0,0,0
15937,2.3473e+07,0,0,0,0
15978,2.3483e+07,0,0,0,0
16018,2.3493e+07,0,0,0,0
16059,2.3503e+07,0,0,0,0
16104,2.3513e+07,0,0,0,0
16145,2.3523e+07,0,0,0,0
16186,2.3533e+07,0,0,0,0
16226,2.3544e+07,0,0,0,0
