LineNo,TimeUS,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
6423,2.1054e+07,1,0,0,0.04,0,0,0.023904,0,0,0,50,65703,0,0
6467,2.1067e+07,1,0,0,0.04,0,0,0.023965,0,0,0,50,65703,0,0
6511,2.1077e+07,1,0,0,0.04,0,0,0.024027,0,0,0,50,65703,0,0
6552,2.1087e+07,1,0,0,0.04,0,0,0.024027,0,0,0,50,65703,0,0
6594,2.1097e+07,1,0,0,0.04,0,0,0.024088,0,0,0,50,65703,0,0
6634,2.111e+07,1,0,0,0.04,0,0,0.02415,0,0,0,50,65703,0,0
6672,2.112e+07,1,0,0,0.04,0,0,0.024212,0,0,0,50,65703,0,0
6712,2.113e+07,1,0,0,0.04,0,0,0.023199,0,0,0,50,65703,0,0
6755,2.114e+07,1,0,0,0.04,0,0,0.023258,0,0,0,50,65703,0,0
6795,2.115e+07,1,0,0,0.04,0,0,0.023317,0,0,0,50,65703,0,0
6836,2.116e+07,1,0,0,0.04,0,0,0.023317,0,0,0,50,65703,0,0
6877,2.117e+07,1,0,0,0.04,0,0,0.023377,0,0,0,50,65703,0,0
6922,2.118e+07,1,0,0,0.04,0,0,0.023436,0,0,0,50,65703,0,0
6963,2.119e+07,1,0,0,0.04,0,0,0.023495,0,0,0,50,65703,0,0
7003,2.1201e+07,1,0,0,0.04,0,0,0.023554,0,0,0,50,65703,0,0
7044,2.1214e+07,1,0,0,0.02,0,0,0.023614,0,0,0,50,65703,0,0
7084,2.1224e+07,1,0,0,0.02,0,0,0.022651,0,0,0,50,65703,0,0
7125,2.1234e+07,1,0,0,0.02,0,0,0.022651,0,0,0,50,65703,0,0
7168,2.1244e+07,1,0,0,0.02,0,0,0.022708,0,0,0,50,65703,0,0
7210,2.1254e+07,1,0,0,0.02,0,0,0.022766,0,0,0,50,65703,0,0
7251,2.1264e+07,1,0,0,0.02,0,0,0.022824,0,0,0,50,65703,0,0
7295,2.1274e+07,1,0,0,0.02,0,0,0.022881,0,0,0,50,65703,0,0
7337,2.1284e+07,1,0,0,0.02,0,0,0.022881,0,0,0,50,65703,0,0
7380,2.1294e+07,1,0,0,0.02,0,0,0.022939,0,0,0,50,65703,0,0
7420,2.1304e+07,1,0,0,0.02,0,0,0.022996,0,0,0,50,65703,0,0
7464,2.132e+07,1,0,0,0.04,0,0,0.023053,0,0,0,50,65703,0,0
7505,2.133e+07,1,0,0,0.04,0,0,0.022141,0,0,0,50,65703,0,0
7546,2.134e+07,1,0,0,0.04,0,0,0.022141,0,0,0,50,65703,0,0
7588,2.135e+07,1,0,0,0.04,0.01,0,0.022196,0,0,0,50,65703,0,0
7628,2.136e+07,1,0,0,0.04,0.01,0,0.022249,0,0,0,50,65703,0,0
7669,2.137e+07,1,0,0,0.04,0.01,0,0.022304,0,0,0,50,65703,0,0
7715,2.138e+07,1,0,0,0.04,0.01,0,0.022359,0,0,0,50,65703,0,0
7756,2.139e+07,1,0,0,0.04,0.01,0,0.022359,0,0,0,50,65703,0,0
7798,2.14e+07,1,0,0,0.04,0.01,0,0.022416,0,0,0,50,65703,0,0
7841,2.1412e+07,1,0,0,0.04,0.01,0,0.022471,0,0,0,50,65703,0,0
7882,2.1425e+07,1,0,0,0.02,0.03,0,0.022527,0,0,0,50,65703,0,0
7922,2.1435e+07,1,0,0,0.02,0.03,0,0.021638,0,0,0,50,65703,0,0
7963,2.1445e+07,1,0,0,0.02,0.03,0,0.021692,0,0,0,50,65703,0,0
8008,2.1455e+07,1,0,0,0.02,0.03,0,0.021745,0,0,0,50,65703,0,0
8048,2.1466e+07,1,0,0,0.02,0.03,0,0.0218,0,0,0,50,65703,0,0
8093,2.1476e+07,1,0,0,0.02,0.03,0,0.0218,0,0,0,50,65703,0,0
8133,2.1486e+07,1,0,0,0.02,0.03,0,0.021853,0,0,0,50,65703,0,0
8175,2.1496e+07,1,0,0,0.02,0.03,0,0.021906,0,0,0,50,65703,0,0
8216,2.1506e+07,1,0,0,0.02,0.03,0,0.02196,0,0,0,50,65703,0,0
8256,2.1516e+07,1,0,0,0.02,0.03,0,0.02196,0,0,0,50,65703,0,0
8291,2.1527e+07,1,0,0,0.05,0.02,0,0.022013,0,0,0,50,65703,0,0
8332,2.1537e+07,1,0,0,0.05,0.02,0,0.02116,0,0,0,50,65703,0,0
8372,2.1547e+07,1,0,0,0.05,0.02,0,0.02116,0,0,0,50,65703,0,0
8413,2.1557e+07,1,0,0,0.05,0.02,0,0.021212,0,0,0,50,65703,0,0
8454,2.1567e+07,1,0,0,0.05,0.02,0,0.021264,0,0,0,50,65703,0,0
8504,2.158e+07,1,0,0,0.05,0.02,0,0.021316,0,0,0,50,65703,0,0
8545,2.159e+07,1,0,0,0.05,0.02,0,0.021367,0,0,0,50,65703,0,0
8586,2.16e+07,1,0,0,0.05,0.02,0,0.021421,0,0,0,50,65703,0,0
8627,2.161e+07,1,0,0,0.05,0.02,0,0.021421,0,0,0,50,65703,0,0
8664,2.162e+07,1,0,0,0.05,0.02,0,0.021473,0,0,0,50,65703,0,0
8705,2.1632e+07,1,0,0,0.03,0.01,0,0.021525,0,0,0,50,65703,0,0
8747,2.1642e+07,1,0,0,0.03,0.01,0,0.020706,0,0,0,50,65703,0,0
8788,2.1653e+07,1,0,0,0.03,0.01,0,0.020706,0,0,0,50,65703,0,0
8830,2.1663e+07,1,0,0,0.03,0.01,0,0.020757,0,0,0,50,65703,0,0
8871,2.1673e+07,1,0,0,0.03,0.01,0,0.020807,0,0,0,50,65703,0,0
8916,2.1683e+07,1,0,0,0.03,0.01,0,0.020857,0,0,0,50,65703,0,0
8956,2.1693e+07,1,0,0,0.03,0.01,0,0.020908,0,0,0,50,65703,0,0
8997,2.1703e+07,1,0,0,0.03,0.01,0,0.020908,0,0,0,50,65703,0,0
9037,2.1714e+07,1,0,0,0.03,0.01,0,0.020958,0,0,0,50,65703,0,0
9078,2.1724e+07,1,0,0,0.03,0.01,0,0.021009,0,0,0,50,65703,0,0
9116,2.1734e+07,1,0,0,0.03,0.01,0,0.021059,0,0,0,50,65703,0,0
9156,2.1744e+07,1,0,0,0.03,0.01,0,0.021059,0,0,0,50,65703,0,0
9197,2.1754e+07,1,0,0,0.03,0.01,0,0.020258,0,0,0,50,65703,0,0
9237,2.1764e+07,1,0,0,0.03,0.01,0,0.020309,0,0,0,50,65703,0,0
9278,2.1774e+07,1,0,0,0.03,0.01,0,0.020358,0,0,0,50,65703,0,0
9322,2.1784e+07,1,0,0,0.03,0.01,0,0.020406,0,0,0,50,65703,0,0
9366,2.1794e+07,1,0,0,0.03,0.01,0,0.020455,0,0,0,50,65703,0,0
9407,2.1804e+07,1,0,0,0.03,0.01,0,0.020455,0,0,0,50,65703,0,0
9447,2.1814e+07,1,0,0,0.03,0.01,0,0.020505,0,0,0,50,65703,0,0
9486,2.1824e+07,1,0,0,0,0.01,0,0.020554,0,0,0,50,65703,0,0
9531,2.1874e+07,1,0,0,0,0.01,0,0.019941,0,0,0,50,65703,0,0
9576,2.1884e+07,1,0,0,0,0.01,0,0.019988,0,0,0,50,65703,0,0
9617,2.1894e+07,1,0,0,0,0.01,0,0.019988,0,0,0,50,65703,0,0
9658,2.1904e+07,1,0,0,0,0.01,0,0.020035,0,0,0,50,65703,0,0
9698,2.1914e+07,1,0,0,0,0.01,0,0.020083,0,0,0,50,65703,0,0
9732,2.1924e+07,1,0,0,0.01,0.02,0,0.02013,0,0,0,50,65703,0,0
9773,2.1934e+07,1,0,0,0.01,0.02,0,0.019401,0,0,0,50,65703,0,0
9814,2.1944e+07,1,0,0,0.01,0.02,0,0.019446,0,0,0,50,65703,0,0
9855,2.1954e+07,1,0,0,0.01,0.02,0,0.019446,0,0,0,50,65703,0,0
9896,2.1964e+07,1,0,0,0.01,0.02,0,0.019492,0,0,0,50,65703,0,0
9937,2.1974e+07,1,0,0,0.01,0.02,0,0.019538,0,0,0,50,65703,0,0
9982,2.1984e+07,1,0,0,0.01,0.02,0,0.019584,0,0,0,50,65703,0,0
10023,2.1994e+07,1,0,0,0.01,0.02,0,0.019632,0,0,0,50,65703,0,0
10064,2.2004e+07,1,0,0,0.01,0.02,0,0.019632,0,0,0,50,65703,0,0
10104,2.2014e+07,1,0,0,0.01,0.02,0,0.019678,0,0,0,50,65703,0,0
10142,2.2024e+07,1,0,0,0.03,0.01,0,0.019723,0,0,0,50,65703,0,0
10182,2.2034e+07,1,0,0,0.03,0.01,0,0.019016,0,0,0,50,65703,0,0
10225,2.2044e+07,1,0,0,0.03,0.01,0,0.01906,0,0,0,50,65703,0,0
10265,2.2054e+07,1,0,0,0.03,0.01,0,0.01906,0,0,0,50,65703,0,0
10307,2.2064e+07,1,0,0,0.03,0.01,0,0.019105,0,0,0,50,65703,0,0
10347,2.2074e+07,1,0,0,0.03,0.01,0,0.019149,0,0,0,50,65703,0,0
10393,2.2084e+07,1,0,0,0.03,0.01,0,0.019193,0,0,0,50,65703,0,0
10433,2.2094e+07,1,0,0,0.03,0.01,0,0.019238,0,0,0,50,65703,0,0
10475,2.2104e+07,1,0,0,0.03,0.01,0,0.019238,0,0,0,50,65703,0,0
10516,2.2114e+07,1,0,0,0.03,0.01,0,0.019283,0,0,0,50,65703,0,0
10553,2.2124e+07,1,0,0,0.01,0,0,0.019328,0,0,0,50,65703,0,0
10594,2.2134e+07,1,0,0,0.01,0,0,0.018649,0,0,0,50,65703,0,0
10634,2.2144e+07,1,0,0,0.01,0,0,0.018692,0,0,0,50,65703,0,0
10676,2.2155e+07,1,0,0,0.01,0,0,0.018735,0,0,0,50,65703,0,0
10716,2.2166e+07,1,0,0,0.01,0,0,0.018735,0,0,0,50,65703,0,0
10758,2.2177e+07,1,0,0,0.01,0,0,0.018779,0,0,0,50,65703,0,0
10803,2.2186e+07,1,0,0,0.01,0,0,0.018822,0,0,0,50,65703,0,0
10843,2.2196e+07,1,0,0,0.01,0,0,0.018865,0,0,0,50,65703,0,0
10884,2.2206e+07,1,0,0,0.01,0,0,0.018865,0,0,0,50,65703,0,0
10930,2.2222e+07,1,0,0,0.01,0.01,0,0.018951,0,0,0,50,65703,0,0
10972,2.2232e+07,1,0,0,0.01,0.01,0,0.018951,0,0,0,50,65703,0,0
11012,2.2242e+07,1,0,0,0.01,0.01,0,0.018296,0,0,0,50,65703,0,0
11055,2.2253e+07,1,0,0,0.01,0.01,0,0.018338,0,0,0,50,65703,0,0
11095,2.2263e+07,1,0,0,0.01,0.01,0,0.01838,0,0,0,50,65703,0,0
11137,2.2273e+07,1,0,0,0.01,0.01,0,0.018423,0,0,0,50,65703,0,0
11183,2.2283e+07,1,0,0,0.01,0.01,0,0.018465,0,0,0,50,65703,0,0
11225,2.2294e+07,1,0,0,0.01,0.01,0,0.018465,0,0,0,50,65703,0,0
11266,2.2304e+07,1,0,0,0.01,0.01,0,0.018507,0,0,0,50,65703,0,0
11306,2.2314e+07,1,0,0,0.01,0.01,0,0.018507,0,0,0,50,65703,0,0
11348,2.2324e+07,1,0,0,0.01,0.01,0,0.01855,0,0,0,50,65703,0,0
11385,2.2334e+07,1,0,0,0.05,0.01,0,0.018591,0,0,0,50,65703,0,0
11426,2.2344e+07,1,0,0,0.05,0.02,0,0.017961,0,0,0,50,65703,0,0
11467,2.2354e+07,1,0,0,0.05,0.02,0,0.017999,0,0,0,50,65703,0,0
11507,2.2364e+07,1,0,0,0.05,0.02,0,0.017999,0,0,0,50,65703,0,0
11549,2.2374e+07,1,0,0,0.05,0.02,0,0.018039,0,0,0,50,65703,0,0
11594,2.2385e+07,1,0,0,0.05,0.02,0,0.01808,0,0,0,50,65703,0,0
11637,2.2395e+07,1,0,0,0.05,0.02,0,0.018122,0,0,0,50,65703,0,0
11678,2.2405e+07,1,0,0,0.05,0.02,0,0.018162,0,0,0,50,65703,0,0
11718,2.2416e+07,1,0,0,0.05,0.02,0,0.018162,0,0,0,50,65703,0,0
11759,2.2426e+07,1,0,0,0.05,0.02,0,0.018206,0,0,0,50,65703,0,0
11796,2.2436e+07,1,0,0,0,0,0,0.018247,0,0,0,50,65703,0,0
11838,2.2447e+07,1,0,0,0,0,0,0.017621,0,0,0,50,65703,0,0
11880,2.2457e+07,1,0,0,0,0,0,0.017621,0,0,0,50,65703,0,0
11921,2.2467e+07,1,0,0,0,0,0,0.017661,0,0,0,50,65703,0,0
11963,2.2477e+07,1,0,0,0,0,0,0.017701,0,0,0,50,65703,0,0
12008,2.2487e+07,1,0,0,0,0,0,0.017701,0,0,0,50,65703,0,0
12049,2.2497e+07,1,0,0,0,0,0,0.017741,0,0,0,50,65703,0,0
12089,2.2507e+07,1,0,0,0,0,0,0.017781,0,0,0,50,65703,0,0
12133,2.252e+07,1,0,0,0,0,0,0.01782,0,0,0,50,65703,0,0
12175,2.2531e+07,1,0,0,0,0,0,0.01782,0,0,0,50,65703,0,0
12215,2.2542e+07,1,0,0,0,0,0,0.017861,0,0,0,50,65703,0,0
12253,2.2552e+07,1,0,0,0.04,0.02,0,0.0179,0,0,0,50,65703,0,0
12293,2.2562e+07,1,0,0,0.04,0.02,0,0.017299,0,0,0,50,65703,0,0
12334,2.2572e+07,1,0,0,0.04,0.02,0,0.017339,0,0,0,50,65703,0,0
12376,2.2583e+07,1,0,0,0.04,0.02,0,0.017339,0,0,0,50,65703,0,0
12423,2.2593e+07,1,0,0,0.04,0.02,0,0.017378,0,0,0,50,65703,0,0
12463,2.2603e+07,1,0,0,0.04,0.02,0,0.017418,0,0,0,50,65703,0,0
12504,2.2613e+07,1,0,0,0.04,0.02,0,0.017457,0,0,0,50,65703,0,0
12545,2.2623e+07,1,0,0,0.04,0.02,0,0.017457,0,0,0,50,65703,0,0
12582,2.2633e+07,1,0,0,0.04,0.02,0,0.017497,0,0,0,50,65703,0,0
12622,2.2643e+07,1,0,0,0.01,0,0,0.017537,0,0,0,50,65703,0,0
12663,2.2654e+07,1,0,0,0.01,0,0,0.016951,0,0,0,50,65703,0,0
12704,2.2664e+07,1,0,0,0.01,0,0,0.016988,0,0,0,50,65703,0,0
12744,2.2674e+07,1,0,0,0.01,0,0,0.017026,0,0,0,50,65703,0,0
12787,2.2684e+07,1,0,0,0.01,0,0,0.017026,0,0,0,50,65703,0,0
12832,2.2694e+07,1,0,0,0.01,0,0,0.017064,0,0,0,50,65703,0,0
12872,2.2704e+07,1,0,0,0.01,0,0,0.017103,0,0,0,50,65703,0,0
12913,2.2714e+07,1,0,0,0.01,0,0,0.01714,0,0,0,50,65703,0,0
12953,2.2724e+07,1,0,0,0.01,0,0,0.017178,0,0,0,50,65703,0,0
12991,2.2737e+07,1,0,0,0.03,0,0,0.017216,0,0,0,50,65703,0,0
13031,2.2747e+07,1,0,0,0.03,0,0,0.017216,0,0,0,50,65703,0,0
13073,2.2757e+07,1,0,0,0.03,0,0,0.016645,0,0,0,50,65703,0,0
13114,2.2767e+07,1,0,0,0.03,0,0,0.016681,0,0,0,50,65703,0,0
13154,2.2777e+07,1,0,0,0.03,0,0,0.016718,0,0,0,50,65703,0,0
13197,2.2787e+07,1,0,0,0.03,0,0,0.016755,0,0,0,50,65703,0,0
13242,2.2798e+07,1,0,0,0.03,0,0,0.016792,0,0,0,50,65703,0,0
13283,2.2808e+07,1,0,0,0.03,0,0,0.016828,0,0,0,50,65703,0,0
13324,2.2818e+07,1,0,0,0.03,0,0,0.016864,0,0,0,50,65703,0,0
13364,2.2828e+07,1,0,0,0.03,0,0,0.016864,0,0,0,50,65703,0,0
13405,2.2839e+07,1,0,0,0.02,0,0,0.016901,0,0,0,50,65703,0,0
13445,2.2849e+07,1,0,0,0.02,0,0,0.016356,0,0,0,50,65703,0,0
13487,2.2859e+07,1,0,0,0.02,0,0,0.016391,0,0,0,50,65703,0,0
13528,2.2869e+07,1,0,0,0.02,0,0,0.016427,0,0,0,50,65703,0,0
13568,2.2879e+07,1,0,0,0.02,0,0,0.016463,0,0,0,50,65703,0,0
13610,2.289e+07,1,0,0,0.02,0,0,0.016463,0,0,0,50,65703,0,0
13654,2.29e+07,1,0,0,0.02,0,0,0.016498,0,0,0,50,65703,0,0
13696,2.291e+07,1,0,0,0.02,0,0,0.016534,0,0,0,50,65703,0,0
13736,2.292e+07,1,0,0,0.02,0,0,0.016569,0,0,0,50,65703,0,0
13777,2.293e+07,1,0,0,0.03,0,0,0.016604,0,0,0,50,65703,0,0
13815,2.294e+07,1,0,0,0.03,0.02,0,0.016083,0,0,0,50,65703,0,0
13855,2.2951e+07,1,0,0,0.03,0.02,0,0.016083,0,0,0,50,65703,0,0
13896,2.2961e+07,1,0,0,0.03,0.02,0,0.016115,0,0,0,50,65703,0,0
