LineNo,TimeUS,LiftMax,BatVolt,ThLimit,ThrAvMx,FailFlags
8462,2.1568e+07,0.8873,0.92891,1,0.022177,2
8512,2.1582e+07,0.88729,0.9289,1,0.022177,2
8553,2.1592e+07,0.88726,0.92888,1,0.022177,2
8594,2.1601e+07,0.88723,0.92886,1,0.022177,2
8635,2.1612e+07,0.8872,0.92884,1,0.022177,2
8672,2.1622e+07,0.88717,0.92882,1,0.022177,2
8713,2.1634e+07,0.88713,0.9288,1,0.022177,2
8755,2.1645e+07,0.88711,0.92878,1,0.022177,2
8796,2.1655e+07,0.88708,0.92876,1,0.022177,2
8838,2.1665e+07,0.88705,0.92875,1,0.022177,2
8879,2.1675e+07,0.88703,0.92873,1,0.022177,2
8924,2.1685e+07,0.88702,0.92872,1,0.022177,2
8964,2.1695e+07,0.88701,0.92872,1,0.022177,2
9005,2.1705e+07,0.88701,0.92872,1,0.022177,2
9045,2.1715e+07,0.88701,0.92872,1,0.022177,2
9086,2.1725e+07,0.88701,0.92872,1,0.022177,2
9124,2.1735e+07,0.88701,0.92872,1,0.022177,2
9164,2.1746e+07,0.88701,0.92871,1,0.022177,2
9205,2.1756e+07,0.887,0.92871,1,0.022177,2
9245,2.1766e+07,0.887,0.92871,1,0.022177,2
9286,2.1776e+07,0.887,0.92871,1,0.022177,2
9330,2.1786e+07,0.88702,0.92872,1,0.022177,2
9374,2.1796e+07,0.88705,0.92874,1,0.022177,2
9415,2.1806e+07,0.88708,0.92876,1,0.022177,2
9455,2.1815e+07,0.88711,0.92878,1,0.022177,2
9494,2.1825e+07,0.88715,0.9288,1,0.022177,2
9539,2.1876e+07,0.88729,0.9289,1,0.022177,2
9584,2.1886e+07,0.88731,0.92891,1,0.022177,2
9625,2.1896e+07,0.88734,0.92893,1,0.022177,2
9666,2.1906e+07,0.88736,0.92894,1,0.022177,2
9706,2.1915e+07,0.88738,0.92896,1,0.022177,2
9740,2.1926e+07,0.8874,0.92897,1,0.022177,2
9781,2.1936e+07,0.88743,0.92899,1,0.022177,2
9822,2.1946e+07,0.88745,0.929,1,0.022177,2
9863,2.1956e+07,0.88747,0.92901,1,0.022177,2
9904,2.1966e+07,0.88749,0.92903,1,0.022177,2
9945,2.1975e+07,0.88751,0.92904,1,0.022177,2
9990,2.1986e+07,0.88752,0.92905,1,0.022177,2
10031,2.1996e+07,0.88754,0.92906,1,0.022177,2
10072,2.2006e+07,0.88755,0.92907,1,0.022177,2
10112,2.2016e+07,0.88757,0.92908,1,0.022177,2
10150,2.2026e+07,0.88758,0.92909,1,0.022177,2
10190,2.2036e+07,0.8876,0.9291,1,0.022177,2
10233,2.2046e+07,0.88761,0.92911,1,0.022177,2
10273,2.2056e+07,0.88762,0.92912,1,0.022177,2
10315,2.2065e+07,0.88764,0.92912,1,0.022177,2
10355,2.2076e+07,0.88765,0.92913,1,0.022177,2
10401,2.2085e+07,0.88764,0.92913,1,0.022177,2
10441,2.2096e+07,0.88762,0.92911,1,0.022177,2
10483,2.2106e+07,0.8876,0.9291,1,0.022177,2
10524,2.2116e+07,0.88757,0.92908,1,0.022177,2
10561,2.2126e+07,0.88755,0.92907,1,0.022177,2
10602,2.2136e+07,0.88753,0.92905,1,0.022177,2
10642,2.2147e+07,0.88751,0.92904,1,0.022177,2
10684,2.2158e+07,0.88749,0.92903,1,0.022177,2
10724,2.2168e+07,0.88747,0.92902,1,0.022177,2
10766,2.2178e+07,0.88745,0.929,1,0.022177,2
10811,2.2188e+07,0.88743,0.92899,1,0.022177,2
10851,2.2198e+07,0.88739,0.92896,1,0.022177,2
10892,2.2209e+07,0.88735,0.92894,1,0.022177,2
10938,2.2224e+07,0.8873,0.92891,1,0.022177,2
10980,2.2234e+07,0.88727,0.92889,1,0.022177,2
11020,2.2245e+07,0.88724,0.92887,1,0.022177,2
11063,2.2255e+07,0.88721,0.92885,1,0.022177,2
11103,2.2265e+07,0.88718,0.92883,1,0.022177,2
11145,2.2275e+07,0.88715,0.92881,1,0.022177,2
11191,2.2286e+07,0.88712,0.92879,1,0.022177,2
11233,2.2295e+07,0.88713,0.92879,1,0.022177,2
11274,2.2306e+07,0.88713,0.92879,1,0.022177,2
11314,2.2316e+07,0.88713,0.9288,1,0.022177,2
