LineNo,TimeUS,Instance,RPM,RawRPM,Volt,Curr,Temp,CTot,MotTemp,Err
82483,6.4548e+07,1,0,0,16.75,0.03,25,0,0,0
82975,6.4661e+07,1,0,0,16.76,0.03,25,0,0,0
83429,6.4765e+07,1,0,0,16.75,0.04,25,0,0,0
83888,6.4877e+07,1,0,0,16.75,0.03,25,0,0,0
84384,6.499e+07,1,0,0,16.75,0.03,25,0,0,0
84836,6.5098e+07,1,0,0,16.76,0.03,25,0,0,0
85288,6.5202e+07,1,0,0,16.75,0.03,25,0,0,0
85781,6.5316e+07,1,0,0,16.75,0.03,25,0,0,0
86233,6.5422e+07,1,0,0,16.76,0.04,25,0,0,0
86689,6.553e+07,1,0,0,16.76,0.03,25,0,0,0
87139,6.5638e+07,1,0,0,16.76,0.03,25,0,0,0
87635,6.5752e+07,1,0,0,16.75,0.03,25,0,0,0
88541,6.5963e+07,1,0,0,16.75,0.03,25,0,0,0
89040,6.6083e+07,1,0,0,16.75,0.03,25,0,0,0
89492,6.6188e+07,1,0,0,16.75,0.03,25,0,0,0
89936,6.6293e+07,1,0,0,16.75,0.03,25,0,0,0
90434,6.641e+07,1,0,0,16.75,0.03,25,0,0,0
90894,6.6519e+07,1,0,0,16.75,0.03,25,0,0,0
91345,6.6624e+07,1,0,0,16.75,0.03,25,0,0,0
91798,6.6727e+07,1,0,0,16.75,0.03,25,0,0,0
92253,6.6834e+07,1,0,0,16.75,0.03,25,0,0,0
92716,6.6941e+07,1,0,0,16.76,0.04,25,0,0,0
93170,6.705e+07,1,0,0,16.75,0.03,25,0,0,0
93670,6.7163e+07,1,0,0,16.75,0.03,25,0,0,0
94120,6.7269e+07,1,0,0,16.76,0.03,25,0,0,0
94576,6.7373e+07,1,0,0,16.75,0.03,25,0,0,0
95069,6.7487e+07,1,0,0,16.76,0.03,25,0,0,0
95526,6.759e+07,1,0,0,16.75,0.03,25,0,0,0
96019,6.7704e+07,1,0,0,16.75,0.03,25,0,0,0
96472,6.7807e+07,1,0,0,16.75,0.03,25,0,0,0
96929,6.7915e+07,1,0,0,16.75,0.03,25,0,0,0
97377,6.8018e+07,1,0,0,16.75,0.03,25,0,0,0
97871,6.8131e+07,1,0,0,16.75,0.03,25,0,0,0
98820,6.8351e+07,1,0,0,16.75,0.03,25,0,0,0
99270,6.8458e+07,1,0,0,16.75,0.03,25,0,0,0
99727,6.8563e+07,1,6,171,16.74,0.03,25,0,0,0
1.0022e+05,6.8679e+07,1,204,571,16.74,0.08,25,0,0,0
1.0067e+05,6.8783e+07,1,608,985,16.73,0.14,25,0,0,0
1.0113e+05,6.8888e+07,1,996,1242,16.73,0.12,25,0,0,0
1.0159e+05,6.8994e+07,1,1245,1300,16.73,0.11,25,0,0,0
1.0204e+05,6.91e+07,1,1301,1328,16.73,0.11,25,0,0,0
1.0254e+05,6.9219e+07,1,1328,1328,16.73,0.11,25,0,0,0
1.0299e+05,6.9322e+07,1,1329,1342,16.74,0.11,25,0,0,0
1.0345e+05,6.9431e+07,1,1343,1357,16.73,0.11,25,0,0,0
1.039e+05,6.9534e+07,1,1370,1571,16.69,0.23,25,0,0,0
1.0436e+05,6.9647e+07,1,1623,2171,16.63,0.51,25,0,0,0
1.0504e+05,6.9857e+07,1,2454,2228,16.58,0.29,25,0,0,0
1.0554e+05,6.9969e+07,1,2250,2500,16.69,0.45,25,0,0,0
1.0595e+05,7.007e+07,1,2498,2414,16.72,0.39,26,0,0,0
1.0645e+05,7.0185e+07,1,2421,2500,16.73,0.39,25,0,0,0
1.069e+05,7.0294e+07,1,2512,2642,16.61,0.52,25,0,0,0
1.0736e+05,7.0402e+07,1,2683,3242,16.5,1.32,25,0,0,0
1.0781e+05,7.0511e+07,1,3308,3971,16.39,1.65,25,0,0,0
1.0826e+05,7.0617e+07,1,4017,4642,16.23,2.61,25,0,0,0
1.0871e+05,7.0725e+07,1,4682,5100,16.25,2.83,25,0,0,0
1.0913e+05,7.0828e+07,1,5109,5700,16.01,3.52,25,1,0,0
1.0958e+05,7.0933e+07,1,5702,5814,16.1,3.36,25,1,0,0
1.1008e+05,7.1052e+07,1,5804,5671,16.18,2.54,25,1,0,0
1.1053e+05,7.1156e+07,1,5662,5300,16.27,1.73,25,1,0,0
1.1098e+05,7.1266e+07,1,5284,4942,16.29,1.62,25,1,0,0
1.1148e+05,7.1381e+07,1,4936,4885,16.26,1.73,25,1,0,0
1.1193e+05,7.1492e+07,1,4872,4742,16.21,1.58,25,1,0,0
1.1238e+05,7.1595e+07,1,4741,4728,16.25,1.63,25,1,0,0
1.1284e+05,7.1707e+07,1,4729,4757,16.18,1.57,26,1,0,0
1.1371e+05,7.1914e+07,1,4752,4328,16.23,1.56,26,1,0,0
1.1423e+05,7.2035e+07,1,4318,4214,16.24,1.67,25,1,0,0
1.1468e+05,7.2139e+07,1,4213,4200,16.08,1.89,26,1,0,0
1.1513e+05,7.2249e+07,1,4211,4371,16.14,2.68,26,1,0,0
1.1559e+05,7.2354e+07,1,4377,4785,16.25,2.05,26,1,0,0
1.1608e+05,7.2473e+07,1,4805,5028,16.26,2.14,26,1,0,0
1.1654e+05,7.2581e+07,1,5012,4857,16.18,2.04,26,2,0,0
1.1699e+05,7.2686e+07,1,4872,5114,16.13,2.21,26,2,0,0
1.1744e+05,7.2793e+07,1,5114,5128,16.13,2.36,26,2,0,0
1.1789e+05,7.29e+07,1,5128,5157,16.1,2.25,26,2,0,0
1.1839e+05,7.3019e+07,1,5167,5285,16.13,2.11,26,2,0,0
1.188e+05,7.3113e+07,1,5275,5085,16.21,2.03,26,2,0,0
1.1926e+05,7.3229e+07,1,5090,5142,16.18,2.2,26,2,0,0
1.1971e+05,7.3336e+07,1,5143,5171,16.11,2.16,26,2,0,0
1.2016e+05,7.3445e+07,1,5178,5285,16.13,2.29,26,2,0,0
1.2062e+05,7.3551e+07,1,5274,5128,16.13,2.12,26,2,0,0
1.2107e+05,7.3661e+07,1,5127,5114,16.16,2.05,26,2,0,0
1.2157e+05,7.3777e+07,1,5105,5014,16.16,1.75,26,2,0,0
1.2199e+05,7.3879e+07,1,5004,4914,16.15,2.04,26,2,0,0
1.2244e+05,7.3986e+07,1,4920,5014,16.08,2.04,26,2,0,0
1.2289e+05,7.4097e+07,1,5014,5028,16.09,1.94,26,2,0,0
1.2376e+05,7.4311e+07,1,5026,4871,16.11,1.69,26,2,0,0
1.247e+05,7.454e+07,1,4864,4785,16.04,1.79,26,3,0,0
1.251e+05,7.4633e+07,1,4786,4857,16.05,1.99,26,3,0,0
1.2555e+05,7.4747e+07,1,4868,5071,16,2.28,26,3,0,0
1.26e+05,7.4857e+07,1,5073,5271,16,2.3,26,3,0,0
1.2649e+05,7.4978e+07,1,5246,5071,16,2.21,26,3,0,0
1.2693e+05,7.5082e+07,1,5083,5157,16.07,2.05,26,3,0,0
1.2734e+05,7.5179e+07,1,5154,4957,16.13,1.83,26,3,0,0
1.2779e+05,7.5294e+07,1,4955,4942,16.13,1.66,26,3,0,0
1.2824e+05,7.5401e+07,1,4924,4714,16.18,1.55,26,3,0,0
1.2872e+05,7.5522e+07,1,4712,4700,16.21,1.42,26,3,0,0
1.2961e+05,7.5739e+07,1,4686,4385,16.27,1.55,26,3,0,0
1.3002e+05,7.584e+07,1,4386,4428,16.22,1.48,26,3,0,0
1.3048e+05,7.595e+07,1,4427,4385,16.21,1.44,26,3,0,0
1.3092e+05,7.6061e+07,1,4389,4585,16.2,1.72,26,3,0,0
1.3137e+05,7.6169e+07,1,4586,4757,16.16,1.84,26,3,0,0
1.3185e+05,7.6282e+07,1,4760,4785,16.16,1.86,26,3,0,0
1.323e+05,7.639e+07,1,4785,4785,16.08,1.41,26,4,0,0
1.3274e+05,7.6504e+07,1,4773,4657,16.13,1.37,26,4,0,0
1.3322e+05,7.662e+07,1,4651,4600,16.12,1.56,26,4,0,0
1.3363e+05,7.672e+07,1,4599,4585,16.15,1.52,26,4,0,0
1.3408e+05,7.6832e+07,1,4589,4700,16.11,1.53,26,4,0,0
1.3454e+05,7.6941e+07,1,4698,4671,16.09,1.6,26,4,0,0
1.3583e+05,7.7264e+07,1,4669,4471,16.16,1.45,26,4,0,0
1.3632e+05,7.7379e+07,1,4471,4471,16.17,1.46,26,4,0,0
1.3676e+05,7.7488e+07,1,4471,4471,16.17,1.43,26,4,0,0
1.3721e+05,7.7594e+07,1,4470,4457,16.2,1.33,26,4,0,0
1.3766e+05,7.7707e+07,1,4453,4414,16.16,1.31,26,4,0,0
1.3811e+05,7.7812e+07,1,4423,4557,16.14,1.46,26,4,0,0
1.3856e+05,7.7928e+07,1,4548,4457,16.2,1.38,26,4,0,0
1.3896e+05,7.8029e+07,1,4457,4457,16.17,1.35,26,4,0,0
1.3942e+05,7.8143e+07,1,4457,4471,16.17,1.21,26,4,0,0
1.3987e+05,7.8254e+07,1,4468,4442,16.14,1.52,26,4,0,0
1.4027e+05,7.8355e+07,1,4442,4442,16.14,1.35,26,4,0,0
1.4072e+05,7.8465e+07,1,4442,4485,16.15,1.61,26,4,0,0
1.4121e+05,7.8579e+07,1,4482,4457,16.14,1.27,26,4,0,0
1.4165e+05,7.8689e+07,1,4452,4385,16.19,1.36,26,4,0,0
1.421e+05,7.8797e+07,1,4384,4371,16.08,1.35,26,4,0,0
1.425e+05,7.8901e+07,1,4372,4400,16.08,1.42,26,5,0,0
1.4296e+05,7.9013e+07,1,4400,4414,16.11,1.33,26,5,0,0
1.434e+05,7.9121e+07,1,4414,4414,16.14,1.37,26,5,0,0
1.443e+05,7.9343e+07,1,4413,4400,16.15,1.37,26,5,0,0
1.4471e+05,7.9445e+07,1,4398,4357,16.09,1.52,26,5,0,0
1.4516e+05,7.9556e+07,1,4361,4414,16.09,1.25,26,5,0,0
1.4561e+05,7.9669e+07,1,4415,4428,16.13,1.38,26,5,0,0
1.4606e+05,7.9776e+07,1,4409,4228,16.16,1.04,26,5,0,0
1.465e+05,7.9885e+07,1,4212,4014,16.13,1.6,26,5,0,0
1.4696e+05,7.9996e+07,1,4007,3942,15.97,2.81,26,5,0,0
1.4736e+05,8.0097e+07,1,3944,4057,16.07,2.51,26,5,0,0
1.483e+05,8.0327e+07,1,4053,3957,16.11,1.8,27,5,0,0
1.4874e+05,8.0438e+07,1,3955,3942,16.11,2.16,27,5,0,0
1.4919e+05,8.0546e+07,1,3960,4128,16.01,2.74,27,5,0,0
1.4959e+05,8.0648e+07,1,4132,4200,16.11,1.55,26,5,0,0
1.5004e+05,8.0757e+07,1,4181,4014,16.13,1.55,27,5,0,0
1.5049e+05,8.0867e+07,1,4016,4042,16.11,1.6,27,5,0,0
1.5094e+05,8.0973e+07,1,4043,4171,16.11,1.48,27,6,0,0
1.5138e+05,8.1085e+07,1,4169,4157,16.04,2.89,27,6,0,0
1.5183e+05,8.1191e+07,1,4151,4071,15.97,2.75,27,6,0,0
1.5228e+05,8.1298e+07,1,4077,4171,16.11,1.31,27,6,0,0
1.5273e+05,8.1407e+07,1,4173,4200,16.2,1.7,27,6,0,0
1.5317e+05,8.1521e+07,1,4234,4485,16.07,2.8,27,6,0,0
1.5362e+05,8.1627e+07,1,4496,4585,16.07,2.1,27,6,0,0
1.5406e+05,8.1735e+07,1,4612,4900,16.09,1.82,27,6,0,0
1.5447e+05,8.1842e+07,1,4882,4728,16.08,1.27,27,6,0,0
1.5495e+05,8.1952e+07,1,4715,4571,16.08,1.31,27,6,0,0
1.554e+05,8.2061e+07,1,4567,4514,16.12,1.34,27,6,0,0
1.5581e+05,8.2167e+07,1,4534,4700,16.02,1.55,27,6,0,0
