LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
4666,20724879,0,1.4,0.38,17.66,0.001260768,-0.0006776164000000001,-0.4851691,-0.1931183,0,0,-0.619019,0,0,-0.21,0
4707,20735143,0,1.4,0.38,17.66,0.0001936199,-0.0008732919,-0.4851264,-0.1883304,0,0,-0.6238661,0,0,-0.21,0
4748,20744818,0,1.39,0.39,17.66,-0.0008364697,-0.0009572523,-0.4838184,-0.1850543,0,0,-0.6255562,0,0,-0.21,0
4789,20754874,0,1.39,0.39,17.66,-0.001468166,-0.0008426858,-0.4827063,-0.1849306,0,0,-0.6273632,0,0,-0.21,0
4829,20767893,0,1.38,0.39,17.66,-0.002553993,-0.0003562756,-0.4809665,-0.1817797,0,0,-0.6291932,0,0,-0.22,0
4874,20780715,0,1.38,0.39,17.66,-0.003412337,0.0001435233,-0.4787847,-0.171738,0,0,-0.631196,0,0,-0.22,0
4915,20790779,0,1.38,0.39,17.66,-0.004064912,0.0004063415,-0.4765458,-0.1624665,0,0,-0.6319152,0,0,-0.22,0
4955,20801141,0,1.38,0.39,17.67,-0.004446068,0.0007800173,-0.4749247,-0.1565805,0,0,-0.6327904,0,0,-0.22,0
4997,20811222,0,1.38,0.4,17.67,-0.004435564,0.001271298,-0.4732097,-0.1535439,0,0,-0.6338133,0,0,-0.22,0
5042,20821804,0,1.38,0.4,17.67,-0.004447264,0.001851381,-0.4734028,-0.1483705,0,0,-0.6385405,0,0,-0.22,0
5082,20831813,0,1.39,0.4,17.68,-0.004282341,0.002046328,-0.4719943,-0.145834,0,0,-0.6396915,0,0,-0.22,0
5123,20841807,0,1.39,0.4,17.68,-0.003991604,0.001777097,-0.4708275,-0.1447787,0,0,-0.6409873,0,0,-0.22,0
5164,20851874,0,1.4,0.4,17.69,-0.003835507,0.001413433,-0.4697208,-0.1435282,0,0,-0.6428939,0,0,-0.22,0
5203,20862085,0,1.4,0.4,17.69,-0.00354805,0.0008921374,-0.4677596,-0.1420198,0,0,-0.6428367,0,0,-0.22,0
5244,20872145,0,1.4,0.4,17.69,-0.003129315,0.0002249315,-0.4659846,-0.1403822,0,0,-0.6429623,0,0,-0.22,0
5285,20882829,0,1.4,0.4,17.69,-0.002502768,-0.0004888069,-0.4640419,-0.1324342,0,0,-0.6437373,0,0,-0.22,0
5327,20893266,0,1.4,0.4,17.7,-0.002077052,-0.0009580588,-0.4637178,-0.1226118,0,0,-0.6483713,0,0,-0.22,0
5367,20903351,0,1.4,0.4,17.7,-0.001673859,-0.001721567,-0.4616964,-0.115678,0,0,-0.6488235999999999,0,0,-0.22,0
5409,20913322,0,1.4,0.4,17.7,-0.001173756,-0.002319629,-0.4599459,-0.1102962,0,0,-0.6494362,0,0,-0.22,0
5453,20923352,0,1.39,0.4,17.7,-0.0008404977,-0.002512736,-0.4582289,-0.1084925,0,0,-0.6501989,0,0,-0.22,0
5494,20933311,0,1.39,0.4,17.7,-0.0004880527,-0.002785336,-0.4581284,-0.1083392,0,0,-0.6547756,0,0,-0.22,0
